PokerStars Tournament #3908028740, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
712 players
Total Prize Pool: $6977.60 USD 
Tournament started 2025/07/16 14:00:00 BRT [2025/07/16 13:00:00 ET]

  1: 88riddick88 [2] (Hungary), still playing
  2: Apeter10 [2] (Sweden), still playing
  3: Bantamania (United Kingdom), still playing
  4: BelovdKing (United Kingdom), still playing
  5: Bl4ckCat77 (Brazil), still playing
  6: Budai1472 (Germany), still playing
  7: Capitao1987 (Brazil), still playing
  8: Clandestin07 (Brazil), still playing
  9: D.Stanley'76 (United Kingdom), still playing
  10: Daniel.Sun831 (Canada), still playing
  11: DannyS45 (Germany), still playing
  12: EJannotti (Brazil), still playing
  13: Fedezun (Argentina), still playing
  14: FlavioDuraes (Brazil), still playing
  15: FumigAA (Brazil), still playing
  16: G.Cirnee (Brazil), still playing
  17: Gutlaufen (Malta), still playing
  18: Haluskas [2] (Slovakia), still playing
  19: I1II (Sweden), still playing
  20: Intuativeviking (Denmark), still playing
  21: Jean D Carvalho (Brazil), still playing
  22: JirayaEroSennin (Brazil), still playing
  23: Juhuli97 (Finland), still playing
  24: Kabouboul [2] (Morocco), still playing
  25: Kompolino28 (Austria), still playing
  26: Lil_Vpip (Belarus), still playing
  27: MSOLM58 (Guatemala), still playing
  28: MatheusD9999 (Brazil), still playing
  29: Maukka17 (Finland), still playing
  30: Mertz18 [2] (Denmark), still playing
  31: Mestre Roma (Brazil), still playing
  32: MosquitoGG (Brazil), still playing
  33: Murphy745 (Ireland), still playing
  34: Nikolov95 (Bulgaria), still playing
  35: OniricoInfinito (Argentina), still playing
  36: Pachekowski (Brazil), still playing
  37: PanthroMan (Brazil), still playing
  38: PlinioFerraz (Brazil), still playing
  39: PrincessChris29 (Moldova), still playing
  40: Razzzzorfish (Sweden), still playing
  41: Rosselte (Brazil), still playing
  42: SergeySil83 (Belarus), still playing
  43: Sir Arozzinho (Brazil), still playing
  44: SmiroleBro (Switzerland), still playing
  45: Step2025 [2] (Estonia), still playing
  46: TKishereee [3] (South Korea), still playing
  47: TheDomotron (United Kingdom), still playing
  48: TheSheep12 (Germany), still playing
  49: Toshiro_Koga [2] (Brazil), still playing
  50: UACosta08 (Argentina), still playing
  51: Ubbegubbe (Sweden), still playing
  52: VMconstrutora (Brazil), still playing
  53: Viggy2102 (Canada), still playing
  54: VitorMira_2 (Brazil), still playing
  55: Wistern (Denmark), still playing
  56: YuriPróPoker (Brazil), still playing
  57: ZDraby2 (United Kingdom), still playing
  58: blocatelli1 (Brazil), still playing
  59: clavito691 (Argentina), still playing
  60: cunbra2 (Slovenia), still playing
  61: doubleupmick (United Kingdom), still playing
  62: driesc170 (Belgium), still playing
  63: duduzeras968 [2] (Brazil), still playing
  64: fidionair [2] (Germany), still playing
  65: fr4wtz [2] (Brazil), still playing
  66: fvallerio (Brazil), still playing
  67: gregorio254 (Brazil), still playing
  68: hyurih2 (Brazil), still playing
  69: jwarming (Denmark), still playing
  70: lucio2005 (Brazil), still playing
  71: mOberdan (Brazil), still playing
  72: marisk5555 (Germany), still playing
  73: nata.stars92 (Belarus), still playing
  74: nod_10 (United Kingdom), still playing
  75: pannekbruno (Brazil), still playing
  76: pawlinho (Brazil), still playing
  77: pokeriisa [3] (Estonia), still playing
  78: reactive (Ireland), still playing
  79: rodrigojacques (Ireland), still playing
  80: rolofo (Belgium), still playing
  81: scaraboto (Brazil), still playing
  82: sinhron (Latvia), still playing
  83: thestramash [2] (Belgium), still playing
  84: tomás1992 (Brazil), still playing
  85: ujohnson2 (Brazil), still playing
  86: warwick600 (United Kingdom), still playing
  87: woxix (Latvia), still playing
  88: xMegaPix (Argentina), still playing
  89: xcdbhz [2] (Brazil), still playing
  90: ykiiss (Finland), still playing
  91: Gabrielfs13 (Brazil), $19.55 (0.28%)
  92: ButtonClicker22 (Canada), $19.55 (0.28%)
  93: chess1000 (Ukraine), $19.55 (0.28%)
  94: 1sT.NexTee (Belarus), $19.55 (0.28%)
  95: MastaManson (Germany), $19.55 (0.28%)
  96: hattie009 (United Kingdom), $19.55 (0.28%)
  97: bonaparteyy (Germany), $19.55 (0.28%)
  98: djrodney3 (Brazil), $19.55 (0.28%)
  99: masapilon639 (Argentina), $19.55 (0.28%)
  100: rssollero (Brazil), $19.55 (0.28%)
  101: kekito37 (Argentina), $19.55 (0.28%)
  102: chexetto (Brazil), $19.55 (0.28%)
  103: diep178 (Belarus), $19.55 (0.28%)
  104: AllSaidAndDone [2] (Malta), $16.13 (0.231%)
  105: Bgusso (Brazil), $16.13 (0.231%)
  106: juan007_sa (Brazil), $16.13 (0.231%)
  107: Engastamento (Brazil), $16.13 (0.231%)
  108: Wonderland9595 (Brazil), $16.13 (0.231%)
  109: Lumpmaster1 (Germany), $16.13 (0.231%)
  110: Yknot282 (Sweden), $16.13 (0.231%)
