PokerStars Tournament #3908026684, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
2274 players
Total Prize Pool: $11142.60 USD 
Tournament started 2025/07/16 17:02:00 BRT [2025/07/16 16:02:00 ET]

  1: 9Sereja (Kazakhstan), still playing
  2: Abdi069 (Germany), still playing
  3: Ambianensium (Ukraine), still playing
  4: Amiralsanji (Sweden), still playing
  5: ArosaGti (Germany), still playing
  6: AtoraSuet (United Kingdom), still playing
  7: Badinho1989 (Brazil), still playing
  8: Bagganas (Sweden), still playing
  9: Braddavis25 (Ireland), still playing
  10: Chiesaraise (Brazil), still playing
  11: Dammisahne (Germany), still playing
  12: David1bets (United Kingdom), still playing
  13: Dionysos1980 [2] (Germany), still playing
  14: F.Peters10 [2] (Brazil), still playing
  15: Fialassi (Denmark), still playing
  16: FirstNameTeo (Malta), still playing
  17: Francizco79 [3] (Argentina), still playing
  18: Gran Diablo (Argentina), still playing
  19: Hlcptr_$$ [2] (Switzerland), still playing
  20: Izverg31 (Ukraine), still playing
  21: JNQB (Brazil), still playing
  22: Killinfields (Romania), still playing
  23: L_Bailey999 [2] (Ireland), still playing
  24: Lassis1993 (Brazil), still playing
  25: Patosplayer (Brazil), still playing
  26: RIGObert12 (Germany), still playing
  27: Reastilla199 (Argentina), still playing
  28: RockogRul (Denmark), still playing
  29: Râzzler [2] (Germany), still playing
  30: Sebastian.SP (Germany), still playing
  31: Skelyast1K (Ukraine), still playing
  32: St0mbe (Lithuania), still playing
  33: The-Fac340 (United Kingdom), still playing
  34: TheRickzs (Brazil), still playing
  35: Tom Lohman (United Kingdom), still playing
  36: Victorsb9 (Brazil), still playing
  37: VisteoN_BR (Brazil), still playing
  38: _Proffesorr_1 (Denmark), still playing
  39: amor609 (South Korea), still playing
  40: blomman5 (Sweden), still playing
  41: cuki44 (Slovenia), still playing
  42: dimileto (Brazil), still playing
  43: edg40 (Brazil), still playing
  44: flipflop1717 (United Kingdom), still playing
  45: guiasato (Brazil), still playing
  46: iagok [2] (Brazil), still playing
  47: ilejr (Finland), still playing
  48: jonikatvil (Belarus), still playing
  49: justinnlt [2] (Lithuania), still playing
  50: k29hitok (Belarus), still playing
  51: karlospicton (United Kingdom), still playing
  52: kikiriki (Costa Rica), still playing
  53: kingfish9977 (Belarus), still playing
  54: knossos90 (Estonia), still playing
  55: kskinha [2] (Brazil), still playing
  56: muudt (Belgium), still playing
  57: pandidok (Ukraine), still playing
  58: paolopius (Germany), still playing
  59: ralws [2] (Brazil), still playing
  60: rochineitor [2] (Mexico), still playing
  61: rosagasi (Argentina), still playing
  62: schletersaft (Germany), still playing
  63: smerfedupkid [2] (Belgium), still playing
  64: toastiesmurf [2] (United Kingdom), still playing
  65: wollschreibe [2] (Germany), still playing
  66: Gabrielfs13 (Brazil), $22.63 (0.203%)
  67: jebwolu (Belgium), $22.63 (0.203%)
  68: ninjakiwi101 [3] (New Zealand), $22.63 (0.203%)
  69: tsapourelo [2] (Greece), $22.63 (0.203%)
  70: gordo chuno (Argentina), $22.63 (0.203%)
  71: nathandoarte (Brazil), $22.63 (0.203%)
  72: masionos84 [2] (Greece), $20.58 (0.184%)
  73: Tidecaller8 [2] (Greece), $20.58 (0.184%)
  74: sensy10 (Brazil), $20.58 (0.184%)
  75: tomlittle50 (United Kingdom), $20.58 (0.184%)
  76: C0C0PoK$r (Argentina), $20.58 (0.184%)
  77: MickyDonovan (United Kingdom), $20.58 (0.184%)
  78: lcruz_1 [2] (Brazil), $20.58 (0.184%)
  79: _Then Shen_ (Switzerland), $20.58 (0.184%)
  80: onlydrunkreg [2] (Brazil), $20.58 (0.184%)
  81: galdugang (Canada), $20.58 (0.184%)
  82: Dr.Freak14 (Slovenia), $20.58 (0.184%)
  83: posto do golo (Brazil), $20.58 (0.184%)
