PokerStars Tournament #3909706312, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
2135 players
Total Prize Pool: $15372.00 USD 
Tournament started 2025/07/20 14:30:00 BRT [2025/07/20 13:30:00 ET]

  1: #27JETS (Canada), still playing
  2: Anamaria214 (Ireland), still playing
  3: BOATmeupdude (United Kingdom), still playing
  4: Boka1995Zika (Brazil), still playing
  5: C0sm0 M!nd (Brazil), still playing
  6: CaioXD28 (Brazil), still playing
  7: Chris Doggy (United Kingdom), still playing
  8: DeTo4KiH (Ukraine), still playing
  9: Eddielenin (Mexico), still playing
  10: Feerapoker (Brazil), still playing
  11: FreeFlax (Sweden), still playing
  12: Gnost87 (Ukraine), still playing
  13: Guga970001 [2] (Luxembourg), still playing
  14: IgorMV85 (Ukraine), still playing
  15: KKowatAA (Brazil), still playing
  16: Lybotin (Ukraine), still playing
  17: M Vannucchi (Brazil), still playing
  18: M1r4cl38 (Lithuania), still playing
  19: M44OO (Azerbaijan), still playing
  20: MDrX1983 (Slovakia), still playing
  21: Pandamon7 (Brazil), still playing
  22: Paul12907 (United Kingdom), still playing
  23: QueirozPedro (Brazil), still playing
  24: RADemetrio (Brazil), still playing
  25: S.FILTH (Ukraine), still playing
  26: Shak88888 (Ukraine), still playing
  27: UglyFaceAces (Latvia), still playing
  28: VNvieira28 (Brazil), still playing
  29: blomman5 [3] (Sweden), still playing
  30: declonee (Estonia), still playing
  31: gamer_228_21 (Kazakhstan), still playing
  32: hyppiespec (United Kingdom), still playing
  33: iambl1tz (Belarus), still playing
  34: ingenskillz [2] (Sweden), still playing
  35: jubilantjay (United Kingdom), still playing
  36: lmiotto88 (Brazil), still playing
  37: luiseven7 (Brazil), still playing
  38: mertholstar [2] (Brazil), still playing
  39: mirodelas7 (Brazil), still playing
  40: mitsakos21 [2] (Greece), still playing
  41: northeastguy83 (Brazil), still playing
  42: pastachef811 (United Kingdom), still playing
  43: ralfrolf (Sweden), still playing
  44: razzdvatri (Kazakhstan), still playing
  45: robertodk862 [2] (Denmark), still playing
  46: sKc.94 (Brazil), still playing
  47: tachete75 [3] (Switzerland), still playing
  48: vonegutshot [2] (Ireland), still playing
  49: wcr.TBE (United Kingdom), still playing
  50: welben23 [2] (Brazil), still playing
  51: wizkhaluifa (Argentina), still playing
  52: zneelix12 (Belarus), still playing
  53: Gabrielfs13 [2] (Brazil), $33.83 (0.22%)
  54: Thi_cortes (Brazil), $33.83 (0.22%)
  55: leepidoo (Hungary), $33.83 (0.22%)
