PokerStars Tournament #3910306850, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
611 players
Total Prize Pool: $2945.00 USD 
Tournament started 2025/07/21 14:15:00 BRT [2025/07/21 13:15:00 ET]

  1: 0321pro (Brazil), still playing
  2: 1&onlyaceUK [2] (United Kingdom), still playing
  3: 101funt186 (Ukraine), still playing
  4: 77portuga (Brazil), still playing
  5: 86jano (Slovakia), still playing
  6: 999Nathas999 (Switzerland), still playing
  7: AAceLion [2] (Brazil), still playing
  8: AAndrewsKK (Brazil), still playing
  9: AKing617 (Greece), still playing
  10: Afro Inn (Switzerland), still playing
  11: Alastr_Palach (Ukraine), still playing
  12: AlexBlatt16 (Germany), still playing
  13: AlexandreAnd (Brazil), still playing
  14: Amiralsanji (Sweden), still playing
  15: Amnael134 (Bulgaria), still playing
  16: AnLed (Ireland), still playing
  17: Apoutsos (Greece), still playing
  18: AtzeMaddin (Germany), still playing
  19: AyrtonAA95 (Brazil), still playing
  20: BC_Pres (Canada), still playing
  21: BINGO010281 (Germany), still playing
  22: BUGANDER (Finland), still playing
  23: Badinho1989 (Brazil), still playing
  24: BahijFC (Sweden), still playing
  25: BalticSamurai (Latvia), still playing
  26: Bantamania [2] (United Kingdom), still playing
  27: Belcall (Belgium), still playing
  28: BenderBG (Bulgaria), still playing
  29: BlindRazorJJ (United Kingdom), still playing
  30: Blondinkasuper (Belarus), still playing
  31: Borgesxx (Brazil), still playing
  32: Brunaozera (Brazil), still playing
  33: C0C0PoK$r (Argentina), still playing
  34: CAILLOU1488 (Ukraine), still playing
  35: CMESSAA (Brazil), still playing
  36: CallMePapi1 (Sweden), still playing
  37: Camis Semidi (Brazil), still playing
  38: CaptainDominika (Slovakia), still playing
  39: Chencinski (Brazil), still playing
  40: Chris Doggy [2] (United Kingdom), still playing
  41: Clandestin07 (Brazil), still playing
  42: CocaColaZero93 (Switzerland), still playing
  43: Coreynowisky2 [2] (Brazil), still playing
  44: CryMeARiver369 (Brazil), still playing
  45: D. Achilles (Brazil), still playing
  46: D4HLK007 (United Kingdom), still playing
  47: DEERV (Brazil), still playing
  48: DELC4 (Brazil), still playing
  49: DIE HARD M.P (Greece), still playing
  50: DaKing7490 (Germany), still playing
  51: DaniloPMPB (Brazil), still playing
  52: Dincheh (United Kingdom), still playing
  53: Djaniel (Denmark), still playing
  54: Douglas00100 (Brazil), still playing
  55: DrPoita (Brazil), still playing
  56: DrPsychee (Germany), still playing
  57: Dudu 1054 (Brazil), still playing
  58: Durtykurty30 (Canada), still playing
  59: EMT250 (Brazil), still playing
  60: Elreydelcasino (Argentina), still playing
  61: Elwood G (Canada), still playing
  62: EmptyHouse82 (Brazil), still playing
  63: Escobardo27 (Switzerland), still playing
  64: EternoZé (Brazil), still playing
  65: EvilChris321 (United Kingdom), still playing
  66: F.domingospoker (Brazil), still playing
  67: FAXE86 (Germany), still playing
  68: FS5032 (Switzerland), still playing
  69: Falcaogol (Brazil), still playing
  70: Feerapoker (Brazil), still playing
  71: FiesteroAA (Argentina), still playing
  72: Fuuuuuuull (Brazil), still playing
  73: GGigInTheSky (Germany), still playing
  74: GMPaiva (Brazil), still playing
  75: Gaacruz (Brazil), still playing
  76: Gabigol912 (Argentina), still playing
  77: Gaelito23 (Brazil), still playing
  78: Ganjabriel (Chile), still playing
  79: Gerra_up (Thailand), still playing
  80: Giraardii! (Brazil), still playing
  81: Gjilan15 (Germany), still playing
  82: Gollum299 (Austria), still playing
  83: Guerreiro412 (Brazil), still playing
  84: HPOKERWOOD (United Kingdom), still playing
  85: HaruoB (Brazil), still playing
  86: Harzax (Finland), still playing
  87: Heinomat (Austria), still playing
  88: HeitorCEC (Brazil), still playing
  89: Henke1891 (Sweden), still playing
  90: Hoilond (Switzerland), still playing
  91: Hugalo13 (Brazil), still playing
  92: Hulkyyyy (Romania), still playing
  93: IamTABASCO (Ukraine), still playing
  94: IgorMV85 (Ukraine), still playing
  95: Ikarus1111 (Germany), still playing
  96: Infestus176 (United Kingdom), still playing
  97: IrkaBoss (Ukraine), still playing
  98: Iustinul (Romania), still playing
  99: IvanMasterX (Venezuela), still playing
  100: J.MossJonDon (United Kingdom), still playing
  101: J0rd4OOO (Brazil), still playing
  102: JOshuaBings (Austria), still playing
  103: Jamarcs (Denmark), still playing
  104: JepsP (Brazil), still playing
  105: Jhuda33Poque (Brazil), still playing
  106: JonathanSa12 (Brazil), still playing
  107: João Mateus (Brazil), still playing
  108: JucaItajai (Brazil), still playing
  109: Juchem1006 (Brazil), still playing
  110: Just rag it (Ireland), still playing
  111: Juvituu (Brazil), still playing
  112: KeeperBrasil (Brazil), still playing
  113: Kidbrubru (Brazil), still playing
  114: KingSouto (Brazil), still playing
  115: Kingpin95W00 (Switzerland), still playing
  116: Klasev [2] (Lithuania), still playing
  117: KleitonSilva (Brazil), still playing
  118: Krunfeld (Brazil), still playing
  119: KyPyGaGy (Lithuania), still playing
