PokerStars Tournament #3907052715, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
1785 players
Total Prize Pool: $20000.00 USD 
Tournament started 2025/07/15 16:30:00 BRT [2025/07/15 15:30:00 ET]

  1: ! DOIIIING ! (Germany), still playing
  2: $trateGema (Germany), still playing
  3: $wanswan (Ireland), still playing
  4: *HeRzWinKy* (Austria), still playing
  5: *M@RC0* A (Brazil), still playing
  6: *Rexlionex* [2] (Chile), still playing
  7: 13MagicMan13 (Austria), still playing
  8: 13albertg [2] (United Kingdom), still playing
  9: 13shaun (United Kingdom), still playing
  10: 1991vibes (United Kingdom), still playing
  11: 2008CR [2] (Costa Rica), still playing
  12: 235795r (Brazil), still playing
  13: 24DJ24 (Switzerland), still playing
  14: 3SCristian [2] (Brazil), still playing
  15: 3rdOfJuly (Bulgaria), still playing
  16: 403Canada (Canada), still playing
  17: 47anfake (Sweden), still playing
  18: 4Dice4 (United Kingdom), still playing
  19: 4Kings_Hit (United Kingdom), still playing
  20: 53bah32 (United Kingdom), still playing
  21: 5girl837 (Canada), still playing
  22: 77-NEXUS-77 (Belgium), still playing
  23: 777taxist777 (Ukraine), still playing
  24: 77blackviper (Germany), still playing
  25: A.M.A.D.S14 (Switzerland), still playing
  26: AApaulKK (United Kingdom), still playing
  27: AGV AA90 [3] (Brazil), still playing
  28: ATLG1 [2] (Ukraine), still playing
  29: AadrovanRj21 [3] (Brazil), still playing
  30: AceShark2511 (United Kingdom), still playing
  31: AchilliesDb9 (United Kingdom), still playing
  32: Adamka9405 [2] (Hungary), still playing
  33: Adisav [2] (United Kingdom), still playing
  34: AfranioMM (Brazil), still playing
  35: AiasTheGreat [2] (United Kingdom), still playing
  36: Aimi868 (Greece), still playing
  37: AlexBlatt16 [2] (Germany), still playing
  38: AlexClaude [2] (Canada), still playing
  39: Allagui31 (Morocco), still playing
  40: Amancia (United Kingdom), still playing
  41: Ananchik01 (Kazakhstan), still playing
  42: AndersonLimapb (Brazil), still playing
  43: Andreashp21 (Denmark), still playing
  44: Antion88 (Greece), still playing
  45: Anto731 (Argentina), still playing
  46: Apiolu (Argentina), still playing
  47: Arathron77 (Greece), still playing
  48: ArenaCapua (United Kingdom), still playing
  49: Arfoir (Germany), still playing
  50: Arli888 [2] (Kazakhstan), still playing
  51: ArrisonABC (Brazil), still playing
  52: Arsam_Shark (Germany), still playing
  53: Artemq4 (Kazakhstan), still playing
  54: Artesergia (Brazil), still playing
  55: AshModai90 [2] (Estonia), still playing
  56: Astondani [2] (United Kingdom), still playing
  57: Astrochino (Brazil), still playing
  58: Athuro [2] (Germany), still playing
  59: BSieben (Brazil), still playing
  60: BadgerC71 (Switzerland), still playing
  61: Baggies71 (United Kingdom), still playing
  62: Baikal77 (Latvia), still playing
  63: Balkanpate [2] (Austria), still playing
  64: Barqtz (Brazil), still playing
  65: Benitoj19 (Argentina), still playing
  66: Bienoubien13 (Switzerland), still playing
  67: BigJ0rd (United Kingdom), still playing
  68: Big_Slick836 (United Kingdom), still playing
  69: Bing4win [2] (Canada), still playing
  70: Blankenese720 (Germany), still playing
  71: BlessedTrue (Belarus), still playing
  72: BlindRazorJJ [2] (United Kingdom), still playing
  73: Bombe6 (Germany), still playing
  74: BossNow.S [2] (Belarus), still playing
  75: Bozo Bozal (Brazil), still playing
  76: Braunisx3 (Germany), still playing
  77: Brunopoker94 [3] (Brazil), still playing
  78: Budur93 (Romania), still playing
  79: ButterMeBaby [3] (Austria), still playing
  80: C.Banz (Germany), still playing
  81: CHcI_Ku (Austria), still playing
  82: CKL17 (United Kingdom), still playing
  83: COB_NTGUILTY (Ukraine), still playing
  84: CRANKdw [2] (Switzerland), still playing
  85: CarlYnwa (United Kingdom), still playing
  86: CarolDapousa (Brazil), still playing
  87: Cartefo (Estonia), still playing
  88: Carter9411 (Switzerland), still playing
  89: CashKDB17 (Romania), still playing
  90: CgZ-89 (Canada), still playing
  91: ChaseTyler14 (Canada), still playing
  92: CheckTheRipper (Switzerland), still playing
  93: Chipm0nk3y [3] (Iceland), still playing
  94: Chirola7777 (Uruguay), still playing
  95: Chops3000 (United Kingdom), still playing
  96: ChristianBR4 (Brazil), still playing
  97: Craaazy101 (Brazil), still playing
  98: CristianBiro [2] (Brazil), still playing
  99: Crumble777 (United Kingdom), still playing
  100: CrushWhales [2] (Brazil), still playing
  101: D1sable (Lithuania), still playing
  102: DHFUN3490 [4] (Finland), still playing
  103: DKNICK86 (Denmark), still playing
  104: DMJ333 [2] (Germany), still playing
  105: DOCTORSFF (Brazil), still playing
  106: DOL2020 (United Kingdom), still playing
  107: Daddddymufff [4] (United Kingdom), still playing
  108: Dammisahne [2] (Germany), still playing
  109: DanBooM uno (United Kingdom), still playing
  110: DaniloPMPB (Brazil), still playing
  111: Danyboy19671 (Canada), still playing
  112: Dark Wiper [2] (Lithuania), still playing
  113: DarkziN6 (Brazil), still playing
  114: Darn L (United Kingdom), still playing
  115: Deltapf [5] (Brazil), still playing
  116: DemonOfDawn (Brazil), still playing
  117: Dieferson09 [3] (Brazil), still playing
  118: Djivvo (Sweden), still playing
  119: Djo babaX (Belarus), still playing
  120: Dostat22 [3] (Switzerland), still playing
  121: Dr Seemann (Denmark), still playing
  122: Dr. Wet Fart [3] (United Kingdom), still playing
  123: Drdri21 [3] (Greece), still playing
  124: Eaglov [2] (Morocco), still playing
  125: Edo1398 (Armenia), still playing
  126: Edvini-Joni (Switzerland), still playing
  127: ElOso2798 [2] (Argentina), still playing
  128: Emilohlsson [2] (Sweden), still playing
  129: EmmaLeach42 (United Kingdom), still playing
  130: Enex96 (Germany), still playing
  131: EricBolis (Brazil), still playing
  132: Esaul11 (Belarus), still playing
  133: EugeneShev [3] (Ukraine), still playing
  134: Eugler111 [4] (Germany), still playing
  135: Exc1usivePS (Kazakhstan), still playing
  136: F@rmacefto (Ukraine), still playing
  137: FELIPERA.CWB (Brazil), still playing
  138: FGaudenciopb [2] (Brazil), still playing
  139: FastEdiddy (Canada), still playing
  140: Fazor08 (United Kingdom), still playing
  141: Fedeleiva10 [2] (Argentina), still playing
  142: Feistritz226 (Austria), still playing
  143: FiesteroAA (Argentina), still playing
  144: Fis01 (Brazil), still playing
  145: Flex2703 (Germany), still playing
  146: FoRm4T (Brazil), still playing
  147: FollowTheBreath [2] (Costa Rica), still playing
  148: FouXee [5] (United Kingdom), still playing
  149: Foxy_Donkey (Denmark), still playing
  150: Frankinshtain55 (Kazakhstan), still playing
  151: Fyrstefyr (Denmark), still playing
  152: GPBeltomo1 (Argentina), still playing
  153: GT192021 (United Kingdom), still playing
  154: Garr115 (Ireland), still playing
  155: GdeMoyNosok (Ukraine), still playing
  156: Ghiiiiiiiiiisi (Brazil), still playing
  157: GibmyMany [2] (Switzerland), still playing
  158: Giucag (Brazil), still playing
  159: GodesSilverhaze [4] (Switzerland), still playing
  160: Graffpoker01 [2] (Denmark), still playing
  161: Guiga_Eller (Brazil), still playing
  162: Gurupoker77 (Ukraine), still playing
  163: Guxan (Sweden), still playing
  164: HAMB1NO (Sweden), still playing
  165: HEIST_THIAGO (Uruguay), still playing
  166: HLS_FCP3 [2] (Belgium), still playing
  167: HU4FU (Sweden), still playing
  168: Ha$hsta (Brazil), still playing
  169: Haddde [2] (Sweden), still playing
  170: HeitorCEC [2] (Brazil), still playing
  171: Helton345 (Brazil), still playing
  172: Hericiaceae (Uzbekistan), still playing
  173: Hierolin [2] (Germany), still playing
  174: Hlcptr_$$ (Switzerland), still playing
  175: Horny Hob (United Kingdom), still playing
  176: HowLuckI@m (Brazil), still playing
  177: Hsk16 (Canada), still playing
  178: Huitzi1opocht1i (Germany), still playing
  179: I GG YOU (Sweden), still playing
  180: I Play Cash (United Kingdom), still playing
  181: I am 8 (United Kingdom), still playing
  182: I'llTheBest (Brazil), still playing
  183: Idsco168 [3] (Switzerland), still playing
  184: Illadow [2] (Belarus), still playing
  185: ImNotYoBro (Germany), still playing
  186: ImRaiiNz (Germany), still playing
  187: InFavoreM (Ukraine), still playing
  188: InTM@N (Ukraine), still playing
  189: Inker II (Ukraine), still playing
  190: Iplayoupay [4] (Ireland), still playing
  191: Irexes (United Kingdom), still playing
  192: IrkaBoss (Ukraine), still playing
  193: Isthisforme? (Denmark), still playing
  194: IvanMasterX [3] (Venezuela), still playing
  195: JKin_G560 (Austria), still playing
  196: JOAOFWEBBER [2] (Brazil), still playing
  197: JPM1010 (Brazil), still playing
  198: JRuiJr (Brazil), still playing
  199: JSMoore1901 (Ireland), still playing
  200: Jah Pepit (Belgium), still playing
  201: JamalaLove (Romania), still playing
  202: Jammer2162 [2] (Austria), still playing
  203: JanosHSPoker [3] (Denmark), still playing
  204: JapaSawada (Brazil), still playing
  205: Jeffin_DF (Brazil), still playing
  206: Jendo86 [2] (Finland), still playing
  207: JesseOjala (Finland), still playing
  208: Jigen09 (Finland), still playing
  209: Jigsey Jo [2] (United Kingdom), still playing
  210: Jigsz19 (Switzerland), still playing
  211: Jjerrye (Finland), still playing
  212: Joel_mengo [2] (Brazil), still playing
  213: JoiKarl [2] (Iceland), still playing
  214: JokeR1992D (Moldova), still playing
  215: Jonas Bloemen (Belgium), still playing
  216: Jonatas920 (Brazil), still playing
  217: Joney321 (Germany), still playing
  218: Joren500 (Belgium), still playing
  219: JovemPromessa (Brazil), still playing
  220: JuLiOcTas (Brazil), still playing
  221: JuVeNicko_93 [2] (Denmark), still playing
  222: Juanji5418 (Argentina), still playing
