PokerStars Tournament #3910306250, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
4951 players
Total Prize Pool: $50490.00 USD 
Tournament started 2025/07/27 14:00:00 BRT [2025/07/27 13:00:00 ET]

  1: # 1 skills (Canada), still playing
  2: #27JETS (Canada), still playing
  3: #Runmarker (Sweden), still playing
  4: #c_jr15 [2] (Brazil), still playing
  5: $$$CAMEL.T86 (Ukraine), still playing
  6: $ammyBoy (United Kingdom), still playing
  7: $ampaioBruno (Brazil), still playing
  8: $kiLLme1sTeR (Belarus), still playing
  9: $kullcosta (Brazil), still playing
  10: $partan4ik (Belarus), still playing
  11: $tr@teg@$1 (Ireland), still playing
  12: $trateGema (Germany), still playing
  13: *1974N0B (Argentina), still playing
  14: -Homer_Jay-t (Brazil), still playing
  15: -shameLi- (Switzerland), still playing
  16: 007jogabem (Brazil), still playing
  17: 00_Blackout [2] (Brazil), still playing
  18: 00gap00 (Brazil), still playing
  19: 0321pro [2] (Brazil), still playing
  20: 05T05T (Sweden), still playing
  21: 0IQCa11er (Mexico), still playing
  22: 100%NotBluffing (United Kingdom), still playing
  23: 100CACIFE (Brazil), still playing
  24: 101funt186 (Ukraine), still playing
  25: 10LB10 (Austria), still playing
  26: 11mu35 (Austria), still playing
  27: 1337Gambl0r (Austria), still playing
  28: 13georgiev13 (Bulgaria), still playing
  29: 17tomcat [2] (Switzerland), still playing
  30: 1913_Gbr (Brazil), still playing
  31: 1973martin (United Kingdom), still playing
  32: 19Gollum67 (Switzerland), still playing
  33: 1Don'tGoBroke1 (Switzerland), still playing
  34: 1XtraVert (Kazakhstan), still playing
  35: 1fi9lip9 (Slovakia), still playing
  36: 1sweder (Belgium), still playing
  37: 1ts0k (Belarus), still playing
  38: 216ben216 (Belarus), still playing
  39: 2232012 (Vietnam), still playing
  40: 30516632 (Brazil), still playing
  41: 33john (Romania), still playing
  42: 37*11"Grant (Bulgaria), still playing
  43: 3DHallows (Switzerland), still playing
  44: 3NiGm@ (Germany), still playing
  45: 4Kings_Hit (United Kingdom), still playing
  46: 4hustla20 [2] (Canada), still playing
  47: 4k.falc (Ukraine), still playing
  48: 5Nu4ka (Belarus), still playing
  49: 5wob (United Kingdom), still playing
  50: 663Daur (Kazakhstan), still playing
  51: 77 Maia (Brazil), still playing
  52: 77PAko77 (Ukraine), still playing
  53: 77TheMayor77 (Brazil), still playing
  54: 77blackviper (Germany), still playing
  55: 77kamikaze77 (Brazil), still playing
  56: 7jujuba7 (Brazil), still playing
  57: 86ofdiamonds (Romania), still playing
  58: 8gam€ (Slovakia), still playing
  59: 95RB95 [4] (Slovakia), still playing
  60: 99dm84 [3] (Bosnia and Herzegovina), still playing
  61: 9m41k [2] (Belarus), still playing
  62: A.M.A.D.S14 [3] (Switzerland), still playing
  63: A.Martinns [2] (Brazil), still playing
  64: A777BX (Kazakhstan), still playing
  65: AALAVANDOSKI (Brazil), still playing
  66: AAdonkeY066 (Brazil), still playing
  67: AAzolowAA (Brazil), still playing
  68: ABugFixer (Austria), still playing
  69: AJIeKc19 (Uzbekistan), still playing
  70: ALEX_kingpk [2] (Brazil), still playing
  71: ALTUSDOMUS [3] (Brazil), still playing
  72: ANachi20 (Argentina), still playing
  73: APaviani (Brazil), still playing
  74: APrado1 (Brazil), still playing
  75: ARHINJO [2] (Belarus), still playing
  76: ARTRAISER (Brazil), still playing
  77: ASAP75 (Belgium), still playing
  78: ATLG1 (Ukraine), still playing
  79: AWR69 (Canada), still playing
  80: AamiUa [2] (Ukraine), still playing
  81: AapoNegreanu (Finland), still playing
  82: Abdalinha26 (Brazil), still playing
  83: AbulFadl (Estonia), still playing
  84: Accio Aces1 (Brazil), still playing
  85: AcesBrewery (Argentina), still playing
  86: AcesInPlaces1 (United Kingdom), still playing
  87: Acrt456 (Brazil), still playing
  88: Adambl58 (Ukraine), still playing
  89: Adibarboza (Brazil), still playing
  90: Adil Mussin (Kazakhstan), still playing
  91: Adisaga [2] (Switzerland), still playing
  92: Adso139 (Argentina), still playing
  93: Agarraesta [2] (Argentina), still playing
  94: AggroSloth90 [2] (Belarus), still playing
  95: Ahmed0410 [2] (Denmark), still playing
  96: Ai_evasive (Germany), still playing
  97: AidXtr (Ukraine), still playing
  98: Airnoldo23 (Mexico), still playing
  99: Al3x1zz (Sweden), still playing
  100: Alan Melo (Brazil), still playing
  101: Alaverda (El Salvador), still playing
  102: Alchi Lee (Belarus), still playing
  103: Aldo18042002 (Mexico), still playing
  104: Alejandrod32 [2] (Argentina), still playing
  105: AleksChalyy (Ukraine), still playing
  106: AlessaLauria (Belgium), still playing
  107: Aletota14 (Brazil), still playing
  108: Alex Shepel [2] (Mexico), still playing
  109: AlexG1986 (Germany), still playing
  110: AlexGC1989 [2] (Romania), still playing
  111: AlexSanchezaz (Ukraine), still playing
  112: AlexTheGR25 (Greece), still playing
  113: Algorab (Germany), still playing
  114: Alika DJ (Argentina), still playing
  115: Alilu14 (Switzerland), still playing
  116: Alistair2121 (United Kingdom), still playing
  117: Almi87 [3] (Austria), still playing
  118: AlmightyA (Ukraine), still playing
  119: Alvaro.027 (Brazil), still playing
  120: Alvinegro22 (Brazil), still playing
  121: Ananchik01 (Kazakhstan), still playing
  122: AndMarch (Belarus), still playing
  123: AndnetoPoker (Brazil), still playing
  124: Andre L971 [2] (Brazil), still playing
  125: Andrebrito1 (Brazil), still playing
  126: Andrii2002 (Ukraine), still playing
  127: Andruxa1927 (Ukraine), still playing
  128: AnonAnomaly (Ireland), still playing
  129: AntonRedDevils (Sweden), still playing
  130: AntonyKK (Argentina), still playing
  131: AokiJrBr [2] (Brazil), still playing
  132: AquiNãoNeném (Brazil), still playing
  133: Arcanjo9917 (Brazil), still playing
  134: Armend_5400 (Switzerland), still playing
  135: Armoureddh7 (Ukraine), still playing
  136: Armstrong1981 [2] (Canada), still playing
  137: Arnisss [2] (United Kingdom), still playing
  138: Arrivider4i (Ukraine), still playing
  139: Arrows16 (United Kingdom), still playing
  140: Arrrww (Sweden), still playing
  141: ArthurHFM (Brazil), still playing
  142: Arwands [2] (Belarus), still playing
  143: Asamoah32 (Greece), still playing
  144: AshModai90 [2] (Estonia), still playing
  145: Aspers_BLR (Belarus), still playing
  146: Assad91 (Argentina), still playing
  147: Assesinador (Mexico), still playing
  148: Astrochino (Brazil), still playing
  149: AutoBiographie (Belgium), still playing
  150: Avmatos88 (Brazil), still playing
  151: Avsfan.929 (Canada), still playing
  152: Azor Ahigh (Malta), still playing
  153: BEGZ25 (United Kingdom), still playing
  154: BELARUS_Polak (Belarus), still playing
  155: BELLABRIG (United Kingdom), still playing
  156: BHOpunga (Romania), still playing
  157: BINGO010281 (Germany), still playing
  158: BMG198585 [2] (Germany), still playing
  159: BNacho_11 (Argentina), still playing
  160: BaXer4iK (Ukraine), still playing
  161: BabyShark1kk (Ukraine), still playing
  162: BadaloaFill [2] (Brazil), still playing
  163: BaladeiroTV (Brazil), still playing
  164: BambamDoBet (Brazil), still playing
  165: Bambii8719 (United Kingdom), still playing
  166: Bananmats (United Kingdom), still playing
  167: Bantamania (United Kingdom), still playing
  168: BaraCPH [3] (Denmark), still playing
  169: Baratolouco24 (Brazil), still playing
  170: Baron77787 (Germany), still playing
  171: Basigol (Brazil), still playing
  172: Bazinga23CRF (Brazil), still playing
  173: BeauB3au [2] (Ireland), still playing
  174: Benfica10 [2] (Canada), still playing
  175: Bergan0262 [2] (Sweden), still playing
  176: Berkowitz33 [2] (Brazil), still playing
  177: Berkut2222 (Azerbaijan), still playing
  178: Bertuqui420 (Brazil), still playing
  179: BertyBigBaIIs (Isle Of Man), still playing
  180: Bet Helmet (Germany), still playing
  181: Bianco13Verde (Greece), still playing
  182: BielEmydio (Brazil), still playing
  183: BigBrimmer (Canada), still playing
  184: BigPhill87 (Brazil), still playing
  185: Big_Truck_6 (Switzerland), still playing
  186: BigfishAAAA (Canada), still playing
  187: Biguethi339 (Brazil), still playing
  188: Billy Dean34 (Ukraine), still playing
  189: Bindiuga (Belgium), still playing
  190: BiscuitBobby (United Kingdom), still playing
  191: Blackgrindfr [2] (Thailand), still playing
  192: BlessedTrue (Belarus), still playing
  193: BlinDera (Brazil), still playing
  194: Blom96 [2] (Sweden), still playing
  195: BluePlads (Denmark), still playing
  196: Blufftome_72 (Germany), still playing
  197: BobJow93 (Brazil), still playing
  198: BobiBigspuds (United Kingdom), still playing
  199: Boca47 (Brazil), still playing
  200: Boene (Germany), still playing
  201: Borovoy's (Kazakhstan), still playing
  202: BossNow.S [2] (Belarus), still playing
  203: Bosstron10 (Switzerland), still playing
  204: Botticelli11 (Belarus), still playing
  205: Bourgeois88 (Canada), still playing
  206: Br0ke24/7 (Germany), still playing
  207: Brad231214 [3] (United Kingdom), still playing
  208: BrasilNinja (Brazil), still playing
