PokerStars Tournament #3910305831, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
1595 players
Total Prize Pool: $15950.00 USD 
Tournament started 2025/07/21 14:30:00 BRT [2025/07/21 13:30:00 ET]

  1: # 1 skills (Canada), still playing
  2: $T4CKINCHIP$ (United Kingdom), still playing
  3: $teve45 (Germany), still playing
  4: *HeRzWinKy* (Austria), still playing
  5: 0PTI-MEN (Brazil), still playing
  6: 101funt186 (Ukraine), still playing
  7: 10LB10 (Austria), still playing
  8: 13shaun (United Kingdom), still playing
  9: 19Dan86 (United Kingdom), still playing
  10: 1fudihara (Brazil), still playing
  11: 21Sadge (Thailand), still playing
  12: 30/13-138 (Ukraine), still playing
  13: 3dzik [2] (Lithuania), still playing
  14: 8pokerwolf8 (Germany), still playing
  15: 9m41k [2] (Belarus), still playing
  16: A1waysW1n (Ukraine), still playing
  17: AGV AA90 (Brazil), still playing
  18: ALTUSDOMUS [3] (Brazil), still playing
  19: Acrobat909 [2] (Lithuania), still playing
  20: Alan Melo (Brazil), still playing
  21: Alaverda (El Salvador), still playing
  22: AleksChalyy (Ukraine), still playing
  23: Alekseygrodno [2] (Belarus), still playing
  24: AlexandreAnd (Brazil), still playing
  25: Altero1 (Belgium), still playing
  26: Anybody_11 (Austria), still playing
  27: Artemq4 (Kazakhstan), still playing
  28: Asd0r [2] (Denmark), still playing
  29: Augustinhoo (Brazil), still playing
  30: B.Paulino (Brazil), still playing
  31: BC_Pres (Canada), still playing
  32: BERNARDI7015 (Brazil), still playing
  33: BaXer4iK (Ukraine), still playing
  34: Beautie0 (Indonesia), still playing
  35: BoGo_Bra1n (Bulgaria), still playing
  36: Bombe6 [2] (Germany), still playing
  37: Bossu388 (Denmark), still playing
  38: Brisclad (Malta), still playing
  39: Bruno "FrZy" (Brazil), still playing
  40: Brunomelo92 (Brazil), still playing
  41: Bught (Ukraine), still playing
  42: C05MIN2 (United Kingdom), still playing
  43: C0mpetition (Ukraine), still playing
  44: C0sm0 M!nd (Brazil), still playing
  45: CHIPSCRAZYY [3] (Brazil), still playing
  46: CKL17 (United Kingdom), still playing
  47: C_Diabate [2] (Switzerland), still playing
  48: CaioFerraz AK (Brazil), still playing
  49: CanadianFlower (Canada), still playing
  50: Captaincamby (United Kingdom), still playing
  51: Champione21 (Finland), still playing
  52: Chip-spunk [2] (United Kingdom), still playing
  53: Chris Doggy (United Kingdom), still playing
  54: ChristianBR4 (Brazil), still playing
  55: Cigana#13 (Brazil), still playing
  56: Clootsi (Belgium), still playing
  57: Cris chucky [2] (Brazil), still playing
  58: Cundonk (Argentina), still playing
  59: CyrSau (Switzerland), still playing
  60: DDayNoel32 [2] (Canada), still playing
  61: DELC4 (Brazil), still playing
  62: DaniloPMPB [2] (Brazil), still playing
  63: DarkSkies21 (Brazil), still playing
  64: Dauergewinner (Austria), still playing
  65: Dayanet [3] (Ukraine), still playing
  66: Deitmer (Austria), still playing
  67: Dekinhu (Brazil), still playing
  68: DionataPZZ (Brazil), still playing
  69: Douglas00100 (Brazil), still playing
  70: Dubi74 (Argentina), still playing
  71: Dudu 1054 (Brazil), still playing
  72: EMA7797 (United Kingdom), still playing
  73: EYSTEINN95 (Malta), still playing
  74: EarDSnake (Chile), still playing
  75: Egroe (Romania), still playing
  76: ElronMcBong88 (Switzerland), still playing
  77: Erou [2] (Finland), still playing
  78: EugeneShev (Ukraine), still playing
  79: ExcepTions (United Kingdom), still playing
  80: FL_RAP (Ukraine), still playing
  81: FTJDB [2] (United Kingdom), still playing
  82: Faet N (Brazil), still playing
  83: Falkenhard97 (Denmark), still playing
  84: Favorner (Ukraine), still playing
  85: Fedeleiva10 (Argentina), still playing
  86: Fernandooluizz (Brazil), still playing
  87: FiesteroAA [2] (Argentina), still playing
  88: FlipMaster08 (Brazil), still playing
  89: Fobia Kid (Slovakia), still playing
  90: FollowTheBreath (Costa Rica), still playing
  91: Fugliee [2] (United Kingdom), still playing
  92: FvalifDonar (Latvia), still playing
  93: GAMBLE_L0RD [2] (Switzerland), still playing
  94: Gamblex21 (Belgium), still playing
  95: Gamotongayro (Greece), still playing
  96: Genio-CSZ [2] (Brazil), still playing
  97: GeorgyV32 (Romania), still playing
  98: Giki123 [2] (Slovenia), still playing
  99: Gilberto.gyn (Brazil), still playing
  100: GinaMatt2022 [2] (United Kingdom), still playing
  101: Gordpoker1 (Brazil), still playing
  102: Gov562 (United Kingdom), still playing
  103: Grasquet (Costa Rica), still playing
  104: Guga970001 (Luxembourg), still playing
  105: Guialves27 [2] (Brazil), still playing
  106: Guijemo (Austria), still playing
  107: HIArtus (Germany), still playing
  108: HeitorCEC [2] (Brazil), still playing
  109: Hoff_Fish77 [2] (Brazil), still playing
  110: Hugalo13 [3] (Brazil), still playing
  111: Huitzi1opocht1i (Germany), still playing
  112: I GG YOU (Sweden), still playing
  113: ITA_GAMBL3R (Germany), still playing
  114: I_RAKE_U (Denmark), still playing
  115: IamTABASCO (Ukraine), still playing
  116: IronHydride (United Kingdom), still playing
  117: Izinmsr (Brazil), still playing
  118: JDigweed7 (Argentina), still playing
  119: JPMalicia (Brazil), still playing
  120: Jamjam7979 (Switzerland), still playing
  121: Jhuda33Poque (Brazil), still playing
  122: Jo panpan (Belgium), still playing
  123: JohnnyGranath (Sweden), still playing
  124: JonathanSa12 [2] (Brazil), still playing
  125: Joney321 [3] (Germany), still playing
  126: Josquin123 (Mexico), still playing
  127: João Mateus (Brazil), still playing
  128: JuVeNicko_93 [2] (Denmark), still playing
  129: Just rag it (Ireland), still playing
  130: Just_BMC (Brazil), still playing
  131: Juvituu (Brazil), still playing
  132: KINGWONKA (Argentina), still playing
  133: Karel Thor (Brazil), still playing
  134: KleitonSilva [2] (Brazil), still playing
  135: Ko1ya777 (Thailand), still playing
  136: Korkmaz_mk64 (Moldova), still playing
  137: KorteX.ma (Morocco), still playing
  138: Kriidikarp (Estonia), still playing
  139: LFMC027 (Brazil), still playing
  140: Lafleur1964 [2] (Canada), still playing
  141: Laurent2522 (Belgium), still playing
  142: LeandroKoles (Brazil), still playing
  143: LeoLSilva (Brazil), still playing
  144: Leon0840 (Brazil), still playing
  145: Louez23 (Brazil), still playing
  146: LuAAnzerAA (Brazil), still playing
  147: LuKe77A (Brazil), still playing
  148: LuckyLuciano511 (Switzerland), still playing
  149: M1r4cl38 (Lithuania), still playing
  150: MANOSPAP65 (Greece), still playing
  151: MARQUIM91 (Brazil), still playing
  152: MIRAG3M (Brazil), still playing
  153: MOLLOT (Ukraine), still playing
  154: MadBike64 (Brazil), still playing
  155: Makeplay [2] (Faroe Islands), still playing
  156: Malandron_22 (Brazil), still playing
  157: Marcello G. (Austria), still playing
  158: Mariana Caet (Brazil), still playing
  159: MarlzTV (United Kingdom), still playing
  160: Mathaus 500 (Brazil), still playing
  161: MbStoffel [2] (Brazil), still playing
  162: Medeiros B. [2] (Brazil), still playing
  163: Mejlholm (Denmark), still playing
  164: Melobeat [2] (United Kingdom), still playing
  165: Mers00001 (Ukraine), still playing
  166: Mertz18 (Denmark), still playing
  167: Milo GT7 (Brazil), still playing
  168: Miranda1410 [2] (Brazil), still playing
  169: Monarlet18 (Ukraine), still playing
  170: MosquitoGG [2] (Brazil), still playing
  171: Mr. Mancu (Argentina), still playing
  172: Mr.BarneyB (United Kingdom), still playing
  173: MrGuilbeault (Canada), still playing
  174: Mrelashvili [2] (Germany), still playing
  175: Mrnalyd (Switzerland), still playing
  176: MuQQueens [2] (Canada), still playing
  177: Nane89 [2] (Romania), still playing
  178: NePoPeN [3] (Switzerland), still playing
  179: Neccesary (Canada), still playing
  180: Ned_bg (Bulgaria), still playing
  181: Neocortex_UA (Ukraine), still playing
  182: Neto.cwb1 (Brazil), still playing
  183: Neto_Peruzzo (Brazil), still playing
  184: NewbatmanDFR [2] (Romania), still playing
  185: NicolajMunk (Denmark), still playing
  186: NorBaggio (Hungary), still playing
  187: OMGSOMKEWEED (Switzerland), still playing
  188: Oddsetprofil (Denmark), still playing
  189: OvEr 2 YoU (United Kingdom), still playing
  190: Owaint016 (United Kingdom), still playing
  191: P0TCHECKER99 (Germany), still playing
  192: PAIXOXÓ (Brazil), still playing
  193: PIPOQUEER [2] (Brazil), still playing
  194: PIskotEU (Austria), still playing
  195: PKY_BaHbKa (Belarus), still playing
  196: PROROK810 (Belarus), still playing
  197: Parrafelipe (Brazil), still playing
  198: Passa1dolar (Brazil), still playing
  199: Paul75_money (United Kingdom), still playing
  200: Paulada007 (Brazil), still playing
  201: Philipp2611 (Germany), still playing
  202: Pillero5 (Switzerland), still playing
  203: Pip316 [3] (Chile), still playing
  204: Pisein31415 (Brazil), still playing
  205: Pitinnnn (Brazil), still playing
  206: PsychOrwell (Germany), still playing
  207: QuadraGil (Brazil), still playing
  208: RFirmino96 (Brazil), still playing
  209: RafaPerroni [2] (Brazil), still playing
  210: Rafael-BT88 (Brazil), still playing
  211: RandyZerg (Ukraine), still playing
  212: Ravic77 [2] (Estonia), still playing
  213: ReacTzZPS (Austria), still playing
  214: Real-Joschi (Germany), still playing
  215: Reinhard72 [2] (Austria), still playing
  216: RichOne666 (Brazil), still playing
  217: Riesa82 (Finland), still playing
  218: Riksholm (Finland), still playing
  219: Rizlas111 (United Kingdom), still playing
  220: Rodrigo154 (Brazil), still playing
  221: S1gheddii (Latvia), still playing
  222: SERAFINO17 (Switzerland), still playing
  223: SanayCASINO (Ukraine), still playing
  224: Sanchous2001 (Belarus), still playing
  225: SemS777 (Ukraine), still playing
  226: Shadowdron24 (Belarus), still playing
  227: ShincoUA (Ukraine), still playing
  228: SirJimothy (United Kingdom), still playing
  229: SitchyDK [2] (Denmark), still playing
  230: Solojuve1010 [2] (Switzerland), still playing
  231: Stanyxx (Belarus), still playing
  232: Sänd (Switzerland), still playing
  233: TSA_003 (Armenia), still playing
  234: TeaTPAJI (Vietnam), still playing
  235: ThalleSx (Brazil), still playing
  236: The Whip66 (Denmark), still playing
  237: TheLong1 [2] (United Kingdom), still playing
  238: Thi_cortes (Brazil), still playing
  239: ThiagoEscr (Brazil), still playing
  240: TiagoY (Brazil), still playing
  241: ToTheMax11 (Denmark), still playing
  242: Toratti (Brazil), still playing
  243: TorukMaktuson [2] (Brazil), still playing
  244: Trapsdor (Switzerland), still playing
  245: Travelich (Belarus), still playing
  246: Trem_mineiro (Brazil), still playing
  247: Trick2209 (Germany), still playing
  248: Truefinale (Belarus), still playing
  249: Valduk f (Ukraine), still playing
  250: Velibio (Denmark), still playing
  251: VingadoresX (Brazil), still playing
  252: ViniciusJ94 (Brazil), still playing
  253: VlNNY2004 (Denmark), still playing
  254: Wave_Mongao (Canada), still playing
  255: Wehr333 (Moldova), still playing
  256: WhiteGloux (Canada), still playing
  257: WinstonPlaying (Switzerland), still playing
  258: Wizards_Tom (Belgium), still playing
  259: Wonderkidakr1 (Greece), still playing
  260: X!DoMyBestX (Ukraine), still playing
  261: XdusselX (Thailand), still playing
  262: Yabdi (Germany), still playing
  263: Yeeshh (Estonia), still playing
  264: YouAreaTowel (United Kingdom), still playing
  265: ZeCommander (Canada), still playing
  266: Zeifod (Bulgaria), still playing
  267: Zezea2003 [2] (Moldova), still playing
  268: Zforthewin (Hungary), still playing
  269: Zugolaro (Brazil), still playing
  270: _m0ney2_89 (Belarus), still playing
  271: abusch (Germany), still playing
  272: adrzz2 (Brazil), still playing
  273: akfonts [3] (United Kingdom), still playing
  274: alannlopess (Brazil), still playing
  275: alatreks (Morocco), still playing
  276: alencarfu [3] (Brazil), still playing
  277: alushi6 (Germany), still playing
  278: alx greek 13 (Ukraine), still playing
  279: amix420 (Kazakhstan), still playing
  280: andmatos97 (Brazil), still playing
  281: areshatar97 [2] (Bulgaria), still playing
  282: arharovec (Belarus), still playing
  283: arkolino (Brazil), still playing
  284: ashbuuurn (Lithuania), still playing
  285: attilak87 [2] (United Kingdom), still playing
  286: azat488 (Kazakhstan), still playing
  287: bartjefoxx (Belgium), still playing
  288: bhallaldeva (United Kingdom), still playing
  289: bigchongs79 (Canada), still playing
  290: biuzinho17 (Brazil), still playing
  291: bixotry (Brazil), still playing
  292: blomman5 (Sweden), still playing
  293: bobarudragos [3] (Romania), still playing
  294: boogdyvl (Romania), still playing
  295: borchardt007 (Brazil), still playing
  296: brazmazmoz (United Kingdom), still playing
  297: brian 27979 [3] (United Kingdom), still playing
  298: brunofaes405 (Brazil), still playing
  299: brunopatri2m (Brazil), still playing
  300: c henriqu911 (Brazil), still playing
  301: calapansi77 [2] (Switzerland), still playing
  302: canadaleg (Canada), still playing
  303: carlsuttonjsy (United Kingdom), still playing
  304: casio2424 [3] (Canada), still playing
  305: cebolinha_rs (Brazil), still playing
  306: cely000 (Denmark), still playing
  307: charly94alc (Mexico), still playing
  308: check198113 (Canada), still playing
  309: chexetto (Brazil), still playing
  310: choii94 (Brazil), still playing
  311: citro0ns [2] (Latvia), still playing
  312: cjm2405 [2] (United Kingdom), still playing
  313: claudinei25 (Brazil), still playing
  314: claytonfpaz (Brazil), still playing
  315: connollylj (United Kingdom), still playing
  316: crazy6464 [2] (Brazil), still playing
  317: cyrusboy (Belgium), still playing
  318: d1stefan0 (Belarus), still playing
  319: danilo_pegas (Ukraine), still playing
  320: daveyboyy94 [2] (United Kingdom), still playing
  321: dazzer321 [2] (Ireland), still playing
  322: dewill11 (Ireland), still playing
  323: deyrzuited (Ireland), still playing
  324: dineloco22 (Brazil), still playing
  325: djcallidus (Austria), still playing
  326: djillip (Austria), still playing
  327: douglasrhs (Brazil), still playing
  328: draggggi (Sweden), still playing
  329: dukasr (Greece), still playing
  330: duxo 93 [2] (Brazil), still playing
  331: ebola2k (Germany), still playing
  332: elerson10 (Brazil), still playing
  333: eliveltontp (Brazil), still playing
  334: elle89 (Germany), still playing
  335: emi_nico09 (Argentina), still playing
  336: ender749 [2] (United Kingdom), still playing
  337: enoemis13 (Slovakia), still playing
  338: eron profi [2] (Brazil), still playing
  339: fedazete (Brazil), still playing
  340: flavin frgs (Brazil), still playing
  341: flowerofromance (Switzerland), still playing
  342: flushiingKIT (Brazil), still playing
  343: fnapoker1995 [2] (Argentina), still playing
  344: fnastari (Brazil), still playing
  345: fouracewiz1 (United Kingdom), still playing
  346: fpsmed (Brazil), still playing
  347: freezeplay (Canada), still playing
  348: freezyking (Greece), still playing
  349: funados (Chile), still playing
  350: ga_augusto96 (Brazil), still playing
  351: gabrigomez (El Salvador), still playing
  352: gabstone (Brazil), still playing
  353: gacr 43 [2] (United Kingdom), still playing
  354: glnas (Brazil), still playing
  355: gmdef.2001 (Brazil), still playing
  356: gneves017 (Brazil), still playing
  357: griggle_799 [3] (Argentina), still playing
  358: grituc (Moldova), still playing
  359: gucklood (Bulgaria), still playing
  360: guix2x (Brazil), still playing
  361: h_j_nikolovi (Bulgaria), still playing
  362: hagi__chris (Switzerland), still playing
  363: hampman03 (Sweden), still playing
  364: hayashi12 (Brazil), still playing
  365: hbk543 (United Kingdom), still playing
  366: hoopay (Brazil), still playing
  367: hot_angel681 (Austria), still playing
  368: hypno (United Kingdom), still playing
  369: ibenj10 (United Kingdom), still playing
  370: internot [2] (Belgium), still playing
  371: ivvepower (Sweden), still playing
  372: jagaarn (Sweden), still playing
  373: jerome6820 (Belgium), still playing
  374: joaomarcello (Brazil), still playing
  375: joelgsl (Austria), still playing
  376: johnymcc (Ireland), still playing
  377: joko2363 (Germany), still playing
  378: jonespkr (Brazil), still playing
  379: jonikatvil (Belarus), still playing
  380: jrodriguez95 (Argentina), still playing
  381: juniorbr25 (Brazil), still playing
  382: justv1ctory (Belarus), still playing
  383: kaz831 (United Kingdom), still playing
  384: kekedabamos (United Kingdom), still playing
  385: kerburan1969 (Sweden), still playing
  386: keyhell [2] (Brazil), still playing
  387: kijardi [3] (Argentina), still playing
  388: koshmaar (Estonia), still playing
  389: krebou (Switzerland), still playing
  390: kresteno (Denmark), still playing
  391: kutraDima (Belarus), still playing
  392: lanerx5 (Slovenia), still playing
  393: laughingdad (Canada), still playing
  394: lbg2410 [3] (Panama), still playing
  395: leoduarte13 (Brazil), still playing
  396: leukerd3 (Belgium), still playing
  397: liud001 (United Kingdom), still playing
  398: livelikenolimit (United Kingdom), still playing
  399: ljma12 (Brazil), still playing
  400: lohalzerabh (Brazil), still playing
  401: lordsimeone [2] (Chile), still playing
  402: lsp pest (Brazil), still playing
  403: ltcas89 (Brazil), still playing
  404: luchochivo1782 (Argentina), still playing
  405: lukebadass (Germany), still playing
  406: lvss12 (Brazil), still playing
  407: maguchi31 (Argentina), still playing
  408: marcio1818 (Brazil), still playing
  409: maros1975 (Slovakia), still playing
  410: mateusneydia (Brazil), still playing
  411: maximus_3703 (Belarus), still playing
  412: mekkan10 [3] (Sweden), still playing
  413: melkone1 [2] (Ukraine), still playing
  414: menhalk (Greece), still playing
  415: michel_ah89 (Brazil), still playing
  416: molina.bra (Brazil), still playing
  417: mononet313 (Argentina), still playing
  418: mote0007 (Lithuania), still playing
  419: mparides (Greece), still playing
  420: mr.kralle (Austria), still playing
  421: muquera (Brazil), still playing
  422: murdoch0 (Slovakia), still playing
  423: naf8484 [2] (United Kingdom), still playing
  424: nakataZeu (Romania), still playing
  425: nefftimm (Germany), still playing
  426: nick.skryabin (Kazakhstan), still playing
  427: nickgkamps [2] (Greece), still playing
  428: niePewnyBodzio (Belgium), still playing
  429: niilasson (Finland), still playing
  430: nik_meat (Ukraine), still playing
  431: nillolok (Brazil), still playing
  432: nosaer_ykcul (Switzerland), still playing
  433: operatorul08 (Romania), still playing
  434: otto [3] (Sweden), still playing
  435: oxide8888 (Brazil), still playing
  436: pEzzett^E (Brazil), still playing
  437: patonick (Brazil), still playing
  438: pauloj247 (Brazil), still playing
  439: pelotinAMAG (Argentina), still playing
  440: poisoneta (Argentina), still playing
  441: pollofurioso (United Kingdom), still playing
  442: poofikpoofik (Belarus), still playing
  443: pretinhouva (Brazil), still playing
  444: pxtn91 (Germany), still playing
  445: rafaelstar14 (Brazil), still playing
  446: rafasvaz (Brazil), still playing
  447: reeves_v (Germany), still playing
  448: refer123 (Denmark), still playing
  449: renekid [2] (Denmark), still playing
  450: rikinhd (Brazil), still playing
  451: roby_19741 (Romania), still playing
  452: roddypra (Brazil), still playing
  453: rotz999 (Austria), still playing
  454: running0uts (United Kingdom), still playing
  455: ryggplask [2] (Sweden), still playing
  456: s.barros21 (Brazil), still playing
  457: sL1yko (Slovakia), still playing
  458: sallyally (United Kingdom), still playing
  459: samuelwallac (Brazil), still playing
  460: sarde009 (Belgium), still playing
  461: sborzz (Brazil), still playing
  462: serrazina11 (Malta), still playing
  463: seumadrugaking (Brazil), still playing
  464: shapppe [3] (Switzerland), still playing
  465: shiflabkn (Chile), still playing
  466: shortyno03 (Bosnia and Herzegovina), still playing
