PokerStars Tournament #3910305962, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
986 players
Total Prize Pool: $12921.50 USD 
Tournament started 2025/07/23 11:30:00 BRT [2025/07/23 10:30:00 ET]

  1: $$$CAMEL.T86 (Ukraine), still playing
  2: $anturro (Argentina), still playing
  3: $partan4ik (Belarus), still playing
  4: 00AceToFace (Slovakia), still playing
  5: 09sss02 (Armenia), still playing
  6: 0liveiraJ (Brazil), still playing
  7: 0ver.thinking [2] (Brazil), still playing
  8: 0wnr00 (Romania), still playing
  9: 1xoNe (Belarus), still playing
  10: 3rdOfJuly (Bulgaria), still playing
  11: 4akuFT (Ukraine), still playing
  12: 76198 (Slovakia), still playing
  13: 77PAko77 [2] (Ukraine), still playing
  14: 77portuga [2] (Brazil), still playing
  15: 847449 (Lithuania), still playing
  16: 86ofdiamonds (Romania), still playing
  17: AJIeKc19 (Uzbekistan), still playing
  18: AKAA117 (Brazil), still playing
  19: ALTUSDOMUS (Brazil), still playing
  20: ARICCI.BOSSO (Greece), still playing
  21: ARTRAISER (Brazil), still playing
  22: ASautin123 (Belarus), still playing
  23: AboldtA (Denmark), still playing
  24: Accio Aces1 [2] (Brazil), still playing
  25: AcekillerOG (Canada), still playing
  26: Adibarboza (Brazil), still playing
  27: AguCabrera7 (Argentina), still playing
  28: Akhtabut (Malta), still playing
  29: AndnetoPoker (Brazil), still playing
  30: Andy-Veselof [2] (United Kingdom), still playing
  31: Ankan18 (Sweden), still playing
  32: AntJakson (Estonia), still playing
  33: Anton280395 (Kyrgyzstan), still playing
  34: ArtiniShivilsky (Brazil), still playing
  35: AshModai90 (Estonia), still playing
  36: Ashcur4747 (Armenia), still playing
  37: Astrochino (Brazil), still playing
  38: B0rmansun [2] (Ukraine), still playing
  39: BB02082011 (Bosnia and Herzegovina), still playing
  40: BOLIS_CTBA (Brazil), still playing
  41: BambamDoBet (Brazil), still playing
  42: Bastyler (Bulgaria), still playing
  43: Beach2201 (Ireland), still playing
  44: Bedore96 (Canada), still playing
  45: Benitoj19 (Argentina), still playing
  46: Benzoor (Germany), still playing
  47: BigTunna99 (United Kingdom), still playing
  48: Bitencourth00 (Brazil), still playing
  49: BjörnD (Sweden), still playing
  50: Bozo Bozal (Brazil), still playing
  51: Brainy14 (Canada), still playing
  52: BrashFighter (Belarus), still playing
  53: Brenowwm. [2] (Brazil), still playing
  54: BrunoStrek (Brazil), still playing
  55: BuddyAces2 [2] (Germany), still playing
  56: Bump&Flex (United Kingdom), still playing
  57: C05MIN2 [3] (United Kingdom), still playing
  58: C0mpetition (Ukraine), still playing
  59: CHcI_Ku (Austria), still playing
  60: Capirov (Brazil), still playing
  61: Carboneraa [2] (Brazil), still playing
  62: Caristhon.fé (Brazil), still playing
  63: Carmanhani (Brazil), still playing
  64: Casorensen [3] (Denmark), still playing
  65: Cebola948 (Brazil), still playing
  66: ChipsFool (United Kingdom), still playing
  67: Chirola7777 (Uruguay), still playing
  68: ChiterMX (Belarus), still playing
  69: Chizhik-d (Kazakhstan), still playing
  70: ChristianBR4 (Brazil), still playing
  71: Cinguzis (Latvia), still playing
  72: Clandestin07 (Brazil), still playing
  73: CocaColaZero93 (Switzerland), still playing
  74: CordeiroJL (Brazil), still playing
  75: Corruptable1 (United Kingdom), still playing
  76: Craaazy101 [2] (Brazil), still playing
  77: Cundonk (Argentina), still playing
  78: D1sable (Lithuania), still playing
  79: DFD1909 (Brazil), still playing
  80: DStoyanov94 (Bulgaria), still playing
  81: Da5ch (Canada), still playing
  82: Da_Tweeka459 (Belgium), still playing
  83: DallastraJM (Brazil), still playing
  84: DamoWain (United Kingdom), still playing
  85: DarkSkies21 [2] (Brazil), still playing
  86: Dark_Demon10 (United Kingdom), still playing
  87: Davidedê (Brazil), still playing
  88: DeM0N_ZT (Ukraine), still playing
  89: Dekinhu (Brazil), still playing
  90: DelijaVL (Slovenia), still playing
  91: Deuces2353 (Romania), still playing
  92: DexIrvine (United Kingdom), still playing
  93: DimSiark_13 (Greece), still playing
  94: Dimboss7777 (Belarus), still playing
  95: DionataPZZ [2] (Brazil), still playing
  96: Diplodoluce (Canada), still playing
  97: DuckJuice778 (Kazakhstan), still playing
  98: DuxxBalboa89 (Sweden), still playing
  99: Dyadyarizo (Ukraine), still playing
  100: DäDiPoker (Switzerland), still playing
  101: EatTheElephant [2] (Canada), still playing
  102: Eazy03024 (Germany), still playing
  103: Eduardnho11 (Romania), still playing
  104: ElOso2798 (Argentina), still playing
  105: El_fuego_177 (Kazakhstan), still playing
  106: Eliovan (Brazil), still playing
  107: Enex96 [2] (Germany), still playing
  108: Engastamento (Brazil), still playing
  109: Excluziv_ee (Belarus), still playing
  110: F Moraes 7 (Brazil), still playing
  111: F1bonach1 (Belarus), still playing
