PokerStars Tournament #3914636128, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
1569 players
Total Prize Pool: $11296.80 USD 
Tournament started 2025/08/05 14:30:00 BRT [2025/08/05 13:30:00 ET]

  1: #c_jr15 (Brazil), still playing
  2: $ampaioBruno (Brazil), still playing
  3: $kullcosta (Brazil), still playing
  4: 100dom (United Kingdom), still playing
  5: 11oduplica (Argentina), still playing
  6: 1MBROKE (United Kingdom), still playing
  7: 2Picca232 (Kazakhstan), still playing
  8: 2sneverloss (United Kingdom), still playing
  9: 4THEGLORY4 (Romania), still playing
  10: 7HolyVirtues (United Kingdom), still playing
  11: AALAVANDOSKI [2] (Brazil), still playing
  12: APrado1 (Brazil), still playing
  13: ART00POP (Belgium), still playing
  14: Acrt456 (Brazil), still playing
  15: Adil Mussin (Kazakhstan), still playing
  16: AdrianoK20 (Belarus), still playing
  17: AeronT510 (Germany), still playing
  18: Alazarus2013 (Belarus), still playing
  19: Alisspurred (United Kingdom), still playing
  20: Alphamid (Sweden), still playing
  21: AndreyIvachenko [2] (Greece), still playing
  22: Andrey_2177 (Ukraine), still playing
  23: Andssu10 (Brazil), still playing
  24: Arthurdsgeo (Brazil), still playing
  25: Arustokrat (Ukraine), still playing
  26: AureCai (Argentina), still playing
  27: Avmatos88 (Brazil), still playing
  28: BMG198585 (Germany), still playing
  29: BOCA950 (Brazil), still playing
  30: Badinho1989 (Brazil), still playing
  31: Badperson125 (United Kingdom), still playing
  32: BananenÄrBöjd (Sweden), still playing
  33: Bedore96 (Canada), still playing
  34: Blackgrindfr (Thailand), still playing
  35: Borris721 (United Kingdom), still playing
  36: Br@mmer (Denmark), still playing
  37: Brat_Tremzina (Belarus), still playing
  38: BroncoWarr (United Kingdom), still playing
  39: Burak1910 (Switzerland), still playing
  40: C0sm0 M!nd (Brazil), still playing
  41: CNair95 (Brazil), still playing
  42: Caiadas95 (Brazil), still playing
  43: Camis Semidi (Brazil), still playing
  44: CapreseSalad (Switzerland), still playing
  45: CardinalWFC (United Kingdom), still playing
  46: Cebola948 (Brazil), still playing
  47: Cherikk504 (Ukraine), still playing
  48: Chicou69 (Canada), still playing
  49: Chroonic (Brazil), still playing
  50: Citrone88 [2] (United Kingdom), still playing
  51: Claire671 (United Kingdom), still playing
  52: Clea85 (Sweden), still playing
  53: Conny 1991 (Switzerland), still playing
  54: DAGUEME (Brazil), still playing
  55: DOUG782 (Brazil), still playing
  56: DW9550 (United Kingdom), still playing
  57: DanceoFDeath6 (Latvia), still playing
  58: DanielJulio1 (Brazil), still playing
  59: Dark Wiper (Lithuania), still playing
  60: Davidedê (Brazil), still playing
  61: Deanann (Ireland), still playing
  62: Der Besen (Denmark), still playing
  63: Dezin2005 (Brazil), still playing
  64: Dimboss7777 (Belarus), still playing
  65: DirJr90 (Brazil), still playing
  66: Domekanec (Ukraine), still playing
  67: Dr_Drey15 (Brazil), still playing
  68: DuNiquele (Brazil), still playing
  69: Dubi74 (Argentina), still playing
  70: EMA7797 [2] (United Kingdom), still playing
  71: El-matraque (Belgium), still playing
  72: Enzito Viana (Brazil), still playing
  73: FasteR3333 (Ukraine), still playing
  74: Fatiha777 (Switzerland), still playing
  75: Feerapoker [2] (Brazil), still playing
  76: Filip0517 [2] (Sweden), still playing
  77: Flemis1 (United Kingdom), still playing
  78: FlipMaster08 (Brazil), still playing
  79: Focuswow777 (Ukraine), still playing
  80: Foldemort13 (Belgium), still playing
  81: Forrest83 [2] (Germany), still playing
  82: Fuuuuuuull (Brazil), still playing
  83: GPegado (Brazil), still playing
  84: Gamblex21 (Belgium), still playing
  85: Gazler14 (United Kingdom), still playing
  86: GeorgyV32 (Romania), still playing
  87: GodNemes1s (Finland), still playing
  88: GoianoVix (Brazil), still playing
  89: Gwenouuu711 (Belgium), still playing
  90: Had_S2_Sena (Brazil), still playing
  91: Hagvaniah [2] (Switzerland), still playing
  92: Hangoover9 (Sweden), still playing
  93: HaruoB [2] (Brazil), still playing
  94: Hede76 (Finland), still playing
  95: Hermanmanu (Indonesia), still playing
  96: High Goblin (Brazil), still playing
  97: HudsonPicolloto (Brazil), still playing
  98: Huitzi1opocht1i [3] (Germany), still playing
  99: I Play Cash (United Kingdom), still playing
  100: IHucci [2] (Germany), still playing
  101: Iamcaraaa (Mexico), still playing
  102: InfinityRT (Brazil), still playing
  103: Ip3roI (Ukraine), still playing
  104: IrkaBoss (Ukraine), still playing
  105: IsoVega [2] (Ukraine), still playing
  106: Iustinul (Romania), still playing
  107: IvanMasterX (Venezuela), still playing
  108: Ivo Neto 12 (Brazil), still playing
  109: J0rd4OOO (Brazil), still playing
  110: JGLEDESMA (Brazil), still playing
  111: JTM301090 (Sweden), still playing
  112: Jakpot Juri (Germany), still playing
  113: Janis290482 (Ireland), still playing
  114: JanoCR3 (Brazil), still playing
  115: Jividela (Argentina), still playing
  116: Joby D (Ukraine), still playing
  117: Jpcurvello (Brazil), still playing
  118: JuVeNicko_93 [2] (Denmark), still playing
  119: KALOYAN200411 (Bulgaria), still playing
