PokerStars Tournament #3916201851, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
476 players
Total Prize Pool: $2284.80 USD 
Tournament started 2025/08/09 14:15:00 BRT [2025/08/09 13:15:00 ET]

  1: 00gap00 (Brazil), still playing
  2: 0PTI-MEN (Brazil), still playing
  3: 0nly4value (Germany), still playing
  4: 14caio (Brazil), still playing
  5: 420)ZUMA (Brazil), still playing
  6: 44GamblingNight (Switzerland), still playing
  7: 4BetBluff95 (United Kingdom), still playing
  8: 5tunt3r (Lithuania), still playing
  9: 92Maniac (Germany), still playing
  10: @masterblub1 (Germany), still playing
  11: AamiUa (Ukraine), still playing
  12: Alastr_Palach (Ukraine), still playing
  13: AllanEM (Guatemala), still playing
  14: Apiolu (Argentina), still playing
  15: Aptdemon (United Kingdom), still playing
  16: BOCA950 (Brazil), still playing
  17: BOLIS_CTBA [2] (Brazil), still playing
  18: BielEmydio (Brazil), still playing
  19: Birtyboy007 (United Kingdom), still playing
  20: Bmm59 [2] (Brazil), still playing
  21: Bobbán (Sweden), still playing
  22: Brcislav [2] (Slovakia), still playing
  23: BrieucDeg0203 (Belgium), still playing
  24: BrunoI.R.S (Brazil), still playing
  25: ButtFarb (Sweden), still playing
  26: CMESSAA (Brazil), still playing
  27: Chuurk (Brazil), still playing
  28: Clemi26 (Germany), still playing
  29: Conny 1991 (Switzerland), still playing
  30: CristianoFbo (Brazil), still playing
  31: DIJames (Switzerland), still playing
  32: DaVuko88 (Switzerland), still playing
  33: DenGamleDame (Denmark), still playing
  34: Dopix666 (Germany), still playing
  35: Drejc79 (Slovenia), still playing
  36: EICameIeonFR (Hungary), still playing
  37: El_fuego_177 (Kazakhstan), still playing
  38: Emersonzz12 (Brazil), still playing
  39: Emokarnickel (Germany), still playing
  40: EternoZé [2] (Brazil), still playing
  41: FEELINGLCK (Lithuania), still playing
  42: FRAPES1983 (Greece), still playing
  43: Fisharley (Brazil), still playing
  44: FlaShhXx47 (Hungary), still playing
  45: FmoraesP (Brazil), still playing
  46: Fovios (Greece), still playing
  47: FransnV [2] (Belgium), still playing
  48: GORO99 (Sweden), still playing
  49: GPegado (Brazil), still playing
  50: Gabigol912 (Argentina), still playing
  51: Ginnyginnginn (United Kingdom), still playing
  52: Gjilan15 (Germany), still playing
  53: Gripen76 (Finland), still playing
  54: Guga970001 [2] (Luxembourg), still playing
  55: Halifaxele (Greece), still playing
  56: Helst (Sweden), still playing
  57: Hericiaceae (Uzbekistan), still playing
  58: Hits0905 [2] (United Kingdom), still playing
  59: I AM LAGOSH [2] (United Kingdom), still playing
  60: Iambigtuna (Canada), still playing
  61: IjustCalltoSay (Switzerland), still playing
  62: J.MossJonDon (United Kingdom), still playing
  63: JJ2TakeAway (Canada), still playing
  64: JNQB (Brazil), still playing
  65: JanoCR3 (Brazil), still playing
  66: JesperEmil (Denmark), still playing
  67: JooseeT (Brazil), still playing
  68: July Van7 (Ukraine), still playing
  69: KV*MerzaveC* (Ukraine), still playing
