PokerStars Tournament #3914012654, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
2227 players
Total Prize Pool: $16034.40 USD 
Tournament started 2025/08/03 14:30:00 BRT [2025/08/03 13:30:00 ET]

  1: 007jogabem (Brazil), still playing
  2: 53gary53 (United Kingdom), still playing
  3: 75krisz (Hungary), still playing
  4: ABILMANSUR (Kazakhstan), still playing
  5: AQsuit (Switzerland), still playing
  6: AceKicker_19 (Canada), still playing
  7: Aggelos13114 (Greece), still playing
  8: Alecarto (Chile), still playing
  9: AllanEM [2] (Guatemala), still playing
  10: Betoriver [3] (Argentina), still playing
  11: Biodelic420 (Brazil), still playing
  12: BlessedTrue (Belarus), still playing
  13: Bloodeagle69 (Germany), still playing
  14: Bluffer333333 (United Kingdom), still playing
  15: Brcislav [2] (Slovakia), still playing
  16: BuderusBrutus (Switzerland), still playing
  17: Bump&Flex (United Kingdom), still playing
  18: ChaseTyler14 (Canada), still playing
  19: CultFrans (Denmark), still playing
  20: Damsbo2604 [2] (Denmark), still playing
  21: Dark Wiper (Lithuania), still playing
  22: DeyvissonVS (Brazil), still playing
  23: Dr_Drey15 (Brazil), still playing
  24: Eaglov (Morocco), still playing
  25: ElconeJQ [2] (New Zealand), still playing
  26: Elysioum (United Kingdom), still playing
  27: Explacet (Switzerland), still playing
  28: FRAIZER 89 (United Kingdom), still playing
  29: Fernandin2 (Brazil), still playing
  30: FlávioLimão (Brazil), still playing
  31: G_AlvesCP (Brazil), still playing
  32: Gambarone (Brazil), still playing
  33: Ghosst-11 (Argentina), still playing
  34: Glenn429 (United Kingdom), still playing
  35: Gustshot (Brazil), still playing
  36: HFolador [2] (Brazil), still playing
  37: Hulkyyyy (Romania), still playing
  38: JMøller (Denmark), still playing
  39: JRuiJr (Brazil), still playing
  40: Jamyson1 (Brazil), still playing
  41: Je_andradejr (Brazil), still playing
  42: Jeremi3597 (Ukraine), still playing
  43: JooseeT (Brazil), still playing
  44: João Mateus (Brazil), still playing
  45: Juvituu (Brazil), still playing
  46: JvS006 (Brazil), still playing
  47: KArro:(doido (Brazil), still playing
  48: KOHb_blr (Belarus), still playing
  49: Klofe (Denmark), still playing
  50: Kobojo (Ukraine), still playing
  51: Leleco67 (Brazil), still playing
  52: M.Rodrix (Brazil), still playing
  53: MestreKÓ (Brazil), still playing
  54: MrMef7 (Germany), still playing
  55: Nachito0507 (Argentina), still playing
  56: Ownyou9922 (United Kingdom), still playing
  57: Pammie19 (United Kingdom), still playing
  58: PansaRN (Brazil), still playing
  59: Paulo_Pedros (Brazil), still playing
  60: Pelckito (Brazil), still playing
  61: Pet_topgreen (Brazil), still playing
  62: Pumba FM [2] (Brazil), still playing
  63: REQUINTE (Brazil), still playing
  64: Raiko290 (Germany), still playing
  65: RenanLaPola (Brazil), still playing
  66: Reynolds0709 [3] (Mexico), still playing
  67: Rick7BR (Brazil), still playing
  68: RobertYeghikyan (Armenia), still playing
  69: Roma140288 [2] (Belarus), still playing
  70: SOT Pacoca (Brazil), still playing
  71: SaibOt91 [2] (Sweden), still playing
  72: SargentoFAHUR (Brazil), still playing
  73: Savva08 (Ukraine), still playing
  74: SenhOrObalo (Brazil), still playing
  75: Shipeerson (Brazil), still playing
  76: Sntri (Finland), still playing
  77: SuperleskVix [2] (Brazil), still playing
  78: TAzepsS (Brazil), still playing
  79: The Yasuo (Brazil), still playing
  80: Tiroteio749 (Brazil), still playing
  81: Toshiro_Koga (Brazil), still playing
  82: Truefinale (Belarus), still playing
  83: Typucm (Belarus), still playing
  84: Zzorg (Belarus), still playing
  85: _Miazakii_ (Brazil), still playing
  86: adrissan [2] (Brazil), still playing
  87: alatreks [3] (Morocco), still playing
  88: alexrossUKGF [2] (Malta), still playing
  89: andretu (Brazil), still playing
  90: ashj22 (United Kingdom), still playing
  91: boladao_39 [2] (Brazil), still playing
  92: brauchi (Austria), still playing
  93: bulgarianfreek (Bulgaria), still playing
  94: chaavees (Brazil), still playing
  95: cowiepne (United Kingdom), still playing
  96: cuco.sebas (Brazil), still playing
  97: dUT73 (Denmark), still playing
  98: dammsugarn (Sweden), still playing
  99: daniel_pones (Brazil), still playing
  100: darab1975 (United Kingdom), still playing
  101: dariohou (Germany), still playing
  102: datysho [2] (Moldova), still playing
  103: davidobaya (Mexico), still playing
  104: didokbm (Ireland), still playing
  105: docheff [3] (Bulgaria), still playing
  106: donaldas-7 (Sweden), still playing
  107: dugsy (United Kingdom), still playing
  108: eduardo 9315 (Mexico), still playing
  109: edudiaz17 (Argentina), still playing
  110: eilselnhoj (United Kingdom), still playing
  111: fabianod12 (Brazil), still playing
  112: faelmichelman33 (Brazil), still playing
  113: fish&chippy (United Kingdom), still playing
  114: flushnutsAA (Brazil), still playing
  115: frizzobruno [2] (Brazil), still playing
  116: g0doyz (Brazil), still playing
  117: geancl (Brazil), still playing
  118: gerryvc (Mexico), still playing
  119: gomsipjorn (Sweden), still playing
  120: guix2x (Brazil), still playing
  121: gusbicigo [2] (Brazil), still playing
  122: hartiedd1 (Austria), still playing
  123: igorek den'gi (Kazakhstan), still playing
  124: ipop0601 (Germany), still playing
  125: izilose (Ukraine), still playing
  126: jazzy374 (United Kingdom), still playing
  127: jbernal11 (Chile), still playing
  128: jiji92i (Belgium), still playing
  129: jonniK11113 (Ukraine), still playing
  130: jpgmswe96 (Sweden), still playing
  131: kaet27 (Brazil), still playing
  132: komarcus (Hungary), still playing
  133: ksinhe (Brazil), still playing
  134: lazloc4lifornia (Chile), still playing
  135: leandro eizo (Brazil), still playing
  136: letmenuts (Bulgaria), still playing
  137: liud001 [2] (United Kingdom), still playing
  138: luckyy383 (Austria), still playing
  139: maniali (Germany), still playing
  140: manocaio (Brazil), still playing
  141: mfximnez333 (Brazil), still playing
  142: momie95 (Belgium), still playing
  143: muquera [2] (Brazil), still playing
  144: oilucas2007 (Brazil), still playing
  145: pandiitaa19 (Mexico), still playing
  146: pardecoringa (Brazil), still playing
  147: peras94 (Switzerland), still playing
  148: pinguinho (Brazil), still playing
  149: poker171536 (Brazil), still playing
  150: poroto1407 (Argentina), still playing
  151: raimpsi (Estonia), still playing
  152: ricardorfn (Brazil), still playing
  153: rmilanezi (Brazil), still playing
  154: ruanrocha (Brazil), still playing
  155: rude3m (Brazil), still playing
  156: sastreari1 (Argentina), still playing
  157: scorpion3117 (Kazakhstan), still playing
  158: shoxuk (Ukraine), still playing
  159: smokeon (Denmark), still playing
  160: steppo515151 (Germany), still playing
  161: stopark31 (United Kingdom), still playing
  162: surprise0007 (Brazil), still playing
  163: taluk_00 (Ukraine), still playing
  164: tenrafaelpai [2] (Brazil), still playing
  165: tesberto [3] (Switzerland), still playing
  166: tezzzzarrr (United Kingdom), still playing
  167: ticulucalexandr (United Kingdom), still playing
  168: tiodompoker (Sweden), still playing
  169: undergr0undY (Ukraine), still playing
  170: utelias (Finland), still playing
  171: vandal1st [2] (Ukraine), still playing
  172: villelajoao (Brazil), still playing
  173: vitorlima_x [2] (Brazil), still playing
  174: vongericke (Germany), still playing
  175: wguirra (Brazil), still playing
  176: whantmylifeback (Switzerland), still playing
  177: wiggy985 (United Kingdom), still playing
  178: zneelix12 (Belarus), still playing
  179: Gabrielfs13 (Brazil), $20.40 (0.127%)
  180: freitas1001 (Brazil), $20.40 (0.127%)
  181: Richard_KONO [2] (Brazil), $20.40 (0.127%)
  182: IMPERA 10 (Brazil), $20.40 (0.127%)
  183: rafaelalca (Brazil), $20.40 (0.127%)
  184: thxalot1 (Romania), $20.40 (0.127%)
  185: XLR0001% (Ukraine), $20.40 (0.127%)
  186: Vredaren [2] (Sweden), $20.40 (0.127%)
  187: EugeneShev (Ukraine), $20.40 (0.127%)
  188: Kebndev (Canada), $20.40 (0.127%)
  189: diegoleon9 (Argentina), $20.40 (0.127%)
  190: JucaItajai (Brazil), $20.40 (0.127%)
  191: Demidenochka16 (Ukraine), $20.40 (0.127%)
  192: Magic23Stack (Monaco), $17.52 (0.109%)
  193: mmpoker88 (Brazil), $17.52 (0.109%)
  194: transerfing (Costa Rica), $17.52 (0.109%)
  195: blanco_loan (Malta), $17.52 (0.109%)
  196: gilbertinio (Romania), $17.52 (0.109%)
  197: first panda [2] (Ireland), $17.52 (0.109%)
  198: gazlarge (United Kingdom), $17.52 (0.109%)
  199: nicollas_sanuk (Brazil), $17.52 (0.109%)
  200: spartaboy10 (Belgium), $17.52 (0.109%)
  201: mKey_Qm (United Kingdom), $17.52 (0.109%)
  202: JFF9 (Brazil), $17.52 (0.109%)
  203: kachumban (Argentina), $17.52 (0.109%)
  204: Bengal_Lion (United Kingdom), $17.52 (0.109%)
  205: poki960514 (Hungary), $17.52 (0.109%)
  206: lucasmicheel (Brazil), $17.52 (0.109%)
  207: Visa7 (Finland), $17.52 (0.109%)
  208: showbizz67 (Canada), $17.52 (0.109%)
  209: T0GN3T (Brazil), $17.52 (0.109%)
  210: Matze 90451 (Guatemala), $17.52 (0.109%)
  211: Leachyfish (United Kingdom), $17.52 (0.109%)
  212: Joinci119 (Germany), $17.52 (0.109%)
  213: Pasilaitis24 [2] (Ireland), $17.52 (0.109%)
  214: njr5088 (Brazil), $17.52 (0.109%)
  215: Breanzini16 (Brazil), $17.52 (0.109%)
  216: yagoalves (Brazil), $17.52 (0.109%)
  217: traumfanger1 (Switzerland), $17.52 (0.109%)
  218: iamhlv (Ukraine), $17.52 (0.109%)
  219: Clutchdonk (Ireland), $17.52 (0.109%)
