PokerStars Tournament #3918744209, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
4315 players
Total Prize Pool: $43425.00 USD 
Tournament started 2025/08/21 14:05:00 BRT [2025/08/21 13:05:00 ET]

  1: !RedP0ppy! [2] (Germany), still playing
  2: $$$CAMEL.T86 (Ukraine), still playing
  3: $$tr8 Hemp (Brazil), still playing
  4: $BELIE520$ [2] (Brazil), still playing
  5: $ampaioBruno [2] (Brazil), still playing
  6: $ylt@n12 (Ukraine), still playing
  7: **grigorj** (Germany), still playing
  8: 007jogabem (Brazil), still playing
  9: 00AceToFace (Slovakia), still playing
  10: 00gap00 (Brazil), still playing
  11: 01287669823 (Malta), still playing
  12: 0321pro (Brazil), still playing
  13: 08621 (Ukraine), still playing
  14: 0KKeyserSozAA0 [2] (United Kingdom), still playing
  15: 0ld Painle$$ [2] (Finland), still playing
  16: 0odbo0 [2] (Latvia), still playing
  17: 0s0n0a0k0e (Austria), still playing
  18: 100% MACKEM [2] (United Kingdom), still playing
  19: 100444 (Paraguay), still playing
  20: 101funt186 (Ukraine), still playing
  21: 111romario111 (Ukraine), still playing
  22: 11neighbours (Belgium), still playing
  23: 12cães (Brazil), still playing
  24: 13FARTUMASTI07 [2] (Ukraine), still playing
  25: 13albertg [3] (United Kingdom), still playing
  26: 17tomcat (Switzerland), still playing
  27: 1913_Gbr (Brazil), still playing
  28: 197096 (Bulgaria), still playing
  29: 1977Gatsby (Austria), still playing
  30: 1990matt [2] (United Kingdom), still playing
  31: 1H8P0K3R (Austria), still playing
  32: 1M3N3Z (United Kingdom), still playing
  33: 1MERCIER1 (Ukraine), still playing
  34: 1Rolts1 (Estonia), still playing
  35: 1ll1maister (Finland), still playing
  36: 1obanoff (Ukraine), still playing
  37: 1pizzadude (Canada), still playing
  38: 1v9machin3 (Greece), still playing
  39: 1viciii1 (Bulgaria), still playing
  40: 1wighty (Canada), still playing
  41: 2227xx7 (Belarus), still playing
  42: 2303Levo (Germany), still playing
  43: 23sabotage (Belarus), still playing
  44: 289mike5696 (Canada), still playing
  45: 2SDSOUZA (Brazil), still playing
  46: 30516632 (Brazil), still playing
  47: 3aekTpeBoMaH [2] (Bulgaria), still playing
  48: 4StefanRaab [3] (Slovenia), still playing
  49: 4akuFT (Ukraine), still playing
  50: 4pokan (Belarus), still playing
  51: 51239 [2] (Belarus), still playing
  52: 5400KK (Switzerland), still playing
  53: 5hreddawg [2] (United Kingdom), still playing
  54: 666Richy [2] (United Kingdom), still playing
  55: 69_sinwithme (Ukraine), still playing
  56: 7firstlo5 (Switzerland), still playing
  57: 7heavenx (United Kingdom), still playing
  58: 7roubl3 [2] (Ukraine), still playing
  59: 86ofdiamonds (Romania), still playing
  60: 888bigdog888 (Canada), still playing
  61: 8a214 (Slovenia), still playing
  62: 8gam€ (Slovakia), still playing
  63: 99_AS_99 (Germany), still playing
  64: 9zocker9 (Malta), still playing
  65: A Sacerdotisa (Brazil), still playing
  66: A.Ifty (United Kingdom), still playing
