PokerStars Tournament #3914634505, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
2565 players
Total Prize Pool: $31549.50 USD 
Tournament started 2025/08/10 12:02:00 BRT [2025/08/10 11:02:00 ET]

  1: #27JETS (Canada), still playing
  2: #499#499# (Sweden), still playing
  3: -t,tq-,zft@z [3] (Austria), still playing
  4: 0nelast [2] (Ukraine), still playing
  5: 10lionel95 (Germany), still playing
  6: 1206winn (Denmark), still playing
  7: 1MERCIER1 (Ukraine), still playing
  8: 235795r (Brazil), still playing
  9: 37*11"Grant (Bulgaria), still playing
  10: 370back [2] (Germany), still playing
  11: 47ps (Switzerland), still playing
  12: 4erpa4ek1967 (Ukraine), still playing
  13: 5tunt3r (Lithuania), still playing
  14: 86ofdiamonds (Romania), still playing
  15: 93inger80 (Denmark), still playing
  16: A1waysW1n (Ukraine), still playing
  17: A777BX (Kazakhstan), still playing
  18: AAdiniz (Brazil), still playing
  19: AEA1978 [2] (Argentina), still playing
  20: AQsuit (Switzerland), still playing
  21: AWFUL@POK3R (United Kingdom), still playing
  22: Abdalinha26 (Brazil), still playing
  23: AbulFadl (Estonia), still playing
  24: Abzockgetter (Switzerland), still playing
  25: Akhtabut (Malta), still playing
  26: Alain.jansen (Belgium), still playing
  27: AlekFB4 [2] (Denmark), still playing
  28: Alexhest383 (Denmark), still playing
  29: Alistair2121 (United Kingdom), still playing
  30: AlmightyA (Ukraine), still playing
  31: AmazingPlay9 (Brazil), still playing
  32: Ambianensium [2] (Ukraine), still playing
  33: AnDyTrenDy (Finland), still playing
  34: AnorakDarrow (Switzerland), still playing
  35: AriPoker AA (Argentina), still playing
  36: ArnasS.M (Lithuania), still playing
  37: Arnisss (United Kingdom), still playing
  38: Arthur Peruzzo [2] (Brazil), still playing
  39: Arthurdsgeo (Brazil), still playing
  40: ArtiniShivilsky (Brazil), still playing
  41: AshModai90 [2] (Estonia), still playing
  42: Asya_xDD (Ukraine), still playing
  43: Aus-Fin (Finland), still playing
  44: BIGGYSHMUELZ [2] (New Zealand), still playing
  45: BQQZ90820 (United Kingdom), still playing
  46: BaggiBelfort [2] (Germany), still playing
  47: Beach2201 (Ireland), still playing
  48: BeauB3au (Ireland), still playing
  49: Belekaaaaaas [2] (Lithuania), still playing
  50: Berkowitz33 (Brazil), still playing
  51: Betoriver (Argentina), still playing
  52: Bianco13Verde (Greece), still playing
  53: BigBadaBoom8 (Ukraine), still playing
  54: BigTunna99 (United Kingdom), still playing
  55: BigZou [2] (Canada), still playing
  56: Blaiseee (United Kingdom), still playing
  57: BlindRazorJJ (United Kingdom), still playing
  58: Bmm59 (Brazil), still playing
  59: Bolek0815 (Germany), still playing
  60: Borgesxx (Brazil), still playing
  61: Bozo Bozal (Brazil), still playing
  62: Brcislav [2] (Slovakia), still playing
  63: Breckmann95 (Faroe Islands), still playing
  64: Bretera [3] (Brazil), still playing
  65: BrunoStrek [2] (Brazil), still playing
  66: Bufalo b (Brazil), still playing
  67: Bught (Ukraine), still playing
  68: ButterMeBaby [2] (Austria), still playing
  69: C0mpetition [2] (Ukraine), still playing
  70: CCKeenan (United Kingdom), still playing
  71: CIGAN0.010 (Brazil), still playing
  72: Calypso_1426 (Switzerland), still playing
  73: CamillaaaH (Brazil), still playing
  74: Cebola948 (Brazil), still playing
  75: Chanaldo9 (Ireland), still playing
  76: Chengueee [2] (Uruguay), still playing
  77: Cigana#13 (Brazil), still playing
  78: Commander25 [3] (Canada), still playing
  79: Conny 1991 (Switzerland), still playing
  80: CordeiroJL (Brazil), still playing
  81: Crash228Jah [3] (Belarus), still playing
  82: Cris chucky (Brazil), still playing
  83: CurryKing4 (United Kingdom), still playing
  84: D&A.dream757 (Thailand), still playing
  85: DANNY1987442 [2] (Canada), still playing
  86: DEERV (Brazil), still playing
  87: DFD1909 (Brazil), still playing
  88: DJDenver (Denmark), still playing
  89: DRY BLECKBERRY (Brazil), still playing
  90: DSantanna87 (Brazil), still playing
  91: Da777One (United Kingdom), still playing
  92: DanLangUK [2] (United Kingdom), still playing
  93: DarkSkies21 (Brazil), still playing
  94: Darya_Kurt (Brazil), still playing
  95: Dejvis93 [2] (Switzerland), still playing
  96: DenGamleDame (Denmark), still playing
  97: DoctorPoker44 (Malta), still playing
  98: DoePopoe [2] (Germany), still playing
  99: Dog Stray [3] (Canada), still playing
  100: DorflexBr (Brazil), still playing
  101: Douglas00100 [3] (Brazil), still playing
  102: Durgolias (Switzerland), still playing
  103: ELmizzy (Canada), still playing
  104: Ehrmantraut Js (Brazil), still playing
  105: Eiji88 (Brazil), still playing
  106: Elisey87 (Belarus), still playing
  107: Engastamento (Brazil), still playing
  108: EricBolis (Brazil), still playing
