PokerStars Tournament #3913501838, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
12895 players
Total Prize Pool: $63185.50 USD 
Tournament started 2025/08/10 14:00:00 BRT [2025/08/10 13:00:00 ET]

  1: # K -T-7 #86 (Greece), still playing
  2: $ammyBoy [2] (United Kingdom), still playing
  3: $kullcosta (Brazil), still playing
  4: $ylt@n12 (Ukraine), still playing
  5: 0711AM (Germany), still playing
  6: 0wnr00 (Romania), still playing
  7: 1150224 [3] (Greece), still playing
  8: 13shaun (United Kingdom), still playing
  9: 1truegambler [2] (United Kingdom), still playing
  10: 2bec (Brazil), still playing
  11: 2nd'Bee (Ukraine), still playing
  12: 33john (Romania), still playing
  13: 5wob (United Kingdom), still playing
  14: 60603 (Mauritius), still playing
  15: 77 Maia (Brazil), still playing
  16: 98'skillzz (Argentina), still playing
  17: A&FDiamonds (United Kingdom), still playing
  18: A1waysW1n [2] (Ukraine), still playing
  19: ALB0RZ (Sweden), still playing
  20: APFOAA [2] (Brazil), still playing
  21: ARHINJO [3] (Belarus), still playing
  22: ASapakes [2] (Lithuania), still playing
  23: AWM21 [3] (United Kingdom), still playing
  24: AceWise [4] (United Kingdom), still playing
  25: AdamTomo2014 [5] (United Kingdom), still playing
  26: Adau (Austria), still playing
  27: Ade Berardo (Brazil), still playing
  28: Adil Mussin (Kazakhstan), still playing
  29: AdrianoK20 [2] (Belarus), still playing
  30: Aerosneto [2] (Brazil), still playing
  31: AlexDimogiorgis (Malta), still playing
  32: AlexJaPe (Brazil), still playing
  33: Alexander Frt (Ukraine), still playing
  34: AlfaOmega971 (Chile), still playing
  35: Allmeg96 [2] (Switzerland), still playing
  36: AmatVictoria (Greece), still playing
  37: Amilcar1970 [2] (United Kingdom), still playing
  38: AmnesiaGang (Belgium), still playing
  39: AnLed (Ireland), still playing
  40: Andrussa [3] (Estonia), still playing
  41: AntJakson [2] (Estonia), still playing
  42: AokiJrBr [3] (Brazil), still playing
  43: Ariguzblack (Mexico), still playing
  44: ArnasS.M (Lithuania), still playing
  45: Arturovici87 [2] (United Kingdom), still playing
  46: Atan1000 (Belarus), still playing
  47: Averin7777 (Slovakia), still playing
  48: AwwwNutzzz (Canada), still playing
  49: BCarneiro 86 (Brazil), still playing
  50: BOKOW71 (Sweden), still playing
  51: BOT OHO [2] (Belarus), still playing
  52: BaXTeP.ua (Ukraine), still playing
  53: Baffraff (Switzerland), still playing
  54: Baggies71 [2] (United Kingdom), still playing
  55: Batcar_29 (Brazil), still playing
  56: Befree_B3 (Ukraine), still playing
  57: Bellami33 (Denmark), still playing
  58: Beni5513 (Hungary), still playing
  59: Berkowitz33 [5] (Brazil), still playing
  60: Bernhard1971 (Germany), still playing
  61: BielEmydio (Brazil), still playing
  62: BienPsaar (Switzerland), still playing
  63: BigZou [3] (Canada), still playing
  64: Bigi3510 (Switzerland), still playing
  65: BilGuuN[mGL] (Hungary), still playing
  66: Billis577 (Greece), still playing
  67: Biohpsia (Brazil), still playing
  68: Birdman13131 (Austria), still playing
  69: Bissix (Brazil), still playing
  70: Bitoks (Brazil), still playing
  71: BlessedTrue (Belarus), still playing
  72: BlindRazorJJ (United Kingdom), still playing
  73: Bodinho23 (Germany), still playing
  74: BottiP [3] (Argentina), still playing
  75: Bowbrook [2] (United Kingdom), still playing
  76: BrunoMTA2 (Brazil), still playing
  77: Bush1260 [3] (Switzerland), still playing
  78: CAILLOU1488 (Ukraine), still playing
  79: CBA_DAVE (Switzerland), still playing
  80: CK_K_Holdem (South Korea), still playing
  81: CRAZYYKRAMER (Brazil), still playing
  82: CRVG.Breno (Brazil), still playing
  83: CalinDr [2] (Romania), still playing
  84: Canada0404 [2] (Canada), still playing
  85: Cande712 (Argentina), still playing
  86: Captainhooklion [2] (Luxembourg), still playing
  87: Cardanus (Ukraine), still playing
  88: Centurion7/1 [3] (Belarus), still playing
  89: ChiVietGod24 [3] (United Kingdom), still playing
  90: Chris Doggy [4] (United Kingdom), still playing
  91: Chrisz0r34 [3] (United Kingdom), still playing
  92: Chromagnon [2] (Sweden), still playing
  93: Chube848 [2] (Switzerland), still playing
  94: CodEX.UA [2] (Ukraine), still playing
  95: Cosmos3003 (Belgium), still playing
  96: Crappyboy1400 (Switzerland), still playing
  97: Crownandwater (Canada), still playing
  98: DANNY1987442 [5] (Canada), still playing
  99: DANYBOLIVAR [2] (Argentina), still playing
  100: DOMPAULO22 (Brazil), still playing
  101: Daiteparite9 (Bulgaria), still playing
  102: Dallaslel [4] (Sweden), still playing
  103: Dammisahne (Germany), still playing
  104: DanLangUK [3] (United Kingdom), still playing
  105: Dark_Demon10 (United Kingdom), still playing
  106: Demi ces [3] (Canada), still playing
  107: Deonis2828 [2] (Ukraine), still playing
  108: Dir3tiriveR (Germany), still playing
  109: Direkte [3] (Denmark), still playing
  110: Dminchin [4] (United Kingdom), still playing
  111: DoadorDonkey (Brazil), still playing
  112: DoePopoe [2] (Germany), still playing
  113: Domilin (Romania), still playing
  114: DonGianCedro (Germany), still playing
  115: Dorian_k2 [2] (Moldova), still playing
  116: Douglas00100 (Brazil), still playing
  117: Drdri21 (Greece), still playing
  118: DuendeRasta (Argentina), still playing
  119: Dzibiy (Ukraine), still playing
  120: EIIE4 (Ukraine), still playing
  121: EK95 (Bulgaria), still playing
  122: Easton01133 (United Kingdom), still playing
  123: ElTigr0 [2] (Belgium), still playing
  124: Ernie195970 (Ireland), still playing
  125: FBG3 (Brazil), still playing
  126: FIRMINO 2349 (Brazil), still playing
  127: FRomV [2] (Ukraine), still playing
  128: FeMeiler (Brazil), still playing
  129: Feerapoker [2] (Brazil), still playing
  130: Fife19 [2] (Canada), still playing
  131: Flan1678 (United Kingdom), still playing
  132: Flavio030580 (Brazil), still playing
  133: Footraiser (Switzerland), still playing
  134: Francizco79 [3] (Argentina), still playing
  135: Friesinho47 [4] (Germany), still playing
  136: Ganjabriel [2] (Chile), still playing
  137: Gary87 (United Kingdom), still playing
  138: Gdimz04 (United Kingdom), still playing
  139: GibMerDeRest [2] (Switzerland), still playing
  140: Gil27Ds (Switzerland), still playing
  141: GiozzzBD (Japan), still playing
  142: GiuCarbone [4] (Belarus), still playing
  143: GoalieSchool (Canada), still playing
  144: GrayFoxO [2] (Bosnia and Herzegovina), still playing
  145: Gubi0502 (Denmark), still playing
  146: GuiMaiscedo [2] (Brazil), still playing
  147: HGergo81 [2] (Germany), still playing
  148: HI_IH_IH (United Kingdom), still playing
  149: Ha22el (United Kingdom), still playing
  150: Hallam93 (United Kingdom), still playing
  151: Heopsss (Moldova), still playing
  152: HisokaQQQQ (Brazil), still playing
