PokerStars Tournament #3912519001, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
4192 players
Total Prize Pool: $58080.00 USD 
Tournament started 2025/08/03 14:00:00 BRT [2025/08/03 13:00:00 ET]

  1: #Runmarker (Sweden), still playing
  2: #c_jr15 (Brazil), still playing
  3: $$$CAMEL.T86 [2] (Ukraine), still playing
  4: $$MRCELTIC$$ (United Kingdom), still playing
  5: $ampaioBruno [2] (Brazil), still playing
  6: $aymon9 (Brazil), still playing
  7: $kullcosta (Brazil), still playing
  8: -Homer_Jay-t (Brazil), still playing
  9: -t,tq-,zft@z [2] (Austria), still playing
  10: .0n!f!re. (Germany), still playing
  11: .ItsPokaBruv (United Kingdom), still playing
  12: 007jogabem (Brazil), still playing
  13: 00_Blackout (Brazil), still playing
  14: 01Duarte (Brazil), still playing
  15: 0321pro (Brazil), still playing
  16: 08621 (Ukraine), still playing
  17: 0kTaxi (United Kingdom), still playing
  18: 0nelast [2] (Ukraine), still playing
  19: 100444 [2] (Paraguay), still playing
  20: 100CACIFE (Brazil), still playing
  21: 10jqkaflus (Brazil), still playing
  22: 17neffetS_BR (Brazil), still playing
  23: 18oneay (Canada), still playing
  24: 1913_Gbr (Brazil), still playing
  25: 1MERCIER1 (Ukraine), still playing
  26: 1REGSCHMUCK (United Kingdom), still playing
  27: 1Rolts1 (Estonia), still playing
  28: 1baikbaik (United Kingdom), still playing
  29: 1eac (Belarus), still playing
  30: 1ncubare (Kazakhstan), still playing
  31: 21tinman21 (Canada), still playing
  32: 2232012 (Vietnam), still playing
  33: 2fame4shame [2] (Germany), still playing
  34: 30/13-138 (Ukraine), still playing
  35: 31rgs (Brazil), still playing
  36: 33john (Romania), still playing
  37: 3andkom_Ljoker (Morocco), still playing
  38: 3x3.q.tor.84 (Germany), still playing
  39: 40kPoker (Mongolia), still playing
  40: 420)ZUMA (Brazil), still playing
  41: 421*124 [2] (Denmark), still playing
  42: 46891978 (Germany), still playing
  43: 4Kings_Hit (United Kingdom), still playing
  44: 4Raijin (Ukraine), still playing
  45: 4akuFT (Ukraine), still playing
  46: 4bettertommorow (Greece), still playing
  47: 4k.falc (Ukraine), still playing
  48: 51239 (Belarus), still playing
  49: 52_problemz (Canada), still playing
  50: 5Nu4ka (Belarus), still playing
  51: 5betshove69 (Belgium), still playing
  52: 75krisz (Hungary), still playing
  53: 76198 [2] (Slovakia), still playing
  54: 77 Maia (Brazil), still playing
  55: 77GUI (Brazil), still playing
  56: 77blackviper (Germany), still playing
  57: 77kamikaze77 (Brazil), still playing
  58: 7bood7 (Canada), still playing
  59: 7jujuba7 [3] (Brazil), still playing
  60: 86ofdiamonds (Romania), still playing
  61: 904_Snow (United Kingdom), still playing
  62: 99dm84 [2] (Bosnia and Herzegovina), still playing
  63: 9Sereja (Kazakhstan), still playing
  64: A.Galenchik (Ukraine), still playing
  65: A.M.A.D.S14 (Switzerland), still playing
  66: A777BX [2] (Kazakhstan), still playing
  67: AAFFONSOAA (Brazil), still playing
  68: AALAVANDOSKI (Brazil), still playing
  69: AAsh82 (United Kingdom), still playing
  70: ADSWOOD paul (United Kingdom), still playing
  71: AEA1978 (Argentina), still playing
  72: AE_Sp00ner (Switzerland), still playing
  73: AISWARIARAI (Ireland), still playing
  74: AKsEffekt [2] (Belarus), still playing
  75: ALEX HALF [2] (Ukraine), still playing
  76: ALEX_kingpk (Brazil), still playing
  77: ALEbcard [2] (Brazil), still playing
  78: ALLANBICKJPL (Brazil), still playing
  79: ALTUSDOMUS (Brazil), still playing
  80: ANachi20 (Argentina), still playing
  81: APrado1 (Brazil), still playing
  82: ARHINJO (Belarus), still playing
  83: ARICCI.BOSSO [2] (Greece), still playing
  84: ARISTOTEL300 (Ukraine), still playing
  85: ARTRAISER (Brazil), still playing
  86: ASautin123 [2] (Belarus), still playing
  87: AadrovanRj21 (Brazil), still playing
  88: AbacateLeao (Brazil), still playing
  89: Accio Aces1 [2] (Brazil), still playing
  90: AceKicker_19 (Canada), still playing
  91: AcesBrewery (Argentina), still playing
  92: AdamtheTrue (Hungary), still playing
  93: AdritchPoker [3] (Denmark), still playing
  94: AfranioMM (Brazil), still playing
  95: Agahir (Switzerland), still playing
  96: AgamemnonXVI (Ireland), still playing
  97: Agussolari (Argentina), still playing
  98: Ahodal (Denmark), still playing
  99: Ai_evasive (Germany), still playing
  100: Akakabut0 (Denmark), still playing
  101: Albino 187 (Germany), still playing
  102: Alchemist360 (United Kingdom), still playing
  103: Alchi Lee (Belarus), still playing
  104: Alek$win (Ukraine), still playing
  105: Alex Shepel [2] (Mexico), still playing
  106: AlexK1432 [2] (United Kingdom), still playing
  107: AlexPerez77 (Brazil), still playing
  108: AlexSanchezaz [2] (Ukraine), still playing
  109: AlexandreAnd (Brazil), still playing
  110: Alexhest383 (Denmark), still playing
  111: Alexv391 (Romania), still playing
  112: Alika DJ (Argentina), still playing
  113: AllOUT_SkyYea (Canada), still playing
  114: Allightman (Brazil), still playing
  115: AlmightyA (Ukraine), still playing
  116: Always Plan Ahe (Denmark), still playing
  117: Amarooo789 (Germany), still playing
  118: Amauri Lara (Brazil), still playing
  119: Amiralsanji (Sweden), still playing
  120: AnSi9086 (Germany), still playing
  121: Anaken74 [2] (Argentina), still playing
  122: Ananchik01 (Kazakhstan), still playing
  123: Anatomi87 (Sweden), still playing
  124: Andrebrito1 (Brazil), still playing
  125: Andrey_2177 (Ukraine), still playing
  126: Andrussa [2] (Estonia), still playing
  127: AndyGreen80 (Sweden), still playing
  128: AntJakson (Estonia), still playing
  129: AntenorN (Brazil), still playing
  130: Antonio199211 (Kyrgyzstan), still playing
  131: Antunes Gaa (Brazil), still playing
  132: AokiJrBr (Brazil), still playing
  133: AquiNãoNeném (Brazil), still playing
  134: Arcanjo9917 (Brazil), still playing
  135: Arnisss (United Kingdom), still playing
  136: Arrrww (Sweden), still playing
  137: Arsenal123777 (Armenia), still playing
  138: Artemq4 (Kazakhstan), still playing
  139: Artysa (Finland), still playing
  140: As'n'the'Ass [4] (United Kingdom), still playing
  141: Asamc82 [2] (United Kingdom), still playing
  142: AshModai90 (Estonia), still playing
  143: Ask2yourGhost [2] (Brazil), still playing
  144: Asmodei10 (Belarus), still playing
  145: AspiringPanda (Slovakia), still playing
  146: AstraLito (Bulgaria), still playing
  147: Astrochino (Brazil), still playing
  148: AureCai (Argentina), still playing
  149: Autobot 1.7 (Denmark), still playing
  150: Avmatos88 (Brazil), still playing
  151: AyStunn (Austria), still playing
  152: B geesMartin (United Kingdom), still playing
  153: B0Om-shakalaka (Brazil), still playing
  154: BC_Pres (Canada), still playing
  155: BIGDES104 (United Kingdom), still playing
  156: BKUN2000 (Brazil), still playing
  157: BLNDIK (Belarus), still playing
  158: BNacho_11 (Argentina), still playing
  159: BOCukawp (Germany), still playing
  160: BOKINHA (Brazil), still playing
  161: BOLIS_CTBA [2] (Brazil), still playing
  162: BR All-in-e (Brazil), still playing
  163: BRENO_DUARTE (Brazil), still playing
  164: BaXTeP.ua (Ukraine), still playing
  165: BaXer4iK (Ukraine), still playing
  166: Badinho1989 [2] (Brazil), still playing
  167: Bagenz77 (Switzerland), still playing
  168: BambamDoBet (Brazil), still playing
  169: BanderaWinner (Ukraine), still playing
  170: Banditos 666 [2] (Germany), still playing
  171: Baratolouco24 (Brazil), still playing
  172: Barre112 (Sweden), still playing
  173: Barretim (Brazil), still playing
  174: BatCave404 (Brazil), still playing
  175: Baumannnn (Brazil), still playing
  176: Bazinga23CRF (Brazil), still playing
  177: BeauB3au (Ireland), still playing
  178: BeaverTurbo (Sweden), still playing
  179: Because FKU (Brazil), still playing
  180: Belekaaaaaas (Lithuania), still playing
  181: Benfica10 (Canada), still playing
  182: Benitoj19 (Argentina), still playing
  183: Bennard (Sweden), still playing
  184: Benoniroyal (Germany), still playing
  185: Benvenuti 98 (Brazil), still playing
  186: Berkowitz33 (Brazil), still playing
  187: Beto Macedo CCH (Brazil), still playing
  188: Beto.agostin (Brazil), still playing
  189: Betoriver (Argentina), still playing
  190: Biceps82 (United Kingdom), still playing
  191: Bicycle As (Costa Rica), still playing
  192: Biel_KingKK (Brazil), still playing
  193: BigPhill87 (Brazil), still playing
  194: BigStan11 (Ukraine), still playing
  195: Biggioak (Sweden), still playing
  196: BigslickDRE (Canada), still playing
  197: Bilchki1190 (Belgium), still playing
  198: Billy Dean34 (Ukraine), still playing
  199: Birdman13131 [2] (Austria), still playing
  200: BiscuitBobby (United Kingdom), still playing
  201: Bitverwerter (Germany), still playing
  202: Bl4ckCat77 (Brazil), still playing
  203: Blackgrindfr (Thailand), still playing
  204: BlessedTrue (Belarus), still playing
  205: BlinDera (Brazil), still playing
  206: BlindRazorJJ (United Kingdom), still playing
  207: Bloodeagle69 (Germany), still playing
  208: Bluecollarjr [3] (Denmark), still playing
  209: Blufftome_72 (Germany), still playing
  210: Bluting (Argentina), still playing
  211: Bmm59 [2] (Brazil), still playing
  212: BobJow93 (Brazil), still playing
  213: BobbyO1995 (Ireland), still playing
  214: Bobfahrer91 (Germany), still playing
  215: Boka1995Zika [2] (Brazil), still playing
  216: Borgesxx (Brazil), still playing
  217: BossNow.S (Belarus), still playing
  218: BowlerJames85 (United Kingdom), still playing
  219: Bozhenko I. (Ukraine), still playing
  220: Bozo Bozal [2] (Brazil), still playing
  221: Bozz53I (Germany), still playing
  222: Brainy14 (Canada), still playing
  223: Bratvanova (Bulgaria), still playing
  224: Brcislav (Slovakia), still playing
  225: BrenoSecchin (Brazil), still playing
  226: Brenowwm. (Brazil), still playing
  227: Bretera (Brazil), still playing
  228: Bronya84 (Belarus), still playing
  229: Broodmaker [2] (Ireland), still playing
  230: BrunoBar08 (Brazil), still playing
  231: BrunoPrado20 [2] (Brazil), still playing
  232: BrunoStrek (Brazil), still playing
  233: Brunomelo92 (Brazil), still playing
  234: Brurovisky (Brazil), still playing
  235: Buck_Dich001 (Bulgaria), still playing
  236: BuderusBrutus (Switzerland), still playing
  237: Bump&Flex (United Kingdom), still playing
  238: Burak1910 (Switzerland), still playing
  239: Burfs10 (United Kingdom), still playing
  240: ButterMeBaby (Austria), still playing
  241: Byrnis0n (Kazakhstan), still playing
  242: C0C0PoK$r [2] (Argentina), still playing
  243: C0sm0 M!nd (Brazil), still playing
  244: CAMISA1088 (Brazil), still playing
  245: CARTUCHERAA (Argentina), still playing
  246: CCKeenan (United Kingdom), still playing
  247: CHIPSCRAZYY (Brazil), still playing
  248: CMESSAA (Brazil), still playing
  249: CMRolfes1990 (Germany), still playing
  250: CONCURSEIRONATO (Brazil), still playing
  251: CPHGunner (Denmark), still playing
  252: CQLpatron (Switzerland), still playing
  253: CRVG.Breno (Brazil), still playing
  254: CVAC2017 (Canada), still playing
  255: CaR!nUtZ@11 (Romania), still playing
  256: CadeMito [2] (Brazil), still playing
  257: CallMeAve (Germany), still playing
  258: Callmetowarr [2] (Brazil), still playing
  259: Camenbert_85 (Germany), still playing
  260: CamillaaaH (Brazil), still playing
  261: Can'tStopMee (Romania), still playing
  262: Canada0404 (Canada), still playing
  263: CanadianCaribou (Canada), still playing
  264: Cande712 [2] (Argentina), still playing
  265: Canvasking (Denmark), still playing
  266: Capirov [3] (Brazil), still playing
  267: CaptainGiga (Brazil), still playing
  268: Captain_011 (Greece), still playing
  269: Captainmb87 (Germany), still playing
  270: CardinalWFC (United Kingdom), still playing
  271: Caristhon.fé (Brazil), still playing
  272: CarlosBcc (Brazil), still playing
  273: Carlospnhr86 (Brazil), still playing
  274: CartaBrancAA (Brazil), still playing
  275: CaseyRybeck (Canada), still playing
  276: CashUrChecks (United Kingdom), still playing
  277: Cashine94 (Germany), still playing
  278: Cebola948 (Brazil), still playing
  279: Ch@rge (Ukraine), still playing
  280: Chaloeil (Belgium), still playing
  281: Chanaldo9 (Ireland), still playing
  282: ChaosTom (Germany), still playing
  283: Chappy1234567 (United Kingdom), still playing
  284: Chareleszard (Brazil), still playing
  285: Charts54 (Canada), still playing
  286: ChaseTyler14 (Canada), still playing
  287: Chebby42 (Switzerland), still playing
  288: Chiefinio (Ireland), still playing
  289: Chiesaraise (Brazil), still playing
  290: China459 (Argentina), still playing
  291: ChipsAhoy591 (Canada), still playing
  292: ChiterMX [2] (Belarus), still playing
  293: ChoboPokeR_r (United Kingdom), still playing
  294: ChoiSanDou88 (Switzerland), still playing
  295: Chris Doggy (United Kingdom), still playing
  296: ChrisFreeFlow (Ukraine), still playing
  297: ChrisLee1609 [2] (Germany), still playing
  298: ChristianBR4 (Brazil), still playing
  299: Chrisz0r34 (United Kingdom), still playing
  300: Chromagnon (Sweden), still playing
  301: Chroonic (Brazil), still playing
  302: ChubaLero (Argentina), still playing
  303: ChunchoJR [3] (Chile), still playing
  304: Chuurk (Brazil), still playing
  305: CiTral6077 (Germany), still playing
  306: Cigana#13 (Brazil), still playing
  307: CinnteDearfach (Ireland), still playing
  308: Clandestin07 [3] (Brazil), still playing
  309: CocaColaZero93 (Switzerland), still playing
  310: Cogolho_SC (Brazil), still playing
  311: Collaps04 (Ukraine), still playing
  312: Coloboration (Belarus), still playing
  313: Com Sort3 (Brazil), still playing
  314: Cordeiro212 (Brazil), still playing
  315: Cornoscot [2] (United Kingdom), still playing
  316: Coxxa (Sweden), still playing
  317: Cr1s5t1 (Romania), still playing
  318: Craaazy101 (Brazil), still playing
  319: CrazySezya [2] (Bulgaria), still playing
  320: Cris chucky (Brazil), still playing
  321: CrushWhales [2] (Brazil), still playing
  322: Crustycrabe007 [3] (Belgium), still playing
  323: Cundonk (Argentina), still playing
  324: D0uglasr0q [2] (Brazil), still playing
  325: D1man1982 (Bulgaria), still playing
  326: D1sable (Lithuania), still playing
  327: D3s1gn (Latvia), still playing
  328: D4Penny (United Kingdom), still playing
  329: DALLAS_AKT (Brazil), still playing
  330: DDenis79 [3] (Brazil), still playing
  331: DENAO636 (Brazil), still playing
  332: DIIAMANT23 (Switzerland), still playing
  333: DIMAK09 (Austria), still playing
  334: DITRH (Switzerland), still playing
  335: DJ Soufflé (Canada), still playing
  336: DJKabel (Germany), still playing
  337: DJT 99 (United Kingdom), still playing
  338: DJborya17 (Armenia), still playing
  339: DSM09 (Brazil), still playing
  340: DSNeher (Brazil), still playing
  341: DUFF MAN899 (Brazil), still playing
  342: DZajacBB (Venezuela), still playing
  343: Da777One (United Kingdom), still playing
  344: Dagios80 (Brazil), still playing
  345: Dahl938 (Germany), still playing
  346: Dammisahne (Germany), still playing
  347: Damsbo2604 (Denmark), still playing
  348: DanBzrQQQQ (Bulgaria), still playing
  349: DanLangUK (United Kingdom), still playing
  350: DanceoFDeath6 (Latvia), still playing
  351: Danflexx (Germany), still playing
  352: DangrusDM (Belarus), still playing
  353: DaniGubert (Brazil), still playing
  354: Danil4163000276 (Ukraine), still playing
  355: Danilegend24 (United Kingdom), still playing
  356: Daniloks (Brazil), still playing
  357: Danne7408 (Sweden), still playing
  358: DannniYea [3] (Sweden), still playing
  359: Dannyz0r (Romania), still playing
  360: Dark Azazel (Brazil), still playing
  361: DarkSkies21 (Brazil), still playing
  362: Darya_Kurt (Brazil), still playing
  363: DaveLeBarbare [3] (Switzerland), still playing
  364: Davidedê (Brazil), still playing
  365: Dazjas [2] (United Kingdom), still playing
  366: DeM0N_ZT (Ukraine), still playing
  367: DeNiSiKa.ps (Romania), still playing
  368: De_Schlingel (Germany), still playing
  369: DealMeAce (Denmark), still playing
  370: Decco8 (United Kingdom), still playing
  371: DeceptiveDee (United Kingdom), still playing
  372: DeddysHome (Brazil), still playing
  373: Deitmer (Austria), still playing
  374: Dekinhu [2] (Brazil), still playing
  375: Demidenochka16 (Ukraine), still playing
  376: Demmiennsp (Argentina), still playing
  377: DenGamleDame [3] (Denmark), still playing
  378: Denco20 (Sweden), still playing
  379: Denno2010 (Germany), still playing
  380: DeosDraco777 (Switzerland), still playing
  381: Der Besen (Denmark), still playing
  382: Der_Ankumer (Germany), still playing
  383: DeswINGer1111 (Malta), still playing
  384: Devilhug6 (Switzerland), still playing
  385: Devrim_1979@M (Switzerland), still playing
  386: Dfonzz [2] (Belgium), still playing
  387: DiMastodon (Brazil), still playing
  388: Diadem1 (Slovenia), still playing
  389: DiddyG_86 (Germany), still playing
  390: Digo1407 (Brazil), still playing
  391: Dimaevk (Belarus), still playing
  392: Dimi269 (Romania), still playing
  393: Dimitrio333 (Ukraine), still playing
  394: DionataPZZ (Brazil), still playing
  395: Direkte (Denmark), still playing
  396: DiscilioDave (United Kingdom), still playing
  397: Djebzz [2] (Belgium), still playing
  398: Djwalker2 (United Kingdom), still playing
  399: DominicanMaster (Dominican Republic), still playing
  400: DorflexBr (Brazil), still playing
  401: Dorian_k2 (Moldova), still playing
  402: DouglasVieiradC (Brazil), still playing
  403: Dr.Colle (Brazil), still playing
  404: Dr.Durrrq (Latvia), still playing
  405: Dr.Hibbert55 (Germany), still playing
  406: DrGonzo26 (United Kingdom), still playing
  407: DrPoita (Brazil), still playing
  408: Dr_Drey15 (Brazil), still playing
  409: Dr_RafaelMF (Brazil), still playing
  410: Drag0nflye (United Kingdom), still playing
  411: Drdri21 (Greece), still playing
  412: Duarteberna [2] (Brazil), still playing
  413: Dubi74 [2] (Argentina), still playing
  414: Dudu Israell (Brazil), still playing
  415: DuduLôbo2012 (Brazil), still playing
  416: Dulvagan (Germany), still playing
  417: Durgolias (Switzerland), still playing
  418: Dyadyarizo (Ukraine), still playing
  419: Dyou_0404 (Switzerland), still playing
  420: Dzibiy (Ukraine), still playing
  421: EL GRAN TORO (Argentina), still playing
  422: ELNINO490 (Germany), still playing
  423: ENG.Brito [2] (Brazil), still playing
  424: EV0ll0VE (Argentina), still playing
  425: Eagle 3001 (United Kingdom), still playing
  426: Eaglov [4] (Morocco), still playing
  427: Easylife09 (United Kingdom), still playing
  428: EbolaSheep (United Kingdom), still playing
  429: Edo1398 [2] (Armenia), still playing
  430: EdshowDublin (Ireland), still playing
  431: Edushiokawa (Brazil), still playing
  432: EfexOficial (Brazil), still playing
  433: Egroe (Romania), still playing
  434: Ehrmantraut Js (Brazil), still playing
  435: Eiji88 (Brazil), still playing
  436: El startis (Sweden), still playing
  437: ElOso2798 (Argentina), still playing
  438: ElTigr0 (Belgium), still playing
  439: El_pepitinho9 (Luxembourg), still playing
  440: Elchmütze (Austria), still playing
  441: ElconeJQ [2] (New Zealand), still playing
  442: Eleandros10 (United Kingdom), still playing
  443: Eliseu00 (Brazil), still playing
