PokerStars Tournament #3912518852, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
1036 players
Total Prize Pool: $12742.80 USD 
Tournament started 2025/08/01 11:30:00 BRT [2025/08/01 10:30:00 ET]

  1: $$$CAMEL.T86 (Ukraine), still playing
  2: $tr@teg@$1 (Ireland), still playing
  3: 00gap00 (Brazil), still playing
  4: 123Served (Canada), still playing
  5: 15watt (Sweden), still playing
  6: 1MERCIER1 (Ukraine), still playing
  7: 2High4µ [2] (Germany), still playing
  8: 2smuckit (Canada), still playing
  9: 4Raijin (Ukraine), still playing
  10: 76198 [2] (Slovakia), still playing
  11: 7mbtom (Kazakhstan), still playing
  12: 847449 (Lithuania), still playing
  13: 86ofdiamonds (Romania), still playing
  14: AAzolowAA (Brazil), still playing
  15: AFG.429 (Germany), still playing
  16: ALEbcard (Brazil), still playing
  17: ALTUSDOMUS [2] (Brazil), still playing
  18: ARCHIBALD.IT [3] (Switzerland), still playing
  19: ARTRAISER (Brazil), still playing
  20: ASAP75 (Belgium), still playing
  21: ASautin123 (Belarus), still playing
  22: AamiUa (Ukraine), still playing
  23: Adisaga (Switzerland), still playing
  24: AhilesPre (Argentina), still playing
  25: AlexanderX88 (Ukraine), still playing
  26: AllColours [2] (Denmark), still playing
  27: AllOUT_SkyYea (Canada), still playing
  28: Alpohi83CH (Switzerland), still playing
  29: Amauri410 (Brazil), still playing
  30: AmazingPlay9 (Brazil), still playing
  31: AndnetoPoker (Brazil), still playing
  32: Andrey_2177 (Ukraine), still playing
  33: Anton280395 (Kyrgyzstan), still playing
  34: Arcanjo9917 [2] (Brazil), still playing
  35: Arrrww [2] (Sweden), still playing
  36: Arsenal123777 (Armenia), still playing
  37: AshModai90 (Estonia), still playing
  38: Ashcur4747 (Armenia), still playing
  39: BLNDIK (Belarus), still playing
  40: BNacho_11 (Argentina), still playing
  41: BasiliskBasel [2] (Switzerland), still playing
  42: Benitoj19 (Argentina), still playing
  43: Berruuu (Malta), still playing
  44: Betbat13 (Switzerland), still playing
  45: Bierschaaaß (Austria), still playing
  46: Bitencourth00 (Brazil), still playing
  47: Blake1990724 (United Kingdom), still playing
  48: Blufflillo (Chile), still playing
  49: BobJow93 (Brazil), still playing
  50: Bobben1823 (Sweden), still playing
  51: BonuM2222 (Turkmenistan), still playing
  52: BrandSevens (Japan), still playing
  53: BrotherKjell (Belgium), still playing
  54: BrunoStrek (Brazil), still playing
  55: Byrnis0n [2] (Kazakhstan), still playing
  56: C0mpetition (Ukraine), still playing
  57: CARTUCHERAA (Argentina), still playing
  58: CNair95 (Brazil), still playing
  59: Capirov (Brazil), still playing
  60: CapitaoBoing (Brazil), still playing
  61: Cesadan (Belgium), still playing
  62: China459 (Argentina), still playing
  63: Chipit2maaac [3] (Brazil), still playing
  64: ChiruJi (United Kingdom), still playing
  65: ChiterMX (Belarus), still playing
  66: ChrisLee1609 (Germany), still playing
  67: Chrusto (Slovakia), still playing
