PokerStars Tournament #3918386783, No Limit Hold'em
Buy-In: $3.92/$0.48 USD
1730 players
Total Prize Pool: $3321.60 USD 
Tournament started 2025/08/14 14:30:00 BRT [2025/08/14 13:30:00 ET]

  1: 12ACMILAN (Mexico), still playing
  2: 1981611li88 [2] (United Kingdom), still playing
  3: 20001900 (Germany), still playing
  4: 22_Olga (Belarus), still playing
  5: 34STL4NDS (United Kingdom), still playing
  6: 3polar (Brazil), still playing
  7: 7deucedaves711 (United Kingdom), still playing
  8: 8enjmohikan (Belgium), still playing
  9: 97-pitch-97 (Belgium), still playing
  10: 9NeverNuts9 (Sweden), still playing
  11: A340NAG (Ukraine), still playing
  12: AAKKULAA (Belarus), still playing
  13: AAhobbit (Brazil), still playing
  14: AByS19 [3] (Germany), still playing
  15: AMAUTER (Ukraine), still playing
  16: ARKONY [3] (Ukraine), still playing
  17: ATM SMASHER (Canada), still playing
  18: AdamtheTrue [2] (Hungary), still playing
  19: Alax Bruno (Brazil), still playing
  20: Alema9 (Brazil), still playing
  21: Alieninja420 (Brazil), still playing
  22: Andi.gelfi1987 [2] (Switzerland), still playing
  23: Andre germanoo (Brazil), still playing
  24: Arwands (Belarus), still playing
  25: Avgå alla! (Sweden), still playing
  26: Azarvil (Ukraine), still playing
  27: BIG MART 1 (United Kingdom), still playing
  28: BabyDray (Canada), still playing
  29: Babydaun (Latvia), still playing
  30: Bambii8719 (United Kingdom), still playing
  31: Barnau23 [2] (Romania), still playing
  32: Bené991 (Brazil), still playing
  33: Bertuqui420 (Brazil), still playing
  34: Bluf_To_Much [2] (Moldova), still playing
  35: Bobbiioo (Brazil), still playing
  36: Bogias_1981 (Greece), still playing
  37: Boipepe95 (Belgium), still playing
  38: Bongo2003 (Finland), still playing
  39: BreddPitt86 (Moldova), still playing
  40: CSensini [3] (Brazil), still playing
  41: Caio Brick (Brazil), still playing
  42: CinZer0 (Brazil), still playing
  43: Cleverson807 (Brazil), still playing
  44: César Ochida (Brazil), still playing
  45: D PitcherAK [3] (Canada), still playing
  46: DCR7702 (Belgium), still playing
  47: Danilochess0 [2] (Brazil), still playing
  48: DannyBrovac [3] (Belgium), still playing
  49: Dauergewinner (Austria), still playing
  50: DaveMac75 [2] (United Kingdom), still playing
  51: Deano999666 (United Kingdom), still playing
  52: Dezin2005 [2] (Brazil), still playing
  53: DiMatteo30 (Brazil), still playing
  54: Dionisimus21 (Canada), still playing
  55: Dj vlinder [2] (Brazil), still playing
  56: DoLLce_VitAA (Ukraine), still playing
  57: Dom Boyes [2] (United Kingdom), still playing
  58: DontShy (Belarus), still playing
  59: DouglasThor10 (Brazil), still playing
  60: EMERSON186 (Brazil), still playing
  61: EMIVALDOVJ (Brazil), still playing
  62: EMonarch (Belarus), still playing
  63: EasyMoneyDoro (Brazil), still playing
  64: ElSamu2308 (Chile), still playing
  65: Ellendv76 [2] (Belgium), still playing
  66: Embolizateur [2] (Greece), still playing
  67: Everton_KQJ (Brazil), still playing
  68: FIDRINI (Brazil), still playing
  69: FSAKQJT (Brazil), still playing
  70: FabregaStar (United Kingdom), still playing
  71: Ferdinando013 (Brazil), still playing
  72: FiberWizards (Sweden), still playing
  73: Fidelpa82 [3] (Argentina), still playing
  74: Flamingo1109 (Switzerland), still playing
  75: Footraiser (Switzerland), still playing
  76: Fábio Bruner (Brazil), still playing
  77: Fênix-SSA (Brazil), still playing
  78: GCH_HGC (Brazil), still playing
  79: GGhost1984 (Brazil), still playing
  80: GOODLIKEMAN (Ukraine), still playing
  81: GaPokerr (Brazil), still playing
  82: GabrielFonsc [2] (Brazil), still playing
  83: Genikos7 (Greece), still playing
  84: GeorgeHere64 (Costa Rica), still playing
  85: Gkoutoupis (Greece), still playing
  86: Gold.Label1 (Uruguay), still playing
  87: GreeceMeUp (Greece), still playing
  88: Grenat1228 [2] (Switzerland), still playing
  89: Grete123 (Estonia), still playing
  90: Guido47/51 (Brazil), still playing
  91: Guster197 (Germany), still playing
  92: HA57 (Switzerland), still playing
  93: Hansafond (Estonia), still playing
  94: HelloMan96 [2] (Switzerland), still playing
  95: Helton345 [2] (Brazil), still playing
  96: Henk88 [2] (Germany), still playing
  97: Hennyvd15 [3] (Germany), still playing
  98: Hexeknobi2001 (Germany), still playing
  99: I-Mr_P0K3R-I (United Kingdom), still playing
  100: ILLwinMoney (Romania), still playing
  101: ISnakeU1337 (Germany), still playing
  102: Iefenos (Brazil), still playing
  103: Iezamu [2] (Germany), still playing
  104: ImprovisoM (Brazil), still playing
  105: InfinityRT (Brazil), still playing
  106: Ivan-Dop0608 [2] (Ukraine), still playing
  107: J.Freeman.P (Canada), still playing
  108: Jaby1989 (United Kingdom), still playing
  109: James_ABDN (United Kingdom), still playing
  110: Jeanzinnn_Br (Brazil), still playing
  111: Jefimsousa (Brazil), still playing
  112: Jeipen99 (Greece), still playing
  113: Jessica870 [3] (Brazil), still playing
  114: Jh newton (Brazil), still playing
  115: JoMan05 (Germany), still playing
  116: JohnRobert881 (Finland), still playing
  117: Johnny1-Step (United Kingdom), still playing
  118: Jojje007 (Sweden), still playing
  119: Juanlopez190 (Argentina), still playing
  120: JumalSander (Estonia), still playing
  121: KKleevenKK (Brazil), still playing
  122: Kakamiro1234 (Brazil), still playing
  123: Kebrei (Brazil), still playing
  124: KeeperBrasil (Brazil), still playing
  125: Kenyflax_069 [3] (Belgium), still playing
  126: King Hosta (United Kingdom), still playing
  127: Kreuz 8 (Germany), still playing
  128: Kung_Niklas [2] (Sweden), still playing
  129: KurtKraut (Brazil), still playing
  130: LAST_PAMPERS (Estonia), still playing
  131: L_O_C_K_Y__R (Ukraine), still playing
  132: Lafouine4ever [3] (Switzerland), still playing
  133: Le0 Maga (Brazil), still playing
  134: LeoCoradetti (Brazil), still playing
  135: LfcTrev [2] (Ireland), still playing
  136: LounderFr (Lithuania), still playing
  137: Lucas_Sou224 (Brazil), still playing
  138: M2X1MM (Estonia), still playing
  139: MBClub (Belarus), still playing
  140: MPAOYLOS8888 (Greece), still playing
  141: MTEUSAMPAIO (Brazil), still playing
  142: Machidon7 (Romania), still playing
  143: MagicMouse11 (United Kingdom), still playing
  144: Mallewolle [2] (Germany), still playing
  145: MarkEney (Ukraine), still playing
  146: Marmilad (Ukraine), still playing
  147: Mausefall [3] (Germany), still playing
  148: Meady6969 (United Kingdom), still playing
  149: Mi Koseki (Brazil), still playing
  150: MichelineLuiza (Brazil), still playing
  151: Milan03122 (Belgium), still playing
  152: Minaric [2] (Slovakia), still playing
  153: Moergis (Germany), still playing
  154: Mozasela (Sweden), still playing
  155: Mr.TVCruz (Brazil), still playing
  156: N4ts333 [3] (Greece), still playing
  157: NMONTIRONI (Argentina), still playing
  158: Nattchen2019 (Germany), still playing
  159: Nilton AAndrade (Brazil), still playing
  160: NoWay7777777 (Ukraine), still playing
  161: NortedeMinas (Brazil), still playing
  162: Notzki (Finland), still playing
  163: Núbia (Brazil), still playing
  164: OMGItsaShark (Brazil), still playing
  165: Odb00 [2] (Belgium), still playing
  166: Opa!Q7 [2] (Switzerland), still playing
  167: Orest997 (Ukraine), still playing
  168: P.PokerDiddy (Germany), still playing
  169: PIGS2008 (Belarus), still playing
  170: PKRninja81 (United Kingdom), still playing
  171: Palu2804 (Switzerland), still playing
  172: PansaRN (Brazil), still playing
  173: PascaSrg [2] (Romania), still playing
  174: PedroFuccio_07 (Brazil), still playing
  175: PokerAlex84 [2] (Germany), still playing
  176: Pollard77 (United Kingdom), still playing
  177: Priscilasp92 (Brazil), still playing
  178: PuercoRicoo [3] (Switzerland), still playing
  179: Quelol94 (Brazil), still playing
  180: R.Trenkova (Bulgaria), still playing
  181: RACING265 (Belgium), still playing
  182: RATM86 (Denmark), still playing
  183: RCP.Lima (Brazil), still playing
  184: R_Detros (Brazil), still playing
  185: Raidios (Germany), still playing
  186: Ramonbento22 (Brazil), still playing
  187: RastaMike78 (Austria), still playing
  188: RazMataz3107 (United Kingdom), still playing
  189: Razvanyk95 (Romania), still playing
  190: Ribeiro664 [2] (Brazil), still playing
  191: Richard_KONO (Brazil), still playing
  192: Rileigh1804 (United Kingdom), still playing
  193: RiseTheGrind (Ukraine), still playing
  194: Robsnor123 (Belgium), still playing
  195: Rodicall (Canada), still playing
  196: Ronin416 (Brazil), still playing
  197: Saandroalves (Brazil), still playing
  198: Sandy2711 [2] (United Kingdom), still playing
  199: Scottyh41 (United Kingdom), still playing
  200: Seele71 (Germany), still playing
  201: Sergeygambit (Belarus), still playing
  202: Sharp(Gosu) [3] (Belarus), still playing
  203: Shecat23 (United Kingdom), still playing
  204: Silentium1337 (Belarus), still playing
  205: Spirit[Rei] [2] (Brazil), still playing
  206: Steviewon777 (Switzerland), still playing
  207: Stoduto86 (Brazil), still playing
  208: Stoney736 (United Kingdom), still playing
  209: Sunse101 [2] (Sweden), still playing
  210: TOP_Crystal (Belgium), still playing
  211: Tetipkr (Argentina), still playing
  212: TheR0se (Germany), still playing
  213: ThiagoFasttt (Brazil), still playing
  214: Tiço lw (Brazil), still playing
  215: Tob1asAK [3] (Denmark), still playing
  216: Tomas20LT (Lithuania), still playing
  217: TonyMont4n45 (Brazil), still playing
  218: Trickybstrd (Canada), still playing
  219: TripodCanine (Canada), still playing
  220: Troubaduren (Denmark), still playing
  221: Troyannn788 (Bulgaria), still playing
  222: Turbomaja [2] (Sweden), still playing
  223: V-Delaney (New Zealand), still playing
  224: VVS777 (Estonia), still playing
  225: Vevericiak69 (Slovakia), still playing
  226: ViVa Braslav (Belarus), still playing
  227: Vitinh0 (Brazil), still playing
  228: Vludin [2] (Belarus), still playing
  229: W.C94 (Brazil), still playing
  230: Whatislove01 (Ukraine), still playing
  231: Witalijuz [2] (Lithuania), still playing
  232: XXXYXYXXX (Germany), still playing
  233: YKCHU (United Kingdom), still playing
  234: YutoRojas [2] (Belarus), still playing
  235: ZeChavoso (Brazil), still playing
  236: Zebedee1 [2] (United Kingdom), still playing
  237: _S3mMiMiMi_ (Brazil), still playing
  238: abcignal (Philippines), still playing
  239: aceandybad (United Kingdom), still playing
  240: agustiin 208 (Argentina), still playing
  241: aigarsjac [2] (Latvia), still playing
  242: alan0w (United Kingdom), still playing
  243: aleexandreen (Brazil), still playing
  244: alejandroitf (Argentina), still playing
  245: aless464 (Belgium), still playing
  246: alexkov1 (Belarus), still playing
  247: alynho699 (Brazil), still playing
  248: amalia933 (Germany), still playing
  249: ambrella 11 (Ukraine), still playing
  250: anger62 (Ukraine), still playing
  251: armeniiino [2] (Belgium), still playing
  252: asas1722 [2] (Romania), still playing
  253: axel030496 (Argentina), still playing
  254: azerio_7330 (Belgium), still playing
  255: bahhfreitas (Brazil), still playing
  256: bebezãox9 (Brazil), still playing
  257: bellies410 (United Kingdom), still playing
  258: bigoots (Denmark), still playing
  259: billybass343 (Sweden), still playing
  260: blufftheflush00 [3] (United Kingdom), still playing
  261: bomdia86 (Brazil), still playing
  262: bopav [2] (Romania), still playing
  263: bretti007 (Germany), still playing
  264: brunofaes405 [2] (Brazil), still playing
  265: bruto2604 (Brazil), still playing
  266: bulwar11 (Bulgaria), still playing
  267: cabbalistic7 (Bulgaria), still playing
  268: calybahia27 [2] (Argentina), still playing
  269: cambugreen (Brazil), still playing
  270: capetaum69 (Brazil), still playing
  271: caracciolobr (Brazil), still playing
  272: carica212 [2] (Brazil), still playing
  273: celofritzen (Brazil), still playing
  274: chilala12 (Argentina), still playing
  275: chipymat (United Kingdom), still playing
  276: cleilson33 [2] (Brazil), still playing
  277: cloclob (Belgium), still playing
  278: cmb213 (Germany), still playing
  279: coryo69 [2] (Canada), still playing
  280: cymru17 (United Kingdom), still playing
  281: dannyboy1843 [2] (United Kingdom), still playing
  282: danyo-lv [2] (Ukraine), still playing
  283: dbachurin00 (Canada), still playing
  284: deboer199314 (Greece), still playing
  285: dedekp (Brazil), still playing
  286: denis mcsweeney (Ireland), still playing
  287: djcv88 (United Kingdom), still playing
  288: domintallica (Brazil), still playing
  289: donkerko [3] (Austria), still playing
  290: donkster2000 (United Kingdom), still playing
  291: doug1931 (United Kingdom), still playing
  292: dragan249 [2] (Slovenia), still playing
  293: duckwithacannon (Denmark), still playing
  294: dumbo_donkey (United Kingdom), still playing
  295: dw.kid (Romania), still playing
  296: edgarvdp10 (Argentina), still playing
  297: eli.stoycheva95 [2] (Bulgaria), still playing
  298: emo808 (Bulgaria), still playing
  299: exciter1 [3] (Sweden), still playing
  300: fAAvelaGTO (Argentina), still playing
  301: farmerth (Denmark), still playing
  302: fdsx (Ukraine), still playing
  303: fen4ooo (Bulgaria), still playing
  304: fer_rinald (Brazil), still playing
  305: feri_aney (Slovenia), still playing
  306: fido868 [3] (Argentina), still playing
  307: fishrunner88 [2] (United Kingdom), still playing
  308: fmarassi1991 (Brazil), still playing
  309: fuliba (Brazil), still playing
  310: gastao riffel [2] (Brazil), still playing
  311: georgi243 (Romania), still playing
  312: gerryvc (Mexico), still playing
  313: ghost7008 (Belgium), still playing
  314: giani444 (Romania), still playing
  315: gilinca12 (Romania), still playing
  316: gjubii (Denmark), still playing
  317: gkas71 [3] (Greece), still playing
  318: gold777111 (Switzerland), still playing
  319: goppo26 (Germany), still playing
  320: gota06 (Brazil), still playing
  321: gremiseta (Greece), still playing
  322: grifiboy [2] (Belgium), still playing
  323: gunner24614 [2] (United Kingdom), still playing
  324: guriú [2] (Brazil), still playing
  325: houssston (Brazil), still playing
  326: hozananmatias (Brazil), still playing
  327: hugo agui366 (Mexico), still playing
  328: hugo1120d [3] (Argentina), still playing
  329: hyppiespec (United Kingdom), still playing
  330: icarogaspar (Brazil), still playing
  331: indjows (Brazil), still playing
  332: inking72 (Argentina), still playing
  333: jGhandi [2] (Belgium), still playing
  334: james18094 (United Kingdom), still playing
  335: jjcluney (Canada), still playing
  336: jlan03 (Denmark), still playing
  337: jmanuh (United Kingdom), still playing
  338: joaopia (Brazil), still playing
  339: joewilsdon (United Kingdom), still playing
  340: jonstarz (Brazil), still playing
  341: jorja 69 (United Kingdom), still playing
  342: jrobersonike (Brazil), still playing
  343: jtnr1 (Denmark), still playing
  344: jucabala390 (Brazil), still playing
