PokerStars Tournament #3916203210, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
1846 players
Total Prize Pool: $8860.80 USD 
Tournament started 2025/08/07 12:30:00 BRT [2025/08/07 11:30:00 ET]

  1: Anonymous2411 (Bulgaria), still playing
  2: B1acas (United Kingdom), still playing
  3: BluffShove123 (Canada), still playing
  4: Chestergreen (Sweden), still playing
  5: Chuurk (Brazil), still playing
  6: Darya_Kurt (Brazil), still playing
  7: DoLLce_VitAA (Ukraine), still playing
  8: EternoZé (Brazil), still playing
  9: FillariQJ [2] (Finland), still playing
  10: FransnV [3] (Belgium), still playing
  11: Frodu46 (Ukraine), still playing
  12: GiovaniMB (Brazil), still playing
  13: Goyahkla666 (Estonia), still playing
  14: HDIGABTT (Sweden), still playing
  15: JUCA_PIRAMA1 (Brazil), still playing
  16: Jean D Carvalho (Brazil), still playing
  17: JuLiOcTas (Brazil), still playing
  18: KKnDAlu (Vietnam), still playing
  19: Kaptahh (Finland), still playing
  20: KingOfZeds (United Kingdom), still playing
  21: Koki4a9410 [2] (Bulgaria), still playing
  22: KorneyD (Thailand), still playing
  23: Lui Martins (Brazil), still playing
  24: MIKRA ASIA21 (Greece), still playing
  25: Malinowski.tml (Brazil), still playing
  26: MangeTakk [2] (Switzerland), still playing
  27: Maslannn (Ukraine), still playing
  28: Mcdermutt (Belarus), still playing
  29: MuckYourH198 (Romania), still playing
  30: Nilton AAndrade (Brazil), still playing
  31: Olegleon1989 (Ukraine), still playing
  32: Paje1803 (Brazil), still playing
  33: PazitronCity (Ukraine), still playing
  34: Phaelzinbase (Brazil), still playing
  35: Rebozeio [2] (Brazil), still playing
  36: Ten.Hellz (Brazil), still playing
  37: VeganMan420 [2] (United Kingdom), still playing
  38: ZnuteN (Sweden), still playing
  39: adelsosaa (Chile), still playing
  40: boom_ben95 [2] (Austria), still playing
  41: bountyyyz (Belgium), still playing
  42: derskiller97 (Germany), still playing
  43: donand777 [2] (Ukraine), still playing
  44: ederson 1308 [2] (Brazil), still playing
  45: eduu862 (Brazil), still playing
  46: elizabethano (Brazil), still playing
  47: gabydk37 (Denmark), still playing
  48: giorgos16x [2] (Greece), still playing
  49: guaxinim10 (Brazil), still playing
  50: gustavoheavy (Brazil), still playing
  51: joaopia (Brazil), still playing
  52: joewilsdon (United Kingdom), still playing
  53: mauricioffc (Brazil), still playing
  54: meinapoker (Argentina), still playing
  55: mondini2411 (Brazil), still playing
  56: mooraisjoao3 (Brazil), still playing
  57: nakataZeu (Romania), still playing
  58: nandowhite (Brazil), still playing
  59: pauloj247 (Brazil), still playing
  60: pedroK17 (Brazil), still playing
  61: peterpaulada (Brazil), still playing
  62: pubhater [2] (Armenia), still playing
  63: rayanj (Canada), still playing
  64: rdo_fabris (Brazil), still playing
  65: schedriy (Ukraine), still playing
  66: scorpion3117 (Kazakhstan), still playing
  67: simonroyy (Slovakia), still playing
  68: suzannecash (Brazil), still playing
  69: taximaker [2] (Greece), still playing
  70: tercio04 (Brazil), still playing
  71: titodagnoni (Brazil), still playing
  72: titolv98 (Belgium), still playing
  73: vadan60 (United Kingdom), still playing
  74: victoryukio1 (Brazil), still playing
  75: viniciusmri (Brazil), still playing
  76: warwarin999 (Bulgaria), still playing
  77: xxJesperxx (Denmark), still playing
  78: Gabrielfs13 (Brazil), $17.02 (0.192%)
  79: BNacho_11 (Argentina), $17.02 (0.192%)
  80: DiogoDoPlay4 (Brazil), $17.02 (0.192%)
  81: Vesse49 [2] (Estonia), $17.02 (0.192%)
  82: jonespkr (Brazil), $17.02 (0.192%)
  83: Lucas (44744 (Brazil), $17.02 (0.192%)
  84: mfximnez333 (Brazil), $17.02 (0.192%)
  85: RIGObert12 [2] (Germany), $17.02 (0.192%)
  86: adem0w (Belgium), $17.02 (0.192%)
  87: Facundo-cabj (Argentina), $17.02 (0.192%)
  88: guix2x (Brazil), $17.02 (0.192%)
  89: anemarie36 (Romania), $17.02 (0.192%)
  90: juliette949 (Canada), $17.02 (0.192%)
  91: EugeneShev (Ukraine), $17.02 (0.192%)
  92: Nutkiller78 (Denmark), $17.02 (0.192%)
  93: Ananchik01 (Kazakhstan), $17.02 (0.192%)
  94: BlindRazorJJ (United Kingdom), $17.02 (0.192%)
  95: Zheza (Sweden), $17.02 (0.192%)
  96: Da5ch (Canada), $17.02 (0.192%)
  97: Kobzik123 (Ukraine), $17.02 (0.192%)
  98: lexa17600 (Ukraine), $17.02 (0.192%)
  99: Taraskis (Ukraine), $17.02 (0.192%)
  100: IIGÃO (Brazil), $17.02 (0.192%)
  101: kidbassa [2] (Argentina), $17.02 (0.192%)
  102: Steve1896 (Switzerland), $17.02 (0.192%)
  103: sKAro1201 (Switzerland), $17.02 (0.192%)
  104: July Van7 [2] (Ukraine), $14.38 (0.162%)
  105: xjosx [2] (United Kingdom), $14.38 (0.162%)
  106: Joburger57 (Greece), $14.38 (0.162%)
  107: Jamkicker (Sweden), $14.38 (0.162%)
  108: GeleiaTrsk (Brazil), $14.38 (0.162%)
  109: 21max06 (Austria), $14.38 (0.162%)
  110: FruGraae [3] (Denmark), $14.38 (0.162%)
  111: Fedeleiva10 (Argentina), $14.38 (0.162%)
  112: Paannts (Brazil), $14.38 (0.162%)
  113: Gmirchev (Bulgaria), $14.38 (0.162%)
  114: DizzleG23 (United Kingdom), $14.38 (0.162%)
  115: Montini1 [2] (Brazil), $14.38 (0.162%)
  116: Polsk2601 (Brazil), $14.38 (0.162%)
  117: haidaboy67 (Canada), $14.38 (0.162%)
  118: Vupe (Belarus), $14.38 (0.162%)
  119: AntJakson [2] (Estonia), $14.38 (0.162%)
  120: CaioFerraz AK (Brazil), $14.38 (0.162%)
  121: splax04 (Austria), $14.38 (0.162%)
  122: Mestaristi [2] (Finland), $14.38 (0.162%)
  123: Typucm (Belarus), $14.38 (0.162%)
  124: feruxo (Brazil), $14.38 (0.162%)
  125: NeverFold2Me (United Kingdom), $14.38 (0.162%)
  126: c.nedeR1 (Brazil), $14.38 (0.162%)
  127: ooOoo0oo (Thailand), $14.38 (0.162%)
  128: sezonnoe (Kazakhstan), $14.38 (0.162%)
  129: Dane4ka555 (Ukraine), $14.38 (0.162%)
  130: CHEFHONS (Austria), $14.38 (0.162%)
  131: aleinholly (Mexico), $14.38 (0.162%)
  132: JEKU633 (Finland), $14.38 (0.162%)
  133: ALEX_kingpk (Brazil), $14.38 (0.162%)
  134: BISTIO (United Kingdom), $14.38 (0.162%)
  135: gidjonat (Bulgaria), $14.38 (0.162%)
  136: Cande712 [2] (Argentina), $14.38 (0.162%)
  137: cheapplayer1 (Canada), $14.38 (0.162%)
  138: Evilhope1 (Belarus), $14.38 (0.162%)
  139: JD 2266 E (Ukraine), $14.38 (0.162%)
  140: Flavio32125 (Brazil), $14.38 (0.162%)
  141: VitorMira_2 (Brazil), $14.38 (0.162%)
  142: NEMESIS 5555 (Greece), $14.38 (0.162%)
  143: Maykot95 (Brazil), $14.38 (0.162%)
  144: Skelyast1K (Ukraine), $12.16 (0.137%)
  145: The_Freshlex (Germany), $12.16 (0.137%)
  146: Carmanhani (Brazil), $12.16 (0.137%)
  147: bscluiz [2] (Brazil), $12.16 (0.137%)
  148: headsuptom (Belgium), $12.16 (0.137%)
  149: OtalDoSataa (Brazil), $12.16 (0.137%)
  150: PWBratan (Kazakhstan), $12.16 (0.137%)
  151: alospedazos314 (Argentina), $12.16 (0.137%)
  152: DiasSM (Brazil), $12.16 (0.137%)
  153: paulo9290 (Brazil), $12.16 (0.137%)
  154: Pitbull715 [2] (Belgium), $12.16 (0.137%)
  155: ameg0d [2] (Brazil), $12.16 (0.137%)
  156: gallic8 (Sweden), $12.16 (0.137%)
  157: k29hitok (Belarus), $12.16 (0.137%)
  158: Helst (Sweden), $12.16 (0.137%)
  159: ManuelR363 (Chile), $12.16 (0.137%)
  160: cytehep_wp (Kazakhstan), $12.16 (0.137%)
  161: te pupa tata (Romania), $12.16 (0.137%)
  162: mrtzuni (Germany), $12.16 (0.137%)
  163: ASA94 (Brazil), $12.16 (0.137%)
  164: MixmcFly (United Kingdom), $12.16 (0.137%)
  165: CaptainGiga (Brazil), $12.16 (0.137%)
  166: pinguin13 (Germany), $12.16 (0.137%)
  167: JoZe BoB (Brazil), $12.16 (0.137%)
  168: dudalusa (Brazil), $12.16 (0.137%)
  169: sixbar80 (Chile), $12.16 (0.137%)
  170: Astrochino (Brazil), $12.16 (0.137%)
  171: 0PTI-MEN (Brazil), $12.16 (0.137%)
  172: Nachito0507 (Argentina), $12.16 (0.137%)
  173: renatomaiag (Brazil), $12.16 (0.137%)
  174: 2CU_M8 [3] (Sweden), $12.16 (0.137%)
  175: ZecaBalaBala (Brazil), $12.16 (0.137%)
  176: JuVeNicko_93 (Denmark), $12.16 (0.137%)
  177: BlinDera (Brazil), $12.16 (0.137%)
  178: AndMarch (Belarus), $12.16 (0.137%)
  179: chph8906 (Sweden), $12.16 (0.137%)
  180: cacimbs (Brazil), $12.16 (0.137%)
  181: masapilon639 (Argentina), $12.16 (0.137%)
  182: Batman9780 (Germany), $12.16 (0.137%)
  183: CocoNUTS.br (Brazil), $12.16 (0.137%)
  184: alexkov1 (Belarus), $12.16 (0.137%)
  185: AndyJ82 (United Kingdom), $12.16 (0.137%)
  186: Lucas1803155 [2] (Brazil), $12.16 (0.137%)
  187: EricBolis (Brazil), $12.16 (0.137%)
  188: Com Sort3 (Brazil), $12.16 (0.137%)
  189: Senakosik1 (Belarus), $12.16 (0.137%)
  190: Pymak5 (Indonesia), $12.16 (0.137%)
  191: bruna_bsb (Brazil), $12.16 (0.137%)
  192: per s. aukinen [3] (Finland), $10.27 (0.115%)
  193: Gostweb (Belarus), $10.27 (0.115%)
  194: CamillaaaH (Brazil), $10.27 (0.115%)
  195: Arjon66 (Greece), $10.27 (0.115%)
  196: Margosha369 (Moldova), $10.27 (0.115%)
  197: Stiggo248 (United Kingdom), $10.27 (0.115%)
  198: Trotskiy A. (Ukraine), $10.27 (0.115%)
  199: PokerAlex84 [2] (Germany), $10.27 (0.115%)
  200: PIPOQUEER (Brazil), $10.27 (0.115%)
  201: Mathecf (Brazil), $10.27 (0.115%)
  202: GustavoWSOP [2] (Brazil), $10.27 (0.115%)
  203: p1nkflower (Sweden), $10.27 (0.115%)
  204: HappyOKA [2] (Belarus), $10.27 (0.115%)
  205: mezei350 (Romania), $10.27 (0.115%)
  206: Roquim [2] (Brazil), $10.27 (0.115%)
  207: FlaMartini (Brazil), $10.27 (0.115%)
  208: davros56 (United Kingdom), $10.27 (0.115%)
  209: chezallin [2] (United Kingdom), $10.27 (0.115%)
  210: pager_me (Bulgaria), $10.27 (0.115%)
  211: Pebrobass (Brazil), $10.27 (0.115%)
  212: ISnakeU1337 [2] (Germany), $10.27 (0.115%)
  213: zabit zöze (Denmark), $10.27 (0.115%)
  214: FadeToGrey91 (United Kingdom), $10.27 (0.115%)
  215: Mandrake JJ (Brazil), $10.27 (0.115%)
  216: gubyemoonman (United Kingdom), $10.27 (0.115%)
  217: routschi91 [3] (Switzerland), $10.27 (0.115%)
  218: Danilo611 [2] (Uruguay), $10.27 (0.115%)
  219: Gil27Ds (Switzerland), $10.27 (0.115%)
  220: Iambigtuna (Canada), $10.27 (0.115%)
  221: PansaRN (Brazil), $10.27 (0.115%)
  222: jhosenstyler [2] (Germany), $10.27 (0.115%)
  223: 53gary53 [3] (United Kingdom), $10.27 (0.115%)
  224: carsten2407 [2] (Germany), $10.27 (0.115%)
  225: sooni99 (South Korea), $10.27 (0.115%)
  226: storielli [3] (Brazil), $10.27 (0.115%)
  227: caiocastilho [2] (Brazil), $10.27 (0.115%)
  228: VanilosPoker (Belarus), $10.27 (0.115%)
  229: PapaDonkey92 (Greece), $10.27 (0.115%)
  230: DelValle (Sweden), $10.27 (0.115%)
  231: Seakok382 (Denmark), $10.27 (0.115%)
  232: RobertYeghikyan [2] (Armenia), $10.27 (0.115%)
  233: IRPetkov (Bulgaria), $10.27 (0.115%)
  234: gleb4ik13 (Ukraine), $10.27 (0.115%)
  235: topete0712 [2] (Brazil), $10.27 (0.115%)
  236: Honey Dick [2] (Brazil), $10.27 (0.115%)
  237: jackhammy (United Kingdom), $10.27 (0.115%)
  238: vnicareta92 [2] (Brazil), $10.27 (0.115%)
  239: Kompanowsky (Belarus), $10.27 (0.115%)
  240: baZapelo [2] (Slovenia), $10.27 (0.115%)
  241: charlesbrasil (Brazil), $10.27 (0.115%)
  242: mateusneydia (Brazil), $10.27 (0.115%)
  243: Jud Kru [2] (Argentina), $10.27 (0.115%)
  244: BtDuncan (Belgium), $10.27 (0.115%)
  245: Kihlström (Sweden), $10.27 (0.115%)
  246: xenakos19524 (Greece), $10.27 (0.115%)
  247: marijan233 (Slovakia), $10.27 (0.115%)
  248: Estancho (Denmark), $8.68 (0.097%)
  249: 3andkom_Ljoker (Morocco), $8.68 (0.097%)
