PokerStars Tournament #3914634449, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
309 players
Total Prize Pool: $3910.00 USD 
Tournament started 2025/08/09 16:40:00 BRT [2025/08/09 15:40:00 ET]

  1: $$$CAMEL.T86 (Ukraine), still playing
  2: $ammyBoy (United Kingdom), still playing
  3: 00gap00 (Brazil), still playing
  4: 0xFFFFFFFFF (Germany), still playing
  5: 33jake33 (Ireland), still playing
  6: 76198 (Slovakia), still playing
  7: Akwabear (New Zealand), still playing
  8: Alaverda (El Salvador), still playing
  9: Alex Murakam (Brazil), still playing
  10: Arca12564 (United Kingdom), still playing
  11: Argentum736 (Ukraine), still playing
  12: ArtiniShivilsky (Brazil), still playing
  13: BIG AL JO (United Kingdom), still playing
  14: BLNDIK [2] (Belarus), still playing
  15: BOCA950 [2] (Brazil), still playing
  16: BOLIS_CTBA (Brazil), still playing
  17: Baron77787 (Germany), still playing
  18: Byrnis0n (Kazakhstan), still playing
  19: CONCURSEIRONATO (Brazil), still playing
  20: Cags1965 (United Kingdom), still playing
  21: Captainmb87 (Germany), still playing
  22: Chriss424 (Germany), still playing
  23: DAGUEME (Brazil), still playing
  24: DTTD888 (Chile), still playing
  25: Da5ch (Canada), still playing
  26: DamnRiver_GR (Greece), still playing
  27: DenGamleDame (Denmark), still playing
  28: Dr.Durrrq (Latvia), still playing
  29: Dzibiy (Ukraine), still playing
  30: Eaglov (Morocco), still playing
  31: EugeneShev [2] (Ukraine), still playing
  32: FCDD_chekist (Ukraine), still playing
  33: FL_RAP [3] (Ukraine), still playing
  34: Fefu77 (Argentina), still playing
  35: Fjompen82 (Sweden), still playing
  36: GAGAPOKER245 (Sweden), still playing
  37: Genio-CSZ (Brazil), still playing
  38: Gopack62 (Ireland), still playing
  39: Gründahl (Denmark), still playing
  40: Gutt3rQu33n (United Kingdom), still playing
  41: HANtheMann (Denmark), still playing
  42: HiXx_n89 (Germany), still playing
  43: Hlorin (Slovenia), still playing
  44: HommeSport777 (Ukraine), still playing
  45: IMysko (Ukraine), still playing
  46: Isildur7777 (Ireland), still playing
  47: JellySnot (United Kingdom), still playing
  48: Jividela (Argentina), still playing
  49: JoaoLucas (Brazil), still playing
  50: Killjedan (Ukraine), still playing
  51: Knoxtod (Latvia), still playing
  52: Ldef27 (Belarus), still playing
  53: Leandrex_SdS (Brazil), still playing
  54: Lobachev92 (Argentina), still playing
  55: Luckybaks7 (Ukraine), still playing
  56: M Vannucchi [2] (Brazil), still playing
  57: MBen10 (United Kingdom), still playing
  58: MOLLOT (Ukraine), still playing
  59: MRSSP2701 (Denmark), still playing
  60: MalteSvK1 (Germany), still playing
  61: MarkyMarcD (United Kingdom), still playing
  62: Martboyo (Sweden), still playing
  63: Miranda1410 (Brazil), still playing
  64: Morroi (Brazil), still playing
  65: Mr Mad River (Finland), still playing
  66: NKJH (Finland), still playing
  67: Naplll (Ukraine), still playing
  68: Neocortex_UA (Ukraine), still playing
  69: Nordstrom5 (Sweden), still playing
  70: Nu3ra (Kazakhstan), still playing
  71: PSG123 (Denmark), still playing
  72: Prosexionist (Ukraine), still playing
  73: RAMOS149 (Brazil), still playing
  74: REQUINTE (Brazil), still playing
  75: RFerLico_010 (Chile), still playing
  76: RRoleto (Brazil), still playing
  77: RandLee (Denmark), still playing
  78: RandyZerg (Ukraine), still playing
  79: RideTheNight (Finland), still playing
  80: RodriguesDu (Brazil), still playing
  81: Runov (Mexico), still playing
  82: SBMPoker (Brazil), still playing
  83: SamyDx [2] (Switzerland), still playing
  84: SanayCASINO (Ukraine), still playing
  85: Second sheet (Japan), still playing
  86: ShalnoyTapok (Kazakhstan), still playing
  87: Shayg12 (United Kingdom), still playing
  88: SobeeDF (United Kingdom), still playing
  89: TOnyKomp (Belarus), still playing
  90: Teippio [2] (Finland), still playing
  91: Texnolog204 (Ukraine), still playing
  92: Thefloflosol [2] (Luxembourg), still playing
  93: Timex_55 (Brazil), still playing
  94: Timobub (Germany), still playing
  95: Trotskiy A. (Ukraine), still playing
  96: Universe268 (Germany), still playing
  97: Venom PL13 [2] (Moldova), still playing
  98: WASP-104b (Kazakhstan), still playing
  99: WinstonPlaying (Switzerland), still playing
  100: Z Dmitry S (Belarus), still playing
  101: Zlodey228 (Panama), still playing
  102: Zynk254 (Brazil), still playing
  103: abcdefggg [2] (United Kingdom), still playing
  104: alexrossUKGF (Malta), still playing
  105: andrey_bzz (Kazakhstan), still playing
  106: arharovec (Belarus), still playing
  107: baratruemov [2] (Kazakhstan), still playing
  108: bastis111 [2] (Sweden), still playing
  109: bethrea (Belgium), still playing
  110: bhallaldeva (United Kingdom), still playing
  111: bing1234567 (United Kingdom), still playing
  112: brian 27979 (United Kingdom), still playing
  113: chinaforever (Switzerland), still playing
  114: claudinei25 (Brazil), still playing
  115: claytonfpaz (Brazil), still playing
  116: coldboy23 (Bulgaria), still playing
  117: dame_XXxDAME (Slovenia), still playing
  118: dedssantoss (Brazil), still playing
  119: dilges 87 [2] (Germany), still playing
  120: dremdanya12 (Ukraine), still playing
  121: emi_nico09 (Argentina), still playing
  122: ernopoker85 (Slovakia), still playing
  123: fitnesssiggi (Germany), still playing
  124: gusmao11 (Brazil), still playing
  125: igorious2009 (Latvia), still playing
  126: jeancitocortito (Chile), still playing
  127: jih1104 (United Kingdom), still playing
  128: jurezz (Germany), still playing
  129: kirikendd (Belarus), still playing
  130: kiryushkin888 (Uzbekistan), still playing
  131: klissanchez (Ukraine), still playing
  132: kose16 (Germany), still playing
  133: kostya2102 (Ukraine), still playing
  134: ledigaonegao (Brazil), still playing
  135: liud001 (United Kingdom), still playing
  136: madrezebra [2] (Brazil), still playing
  137: marceloallan [3] (Brazil), still playing
  138: marquitopoker4 (Argentina), still playing
  139: michel_ah89 (Brazil), still playing
  140: mickyh95 (Argentina), still playing
  141: mikej7aa (Greece), still playing
  142: mura080685 (Ecuador), still playing
  143: nado zanosit (Armenia), still playing
  144: navid1068 (United Kingdom), still playing
  145: nikol2017 (Armenia), still playing
  146: nygarcia2208 (Ecuador), still playing
  147: otorvald777 (Ukraine), still playing
  148: ovatsugkk (Brazil), still playing
  149: pa6kaoooo (Latvia), still playing
  150: pallas5192 [2] (Uruguay), still playing
  151: pan_kotan (Belarus), still playing
  152: papaloui1 (Finland), still playing
  153: pobbles (United Kingdom), still playing
  154: pol555mag (Ukraine), still playing
  155: poroto1407 (Argentina), still playing
  156: profligate89 (United Kingdom), still playing
  157: prow1therxd (Belarus), still playing
  158: psydolabella (Brazil), still playing
  159: ralfrolf (Sweden), still playing
  160: rdo_fabris (Brazil), still playing
  161: rhuansanches (Brazil), still playing
  162: ryggplask (Sweden), still playing
  163: s.k brain (Greece), still playing
  164: saulock (Mexico), still playing
  165: sezonnoe (Kazakhstan), still playing
  166: sidlovskiy89 (Ukraine), still playing
  167: sincca (Switzerland), still playing
  168: ssslavosss (Ukraine), still playing
  169: starsky278 (United Kingdom), still playing
  170: steynits (Ukraine), still playing
  171: stman999 (Kazakhstan), still playing
  172: sylvoulabich (Belgium), still playing
  173: teteu_games (Brazil), still playing
  174: umkalol [2] (Kazakhstan), still playing
  175: valdecirolin (Brazil), still playing
  176: vinypuh1 (Belarus), still playing
  177: vitenbka (Ukraine), still playing
  178: vladon81 (Ukraine), still playing
  179: zeb_sthlm (Sweden), still playing
  180: ziiiz (Sweden), still playing
  181: zneelix12 (Belarus), still playing
  182: zorro 14021985 (Ukraine), still playing
  183: Inz90 [2] (Finland), 
  184: Gabrielfs13 [2] (Brazil), 
  185: Diego Visosa (Argentina), 
  186: PaulOwen63 (United Kingdom), 
  187: CrazySezya (Bulgaria), 
  188: Heinz114436 (Canada), 
