PokerStars Tournament #3914012651, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
1542 players
Total Prize Pool: $11102.40 USD 
Tournament started 2025/08/01 14:30:00 BRT [2025/08/01 13:30:00 ET]

  1: 00gap00 (Brazil), still playing
  2: 1eac (Belarus), still playing
  3: 4lovr (Germany), still playing
  4: AllanEM (Guatemala), still playing
  5: AlmightyA (Ukraine), still playing
  6: Amilcar1970 (United Kingdom), still playing
  7: Ancona2020 (Argentina), still playing
  8: AndnetoPoker (Brazil), still playing
  9: BFJ1987 (Switzerland), still playing
  10: Biodelic420 (Brazil), still playing
  11: Blackgrindfr (Thailand), still playing
  12: Centurion7/1 (Belarus), still playing
  13: DSM09 (Brazil), still playing
  14: Danilegend24 (United Kingdom), still playing
  15: DiMastodon (Brazil), still playing
  16: Domekanec (Ukraine), still playing
  17: Dr.Durrrq (Latvia), still playing
  18: Dreadplix (Belgium), still playing
  19: DrrrrSeidel (Germany), still playing
  20: ELinA1889 (Finland), still playing
  21: Eaglov (Morocco), still playing
  22: El Ganador64 (Austria), still playing
  23: Eliovan (Brazil), still playing
  24: Estimahaha (Brazil), still playing
  25: Fer_perez32 (Mexico), still playing
  26: Fernand Rypl (Brazil), still playing
  27: FmoraesP [2] (Brazil), still playing
  28: Footraiser (Switzerland), still playing
  29: GTavares013 (Brazil), still playing
  30: GeleiaTrsk (Brazil), still playing
  31: Gunterclem (United Kingdom), still playing
  32: Haemophile [2] (United Kingdom), still playing
  33: Harbingerr1 (Ukraine), still playing
  34: HotShotKira (United Kingdom), still playing
  35: I_RaisyDaizy_I (Malta), still playing
  36: InFavoreM (Ukraine), still playing
  37: InFlamee (Ukraine), still playing
  38: João Mateus (Brazil), still playing
  39: Juchem1006 (Brazil), still playing
  40: Jud Kru (Argentina), still playing
  41: Just rag it (Ireland), still playing
  42: KK-Miguel-AA (Brazil), still playing
  43: KOLUHANTON (Ukraine), still playing
  44: KV*MerzaveC* (Ukraine), still playing
  45: Knoxtod (Latvia), still playing
  46: LAST_PAMPERS (Estonia), still playing
  47: Lost More (Ukraine), still playing
  48: Luckypants8 [2] (Denmark), still playing
  49: MagnumKill69 (Belgium), still playing
  50: Marat Tash1 (Moldova), still playing
  51: MarianFerst (Argentina), still playing
  52: Max298298 (Belarus), still playing
