PokerStars Tournament #3911960035, No Limit Hold'em
  151: T0GN3T (Brazil), still playing
  152: TLNo.13 (Romania), still playing
  153: TMNicks (Belgium), still playing
  154: TavimWin (Brazil), still playing
  155: TeamNijeri (Switzerland), still playing
  156: ThalleSx (Brazil), still playing
  157: TheWhiteMark (Brazil), still playing
  158: Tiger-rudd (United Kingdom), still playing
  159: Tooniq26 (Switzerland), still playing
  160: TopTwix [2] (Belarus), still playing
  161: TottiStarK (Brazil), still playing
  162: TurnOnTuneIn (Brazil), still playing
  163: Typucm (Belarus), still playing
  164: Ulle0007 (Denmark), still playing
  165: Uwe52 (Germany), still playing
  166: Venom PL13 (Moldova), still playing
  167: Vesper22221 (Kazakhstan), still playing
  168: Vezpaz (Brazil), still playing
  169: Vidygal (Brazil), still playing
  170: ViniVera (Brazil), still playing
  171: Vlad9907 (Ukraine), still playing
  172: WINALEX39 (Lithuania), still playing
  173: WagnerSouza9 (Brazil), still playing
  174: Wainioo (Bulgaria), still playing
  175: WellBr20 (Brazil), still playing
  176: Xadios811 (Austria), still playing
  177: YourLastChoice (Brazil), still playing
  178: ZMLucker [2] (United Kingdom), still playing
  179: Znahar82 (Kazakhstan), still playing
  180: Zormegun (Bulgaria), still playing
  181: ZurichHB [2] (Switzerland), still playing
  182: akqt99 (Denmark), still playing
  183: aleexandreen (Brazil), still playing
  184: alemillo88 (Argentina), still playing
  185: aminmele (Greece), still playing
  186: artur145 (Brazil), still playing
  187: asiancutiee [3] (Thailand), still playing
  188: attitudeeeee (Hungary), still playing
  189: awfulz (Lithuania), still playing
  190: balisto225 (Belgium), still playing
  191: ballesterosigor (Brazil), still playing
  192: barrosotr (Brazil), still playing
  193: benbridge08 (Canada), still playing
  194: bertola12 (Brazil), still playing
  195: brian 27979 (United Kingdom), still playing
  196: cacopoker [2] (Brazil), still playing
  197: caiocastilho (Brazil), still playing
  198: caiosultanum (Brazil), still playing
  199: catrakAA (Brazil), still playing
  200: cnt11 (Romania), still playing
  201: cygnet100 (United Kingdom), still playing
  202: cytehep_wp (Kazakhstan), still playing
  203: damjanos (Slovenia), still playing
  204: dappio_d (Brazil), still playing
  205: dc_Dima (Moldova), still playing
  206: diegoppokerAA (Brazil), still playing
  207: dineloco22 (Brazil), still playing
  208: djdow [2] (United Kingdom), still playing
  209: dvdpk58 [2] (Brazil), still playing
  210: eaaeman (Brazil), still playing
  211: edudiaz17 (Argentina), still playing
  212: el_pak0 (Ukraine), still playing
  213: elmiau1 (Argentina), still playing
  214: flukeybob1 (Ireland), still playing
  215: flush kappa (Hungary), still playing
  216: gagauzoguz (Moldova), still playing
  217: gjimmi123 (Austria), still playing
  218: gr868 (United Kingdom), still playing
  219: greenknightbg [3] (Bulgaria), still playing
  220: guaxinim10 (Brazil), still playing
  221: guille_555 [2] (Argentina), still playing
  222: haideee [2] (Romania), still playing
  223: haskovooo (Bulgaria), still playing
  224: hattie009 [2] (United Kingdom), still playing
  225: hbk543 (United Kingdom), still playing
  226: hed777 (Brazil), still playing
  227: hilten1105 (Mongolia), still playing
  228: hollbeans (United Kingdom), still playing
  229: hotninebling (Brazil), still playing
  230: iaradc88 (Brazil), still playing
  231: indiok11 (Brazil), still playing
  232: jaaum00 (Brazil), still playing
  233: jhosenstyler (Germany), still playing
  234: joh.manetta (Brazil), still playing
  235: kelevra1583 (Romania), still playing
  236: keyhell (Brazil), still playing
  237: kijardi [2] (Argentina), still playing
  238: kinder_bueeno [2] (Romania), still playing
  239: kirklarsen85 (Denmark), still playing
  240: kutraDima (Belarus), still playing
  241: lbg2410 [2] (Panama), still playing
  242: leostars2002 (Brazil), still playing
  243: leotw101 (Brazil), still playing
  244: light shift (United Kingdom), still playing
  245: liketaehoon [2] (South Korea), still playing
  246: loscoflas (Argentina), still playing
  247: loueee123 (United Kingdom), still playing
  248: lsp pest (Brazil), still playing
  249: lucky_get23 (Ukraine), still playing
  250: mTk_LM (Brazil), still playing
  251: mairose18 (United Kingdom), still playing
  252: masteronie (Moldova), still playing
  253: mateusneydia (Brazil), still playing
  254: metsasika (Finland), still playing
  255: mitch1234912 (United Kingdom), still playing
  256: mno1988 (Brazil), still playing
  257: moonmeander1312 (Ukraine), still playing
  258: nAzA_cabj12 [2] (Argentina), still playing
  259: nevir69 (Finland), still playing
  260: nicocanalla8 [3] (Argentina), still playing
  261: oilucas2007 (Brazil), still playing
  262: olhodejack [2] (Brazil), still playing
  263: oliverdan1 [2] (Romania), still playing
  264: pacman2201 (Belgium), still playing
  265: pancser008 [3] (Hungary), still playing
  266: partypundarn (Sweden), still playing
  267: pauloj247 (Brazil), still playing
  268: pipe_akd (Argentina), still playing
  269: pokeralexus (Ukraine), still playing
  270: rafayamaki (Brazil), still playing
  271: renanzeraxd (Brazil), still playing
  272: ricardons8 (Brazil), still playing
  273: robert-debel [2] (Denmark), still playing
  274: rodrigobmz (Brazil), still playing
  275: rodsferraz (Brazil), still playing
  276: rosconi41 (United Kingdom), still playing
  277: runlikeg8d [3] (Switzerland), still playing
  278: runtothehills (Estonia), still playing
  279: sansaorafael (Brazil), still playing
  280: saracuro (Romania), still playing
  281: serb94 [2] (Belarus), still playing
  282: skywalker.gl (Brazil), still playing
  283: slamgr (Greece), still playing
  284: smutovs (Latvia), still playing
  285: speyeke [2] (United Kingdom), still playing
  286: supernovaLaw (United Kingdom), still playing
  287: sylvoulabich (Belgium), still playing
  288: tabi_stars [2] (Chile), still playing
  289: tamaguchi333 (Brazil), still playing
  290: tony3090 (Brazil), still playing
  291: traian23 [2] (Romania), still playing
  292: traumfanger1 (Switzerland), still playing
  293: triceratops333 [2] (Ireland), still playing
  294: tsoj92 (Slovenia), still playing
  295: tuliodutra96 [2] (Brazil), still playing
  296: turn0Ver--> (Greece), still playing
  297: tzzex [2] (Brazil), still playing
  298: vasi_vsm (Romania), still playing
  299: vbtrevizani (Brazil), still playing
  300: vnb95 (Brazil), still playing
  301: vonegutshot (Ireland), still playing
  302: vteles12 (Brazil), still playing
  303: wcampelo [2] (Brazil), still playing
  304: wonsoonge03 [2] (South Korea), still playing
  305: xequelzf (Brazil), still playing
  306: xodera (Brazil), still playing
  307: zaycaz (Lithuania), still playing
  308: zneelix12 (Belarus), still playing
  309: zomata35 [2] (Finland), still playing
  310: Gabrielfs13 (Brazil), 
  311: tigaio (Brazil), 
  312: Daresnyack5 [2] (Slovakia), 
  313: hattie009 (United Kingdom), 
  314: GreatMann (Ukraine), 
  315: cucabeludinhooo (Brazil), 
  316: timakmbv (Kazakhstan), 
  317: Plenomonastor12 [2] (Switzerland), 
  318: LoyalOggs [3] (Sweden), 
  319: A1waysW1n (Ukraine), 
  320: mlo.netto [2] (Brazil), 
  321: myenergie (Canada), 
  322: Grasquet (Costa Rica), 
  323: Mago Merlei (Brazil), 
  324: mauricioffc (Brazil), 
  325: Flmatta88 (Brazil), 
  326: trotmant (United Kingdom), 
  327: DimassPivass (Ukraine), 
  328: powntalle (Germany), 
  329: KiZaru800 (Germany), 
  330: maksimilyan8 (Ukraine), 
  331: freitasgabriel (Brazil), 
  332: justking202 (Austria), 
  333: 69_sinwithme (Ukraine), 
  334: xilad0 (Brazil), 
  335: JPMalicia [2] (Brazil), 
  336: WinnerRly (Kazakhstan), 
  337: nandoveiga (Brazil), 
  338: CristianBiro (Brazil), 
  339: ZMLucker (United Kingdom), 
  340: 00gap00 (Brazil), 
  341: willianortiz [2] (Brazil), 
  342: Joabe ;D (Brazil), 
  343: davishark (Canada), 
  344: edupertence (Brazil), 
  345: triceratops333 (Ireland), 
  346: Dimboss7777 (Belarus), 
  347: Phanteidos1 (Thailand), 
  348: asiancutiee [2] (Thailand), 
  349: lihtarBY (Belarus), 
  350: darianwagner [3] (Germany), 
  351: znuk041 (Switzerland), 
  352: knossos90 (Estonia), 
  353: Neverwin80-20 (Switzerland), 
  354: I am MoonPie [2] (Canada), 
  355: wonsoonge03 (South Korea), 
  356: JohanRapp (Sweden), 
  357: Dekinhu (Brazil), 
  358: Agarraesta [2] (Argentina), 
  359: dota2vspoker (Belarus), 
  360: panagiotis96 (Greece), 
