PokerStars Tournament #3907052749, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
2608 players
Total Prize Pool: $30000.00 USD 
Tournament started 2025/07/20 11:30:00 BRT [2025/07/20 10:30:00 ET]

  1: ! DOIIIING ! (Germany), still playing
  2: #27JETS [3] (Canada), still playing
  3: *Rexlionex* (Chile), still playing
  4: -gmt-Sky (Ukraine), still playing
  5: 00AceToFace (Slovakia), still playing
  6: 0IQCa11er (Mexico), still playing
  7: 0NadIr0 (Denmark), still playing
  8: 0nelast (Ukraine), still playing
  9: 0wnr00 (Romania), still playing
  10: 10jqkaflus (Brazil), still playing
  11: 13Fabius [2] (Indonesia), still playing
  12: 14caio (Brazil), still playing
  13: 14kafu14 (Hungary), still playing
  14: 170nic (United Kingdom), still playing
  15: 17neffetS_BR (Brazil), still playing
  16: 1Johansson [2] (Sweden), still playing
  17: 1MERCIER1 (Ukraine), still playing
  18: 1_option_1 (Luxembourg), still playing
  19: 2010flush08 (United Kingdom), still playing
  20: 235795r (Brazil), still playing
  21: 23Rares (Romania), still playing
  22: 2High4µ (Germany), still playing
  23: 3ener (Belarus), still playing
  24: 47ps (Switzerland), still playing
  25: 4akuFT (Ukraine), still playing
  26: 5135 (Sweden), still playing
  27: 5tunt3r (Vietnam), still playing
  28: 5wob [3] (United Kingdom), still playing
  29: 6.0SS (Canada), still playing
  30: 72offfz (Brazil), still playing
  31: 77TheMayor77 (Brazil), still playing
  32: 77portuga (Brazil), still playing
  33: 847449 [2] (Lithuania), still playing
  34: 86ofdiamonds (Romania), still playing
  35: 88Anakonda88 (Switzerland), still playing
  36: 99dm84 (Bosnia and Herzegovina), still playing
  37: 9CashMoney0 (Germany), still playing
  38: A.Cruz8 (Ireland), still playing
  39: A.Martinns (Brazil), still playing
  40: A777BX (Kazakhstan), still playing
  41: AA-KEVIN1 (Austria), still playing
  42: AABrunoAA [2] (Canada), still playing
  43: AAdonkeY066 (Brazil), still playing
  44: ABDOUL575 (Malta), still playing
  45: ABILMANSUR (Kazakhstan), still playing
  46: AFLUCHI (Brazil), still playing
  47: AJIeKc19 (Uzbekistan), still playing
  48: AKAA117 (Brazil), still playing
  49: AKflipz (United Kingdom), still playing
  50: AQsuit (Switzerland), still playing
  51: ARCHIBALD.IT [2] (Switzerland), still playing
  52: ARTRAISER (Brazil), still playing
  53: AStarS22 (Denmark), still playing
  54: AadrovanRj21 [2] (Brazil), still playing
  55: AamiUa (Ukraine), still playing
  56: Acrt456 (Brazil), still playing
  57: Addicted&Old (United Kingdom), still playing
  58: Addixy [3] (Germany), still playing
  59: Adolfoda (Brazil), still playing
  60: Adso139 (Argentina), still playing
  61: AeronT510 (Germany), still playing
  62: AfranioMM (Brazil), still playing
  63: Agarraesta [2] (Argentina), still playing
  64: AggroSloth90 [2] (Belarus), still playing
  65: AidXtr (Ukraine), still playing
  66: Alaverda (El Salvador), still playing
  67: Alcebiade12 [2] (Brazil), still playing
  68: AlexPerez77 (Brazil), still playing
  69: AlexSanchezaz (Ukraine), still playing
  70: Alexandr4555 [2] (United Kingdom), still playing
  71: Alexbgp (Brazil), still playing
  72: Alexmaster5 (Mexico), still playing
  73: Algorab (Germany), still playing
  74: Alika DJ (Argentina), still playing
  75: AllanEM (Guatemala), still playing
  76: AlmightyA (Ukraine), still playing
  77: AmazingPlay9 (Brazil), still playing
  78: Amiralsanji (Sweden), still playing
  79: Anamaria214 [2] (Ireland), still playing
  80: Ananchik01 (Kazakhstan), still playing
  81: AnteroBH (Brazil), still playing
  82: Anton280395 (Kyrgyzstan), still playing
  83: AonlyA (Austria), still playing
  84: Arcanjo9917 (Brazil), still playing
  85: Armoureddh7 (Ukraine), still playing
  86: Arnisss (United Kingdom), still playing
  87: Arrivider4i (Ukraine), still playing
  88: Artartr (Armenia), still playing
  89: ArtiniShivilsky (Brazil), still playing
  90: AshModai90 [2] (Estonia), still playing
  91: Assad91 [2] (Argentina), still playing
  92: Astrochino (Brazil), still playing
  93: Attil0r [2] (Germany), still playing
  94: BARCA77 (Estonia), still playing
  95: BHOpunga (Romania), still playing
  96: BKUN2000 (Brazil), still playing
  97: BNacho_11 (Argentina), still playing
  98: BOLIS_CTBA (Brazil), still playing
  99: BQQZ90820 [2] (United Kingdom), still playing
  100: Baggies71 [2] (United Kingdom), still playing
  101: Banhetaa (Brazil), still playing
  102: BarrieButsers87 [2] (Switzerland), still playing
  103: BasiliskBasel (Switzerland), still playing
  104: Beachbum229 (Germany), still playing
  105: Beansfum (United Kingdom), still playing
  106: Beatrice_TH (Bulgaria), still playing
  107: BeeCool777 [2] (Belgium), still playing
  108: BekkerOleg [3] (Kazakhstan), still playing
  109: Bellinge Stud (Denmark), still playing
  110: Benitoj19 (Argentina), still playing
  111: Bent1964 (Germany), still playing
  112: Berg75 (Denmark), still playing
  113: Berkowitz33 (Brazil), still playing
  114: Betoriver [2] (Argentina), still playing
  115: BigBadaBoom8 (Ukraine), still playing
  116: Biguethi339 (Brazil), still playing
  117: Billy Dean34 (Ukraine), still playing
  118: Bilupik [2] (Ukraine), still playing
  119: BinkMagnet14 (Canada), still playing
  120: Binkie007 [2] (Canada), still playing
  121: BjörnD (Sweden), still playing
  122: BluestSoup (United Kingdom), still playing
  123: Bombe6 (Germany), still playing
  124: BonuM2222 (Turkmenistan), still playing
  125: BossNow.S [2] (Belarus), still playing
  126: Bouduflu23 (Switzerland), still playing
  127: Bozo Bozal (Brazil), still playing
  128: Br@mmer (Denmark), still playing
  129: Brcislav (Slovakia), still playing
  130: Breckmann95 [2] (Faroe Islands), still playing
  131: Bronkoletti (Germany), still playing
  132: Bronya84 (Belarus), still playing
  133: Bruno.Godoy2 (Brazil), still playing
  134: BrunoStrek (Brazil), still playing
  135: BrunsonsKid (Austria), still playing
  136: BuddyAces2 [2] (Germany), still playing
  137: Bught (Ukraine), still playing
  138: Bullrani (United Kingdom), still playing
  139: Bump&Flex (United Kingdom), still playing
  140: Bunkerbeton (Switzerland), still playing
  141: ButterMeBaby [2] (Austria), still playing
  142: ButtonClicker22 [2] (Canada), still playing
  143: Byrnis0n (Kazakhstan), still playing
  144: C05MIN2 (United Kingdom), still playing
  145: C0sm0 M!nd [2] (Brazil), still playing
  146: CMRolfes1990 (Germany), still playing
  147: CONK8 [2] (United Kingdom), still playing
  148: CadeMito (Brazil), still playing
  149: Can'tStopMee (Romania), still playing
  150: Canada0404 (Canada), still playing
  151: Cardanus (Ukraine), still playing
  152: Caristhon.fé (Brazil), still playing
  153: Carlo 199822 (Mexico), still playing
  154: Carmanhani (Brazil), still playing
  155: CartaBrancAA (Brazil), still playing
  156: Catalinu6 (Romania), still playing
  157: Ceereyx (Germany), still playing
  158: Chalo94 (Mexico), still playing
  159: Chapiano13 (Germany), still playing
  160: Chapperman (United Kingdom), still playing
  161: ChaseTyler14 (Canada), still playing
  162: Chengueee (Uruguay), still playing
  163: CheongPoker [2] (Austria), still playing
  164: Cherikk504 (Ukraine), still playing
  165: ChicKenDina21 (United Kingdom), still playing
  166: ChipsFool (United Kingdom), still playing
  167: ChiterMX (Belarus), still playing
  168: Chris Doggy [3] (United Kingdom), still playing
  169: ChrisCupralua (Brazil), still playing
  170: ChrisP2711 (United Kingdom), still playing
  171: ChristianBR4 [2] (Brazil), still playing
  172: Chroonic (Brazil), still playing
  173: ChubaLero [2] (Argentina), still playing
  174: ChunchoJR (Chile), still playing
  175: Cinguzis (Latvia), still playing
  176: CiroFenwick (Belgium), still playing
  177: Ciunel23 (United Kingdom), still playing
  178: Clandestin07 [2] (Brazil), still playing
  179: Clinio84 (Brazil), still playing
  180: Co$mo$88 (Moldova), still playing
  181: Co1dAs (United Kingdom), still playing
  182: CocaPatron (Germany), still playing
  183: Com. Tomson (Germany), still playing
  184: Conny 1991 (Switzerland), still playing
  185: Crazykoof777 (Germany), still playing
  186: Croatia ceed (Bosnia and Herzegovina), still playing
  187: CrushWhales (Brazil), still playing
  188: CurryKing4 (United Kingdom), still playing
  189: Cwien (Estonia), still playing
  190: C€VAPCICI (Switzerland), still playing
  191: D0NB0SS (Germany), still playing
  192: D1360Pereira (Brazil), still playing
  193: D1sable (Lithuania), still playing
  194: DANKSY92 [3] (United Kingdom), still playing
  195: DFD1909 (Brazil), still playing
  196: DIOGDEB (Luxembourg), still playing
  197: DStoyanov94 [2] (Bulgaria), still playing
  198: DVSC22 (Hungary), still playing
  199: Da777One [3] (United Kingdom), still playing
  200: Dablinski (United Kingdom), still playing
  201: Dalimar909 [2] (Denmark), still playing
  202: DamoWain (United Kingdom), still playing
  203: DangrusDM (Belarus), still playing
  204: DaniGubert (Brazil), still playing
  205: Daniel Panka (Finland), still playing
  206: Daniel1500 (United Kingdom), still playing
  207: DarkJaguar (Germany), still playing
  208: DarkSkies21 (Brazil), still playing
  209: Dark_Demon10 (United Kingdom), still playing
  210: Darkflo11 (Switzerland), still playing
  211: Darn L (United Kingdom), still playing
  212: Darya_Kurt (Brazil), still playing
  213: Davferca (Costa Rica), still playing
  214: DelijaVL [2] (Slovenia), still playing
  215: Dfonzz (Belgium), still playing
  216: Dieferson09 (Brazil), still playing
  217: Diego_TUI (Brazil), still playing
  218: DimSiark_13 (Greece), still playing
  219: Dinovo85 (Argentina), still playing
  220: Dio131988 (United Kingdom), still playing
  221: DionataPZZ (Brazil), still playing
  222: Diplodoluce (Canada), still playing
  223: DonPacoG (Switzerland), still playing
  224: DonPeychev [3] (Bulgaria), still playing
  225: DorflexBr (Brazil), still playing
  226: Douglas00100 (Brazil), still playing
  227: Dowgh-Santos [2] (Brazil), still playing
  228: Dr. Wet Fart [2] (United Kingdom), still playing
  229: Dr.Durrrq (Latvia), still playing
  230: DrHyperPS (Denmark), still playing
  231: Drdri21 (Greece), still playing
  232: DuckJuice778 [2] (Kazakhstan), still playing
  233: DuduLôbo2012 (Brazil), still playing
  234: DustinK197 (Austria), still playing
  235: DyIxi0n [3] (Romania), still playing
  236: Dzibiy (Ukraine), still playing
  237: EJannotti (Brazil), still playing
  238: EL GRAN TORO (Argentina), still playing
  239: ELVISdonk (United Kingdom), still playing
  240: EV0ll0VE [2] (Argentina), still playing
  241: Egroe (Romania), still playing
  242: Eliseu00 (Brazil), still playing
  243: Ell12370 (United Kingdom), still playing
  244: Emseglade (Denmark), still playing
  245: Engastamento (Brazil), still playing
  246: Enifut10 (Brazil), still playing
  247: Enzito Viana (Brazil), still playing
  248: Erebgil_bg [2] (Bulgaria), still playing
  249: EricBolis (Brazil), still playing
  250: Erou (Finland), still playing
  251: EternoZé (Brazil), still playing
  252: EugeneShev [2] (Ukraine), still playing
  253: ExcepTions [2] (United Kingdom), still playing
  254: Excluziv_ee (Belarus), still playing
  255: EzBirdie (Denmark), still playing
  256: F.Fortes59 (Brazil), still playing
  257: F.Peters10 (Brazil), still playing
  258: FILET2PECHE [3] (Morocco), still playing
  259: FISCAAL (Brazil), still playing
  260: FLON_TBF (Canada), still playing
  261: FStoerBitt (Brazil), still playing
  262: FaraChef (Romania), still playing
  263: FasteR3333 (Ukraine), still playing
  264: Favorner (Ukraine), still playing
  265: Feerapoker (Brazil), still playing
  266: Fefo Ig (Argentina), still playing
  267: Felipe DB (Brazil), still playing
  268: Felipe688 (Brazil), still playing
