PokerStars Tournament #3911960310, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
686 players
Total Prize Pool: $6722.80 USD 
Tournament started 2025/07/24 14:00:00 BRT [2025/07/24 13:00:00 ET]

  1: 00gap00 (Brazil), still playing
  2: 0liveiraJ (Brazil), still playing
  3: 4ndrain1 (Estonia), still playing
  4: 69_sinwithme (Ukraine), still playing
  5: AAdonkeY066 (Brazil), still playing
  6: AKarl42 (Belgium), still playing
  7: ALLANBICKJPL (Brazil), still playing
  8: Afioni643 (Greece), still playing
  9: Alex Murakam (Brazil), still playing
  10: AntanasV2 (Lithuania), still playing
  11: Apeter10 (Sweden), still playing
  12: Arnisss (United Kingdom), still playing
  13: Avmatos88 (Brazil), still playing
  14: BIGDES104 (United Kingdom), still playing
  15: BKUN2000 (Brazil), still playing
  16: BahijFC (Sweden), still playing
  17: BeaverTurbo (Sweden), still playing
  18: Bebecca514 (Canada), still playing
  19: Ben Scott913 (United Kingdom), still playing
  20: Bennett1035 (United Kingdom), still playing
  21: Bertuqui420 (Brazil), still playing
  22: Bezirish (Ireland), still playing
  23: Bibonow (Canada), still playing
  24: Bogyesz4 (Hungary), still playing
  25: Bozo Bozal (Brazil), still playing
  26: Bruno "FrZy" (Brazil), still playing
  27: Bulba2 (Ukraine), still playing
  28: Bump&Flex (United Kingdom), still playing
  29: Bust_Ur_Nu1s [2] (Sweden), still playing
  30: ButtonClicker22 (Canada), still playing
  31: C0sm0 M!nd (Brazil), still playing
  32: C23pede [2] (Denmark), still playing
  33: CATTALYN (United Kingdom), still playing
  34: CaioXD28 (Brazil), still playing
  35: Chencinski (Brazil), still playing
  36: Chiesaraise (Brazil), still playing
  37: Clootsi (Belgium), still playing
  38: CryMeARiver369 (Brazil), still playing
  39: CurryKing4 (United Kingdom), still playing
  40: Cwien (Estonia), still playing
  41: DaanI1420 [3] (Argentina), still playing
  42: Danieelzin (Brazil), still playing
  43: DanteWinch (Brazil), still playing
  44: Der Besen (Denmark), still playing
  45: DeyvissonVS (Brazil), still playing
  46: DiasSM (Brazil), still playing
  47: DizzleG23 [2] (United Kingdom), still playing
  48: Dj Tony 69 (Argentina), still playing
  49: DuuShimizu (Brazil), still playing
  50: ElconeJQ (New Zealand), still playing
  51: Elrenato98 (Ecuador), still playing
  52: EsmagaGringo (Brazil), still playing
  53: Etn2298 [2] (United Kingdom), still playing
  54: F.domingospoker (Brazil), still playing
  55: FStoerBitt [2] (Brazil), still playing
  56: FTAlvarenga (Brazil), still playing
  57: FeelsBadBrooooo (United Kingdom), still playing
