PokerStars Tournament #3912518615, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
1612 players
Total Prize Pool: $16120.00 USD 
Tournament started 2025/07/28 14:30:00 BRT [2025/07/28 13:30:00 ET]

  1: $$$CAMEL.T86 (Ukraine), still playing
  2: $ampaioBruno (Brazil), still playing
  3: $tr@teg@$1 [2] (Ireland), still playing
  4: 00_Blackout (Brazil), still playing
  5: 3betZ1987 (Canada), still playing
  6: 53bah32 (United Kingdom), still playing
  7: 7jujuba7 (Brazil), still playing
  8: 7mbtom (Kazakhstan), still playing
  9: AAdonkeY066 [2] (Brazil), still playing
  10: AEA1978 [2] (Argentina), still playing
  11: ARTRAISER (Brazil), still playing
  12: ATC_R22R (Canada), still playing
  13: Acrobat909 (Lithuania), still playing
  14: AdelinBlidaru [2] (Switzerland), still playing
  15: AlexDimogiorgis (Malta), still playing
  16: AlexSanchezaz (Ukraine), still playing
  17: Alistair2121 [2] (United Kingdom), still playing
  18: AllOUT_SkyYea [2] (Canada), still playing
  19: Amstiabi [2] (Germany), still playing
  20: AndyW1602 (Germany), still playing
  21: AntonRedDevils (Sweden), still playing
  22: Anybody_11 [2] (Austria), still playing
  23: Apple27285 (Ukraine), still playing
  24: ArenaCapua (United Kingdom), still playing
  25: AruanTiengo (Brazil), still playing
  26: Ashcur4747 (Armenia), still playing
  27: BDTM [3] (United Kingdom), still playing
  28: BELLABRIG (United Kingdom), still playing
  29: Backfrom76 (United Kingdom), still playing
  30: BambamDoBet (Brazil), still playing
  31: Bantamania (United Kingdom), still playing
  32: Bernhard1971 (Germany), still playing
  33: Bobbsymalone91 (United Kingdom), still playing
  34: BobiBigspuds (United Kingdom), still playing
  35: Brunopoker94 (Brazil), still playing
  36: Buck_Dich001 (Bulgaria), still playing
  37: Bump&Flex (United Kingdom), still playing
  38: Butcherofblavi [2] (Sweden), still playing
  39: CHIPSCRAZYY (Brazil), still playing
  40: CanadianCaribou (Canada), still playing
  41: Caristhon.fé (Brazil), still playing
  42: Carmem Sandiego (Brazil), still playing
  43: Chanaldo9 (Ireland), still playing
  44: Chancew (Mexico), still playing
  45: ChaqueñoLoto [3] (Argentina), still playing
  46: Checkraise_Lux (Luxembourg), still playing
  47: Chiesaraise (Brazil), still playing
  48: Chuurk (Brazil), still playing
  49: Cigana#13 (Brazil), still playing
  50: CrazySezya (Bulgaria), still playing
  51: CrushWhales (Brazil), still playing
  52: CyrSau (Switzerland), still playing
  53: Cythian182 [2] (United Kingdom), still playing
  54: DEERV (Brazil), still playing
  55: DaanI1420 (Argentina), still playing
  56: DamoWain (United Kingdom), still playing
  57: DaniloPMPB [2] (Brazil), still playing
  58: DeddysHome (Brazil), still playing
  59: Deepstack.dk (Denmark), still playing
  60: Dieferson09 (Brazil), still playing
  61: DirJr90 (Brazil), still playing
  62: Dr.Durrrq (Latvia), still playing
  63: Dr.Mascia91 (United Kingdom), still playing
  64: Dubi74 (Argentina), still playing
  65: Dyadyarizo (Ukraine), still playing
  66: Eiji88 (Brazil), still playing
  67: El_Ferrit0 [2] (United Kingdom), still playing
  68: ElizaKeen (Brazil), still playing
  69: EricBolis [2] (Brazil), still playing
  70: ExtasyGanja (Sweden), still playing
  71: F.domingospoker (Brazil), still playing
  72: FEXX1 [2] (Brazil), still playing
  73: FUTBOLCHE (Argentina), still playing
  74: FeMeiler [3] (Brazil), still playing
  75: Felipe9646 (Argentina), still playing
  76: Fernandoapm [3] (Brazil), still playing
  77: Fernandooluizz (Brazil), still playing
  78: Flipperbr (Sweden), still playing
  79: Flmatta88 (Brazil), still playing
  80: Florzinha_44 (Brazil), still playing
  81: Foxy_Donkey (Denmark), still playing
  82: FraerVV (Ukraine), still playing
  83: GZingano (Brazil), still playing
  84: Gagomelo [2] (Brazil), still playing
  85: GamboGambler [3] (Canada), still playing
  86: Gedakas (Lithuania), still playing
  87: GeleiaTrsk (Brazil), still playing
  88: Gilberto.gyn (Brazil), still playing
  89: Giulianno Ma (Brazil), still playing
  90: Grasquet (Costa Rica), still playing
  91: Green12356 (United Kingdom), still playing
  92: Guga970001 (Luxembourg), still playing
  93: Guialves27 [2] (Brazil), still playing
  94: Guiga_Eller [2] (Brazil), still playing
  95: HU4FU (Sweden), still playing
  96: Haas (Denmark), still playing
  97: Harissawar [2] (Switzerland), still playing
  98: HeitorCEC (Brazil), still playing
  99: Hugalo13 [2] (Brazil), still playing
  100: Huitzi1opocht1i [3] (Germany), still playing
