PokerStars Tournament #3910305819, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
1040 players
Total Prize Pool: $17260.00 USD 
Tournament started 2025/07/21 11:30:00 BRT [2025/07/21 10:30:00 ET]

  1: $anturro (Argentina), still playing
  2: 00AceToFace (Slovakia), still playing
  3: 0liveiraJ (Brazil), still playing
  4: 0ver.thinking (Brazil), still playing
  5: 0wnr00 (Romania), still playing
  6: 1973martin (United Kingdom), still playing
  7: 1985Acura (South Korea), still playing
  8: 19bruno96 (Brazil), still playing
  9: 1MERCIER1 (Ukraine), still playing
  10: 1xoNe (Belarus), still playing
  11: 2001133 [3] (Lithuania), still playing
  12: 2la-SkyLine (Kazakhstan), still playing
  13: 3.14znak (Ukraine), still playing
  14: 30/13-138 (Ukraine), still playing
  15: 5girl837 (Canada), still playing
  16: 69LuckyLuke (Slovakia), still playing
  17: 77portuga [2] (Brazil), still playing
  18: 847449 (Lithuania), still playing
  19: 8484R (Belgium), still playing
  20: 9m41k (Belarus), still playing
  21: A.Cruz8 (Ireland), still playing
  22: AALAVANDOSKI (Brazil), still playing
  23: ABHOOD12 (Germany), still playing
  24: ALTUSDOMUS (Brazil), still playing
  25: ASautin123 (Belarus), still playing
  26: Accio Aces1 (Brazil), still playing
  27: Aces_RO (Romania), still playing
  28: AchillesPQ (Canada), still playing
  29: Acrobat909 (Lithuania), still playing
  30: Agahir (Switzerland), still playing
  31: Aither888 (Germany), still playing
  32: Akhtabut (Malta), still playing
  33: Alaverda (El Salvador), still playing
  34: AlekFB4 (Denmark), still playing
  35: AlexBlatt16 (Germany), still playing
  36: AlexSanchezaz (Ukraine), still playing
  37: AlexandrosGns (Greece), still playing
  38: AmirAshrafi2 (Austria), still playing
  39: Anamaria214 (Ireland), still playing
  40: Andrew Szabo (Romania), still playing
  41: Anton280395 (Kyrgyzstan), still playing
  42: Apoutsos (Greece), still playing
  43: AquiNãoNeném (Brazil), still playing
  44: Arnisss (United Kingdom), still playing
  45: Arthur Peruzzo [2] (Brazil), still playing
  46: Ashcur4747 (Armenia), still playing
  47: AudricNuts (Belgium), still playing
  48: BGAMN (United Kingdom), still playing
  49: BIGTIMUK (United Kingdom), still playing
  50: BarniHSV87 (Germany), still playing
  51: Batima666 (Brazil), still playing
  52: Beatrice_TH (Bulgaria), still playing
  53: Benfica10 (Canada), still playing
