PokerStars Tournament #3911960056, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
1851 players
Total Prize Pool: $8884.80 USD 
Tournament started 2025/07/25 12:30:00 BRT [2025/07/25 11:30:00 ET]

  1: "QEEN247" (Germany), still playing
  2: $tr@teg@$1 (Ireland), still playing
  3: *S*SEVA*S* (Belarus), still playing
  4: 1978sever [2] (Belarus), still playing
  5: 2ToneRebell (Bulgaria), still playing
  6: 30/13-138 (Ukraine), still playing
  7: 30516632 (Brazil), still playing
  8: 4TheRoyalFlush [2] (Romania), still playing
  9: 5girl837 [2] (Canada), still playing
  10: 7heavenx (United Kingdom), still playing
  11: 87 Jackson (Canada), still playing
  12: A.Martinns [2] (Brazil), still playing
  13: AAMimmokiAA (Germany), still playing
  14: APLepeck (Brazil), still playing
  15: ARTES-Artem (Ukraine), still playing
  16: AamiUa [2] (Ukraine), still playing
  17: Absurdus212 (Azerbaijan), still playing
  18: Aflpvc23 (Austria), still playing
  19: AllanEM (Guatemala), still playing
  20: Alvinegro22 (Brazil), still playing
  21: AmeliaK06 (Iceland), still playing
  22: Ananchik01 (Kazakhstan), still playing
  23: AndersonLimapb (Brazil), still playing
  24: Andrey_2177 (Ukraine), still playing
  25: AoYoA (Bulgaria), still playing
  26: Apiolu [2] (Argentina), still playing
  27: ArmanKarapet (Greece), still playing
  28: Arustokrat (Ukraine), still playing
  29: Atajan7388 (Turkmenistan), still playing
  30: BB02082011 (Bosnia and Herzegovina), still playing
  31: BUCK UTD (United Kingdom), still playing
  32: Bad_Swede [2] (Sweden), still playing
  33: Benitoj19 (Argentina), still playing
  34: Bloodeagle69 (Germany), still playing
  35: BossNow.S (Belarus), still playing
  36: Bowbrook (United Kingdom), still playing
  37: Breckmann95 [3] (Faroe Islands), still playing
  38: Brejk (Sweden), still playing
  39: Bronya84 [2] (Belarus), still playing
  40: C0mpetition [2] (Ukraine), still playing
  41: CIAPATE WON (United Kingdom), still playing
  42: CaioP (Brazil), still playing
  43: Caio_Bras_SP (Brazil), still playing
  44: Cashine94 (Germany), still playing
  45: Chufffa (Ukraine), still playing
  46: Churchelio (United Kingdom), still playing
  47: Cold_call96 (Ukraine), still playing
  48: Cristian_MCD (Romania), still playing
  49: DARXAN AAA (Uzbekistan), still playing
  50: DESIDER@TUM (Malta), still playing
  51: DIR02 (Romania), still playing
  52: D_Equalizer (Germany), still playing
  53: Da5ch (Canada), still playing
  54: Da777One (United Kingdom), still playing
  55: Daniel3v33 (Romania), still playing
  56: Daniipoynter [2] (United Kingdom), still playing
  57: DeddysHome [2] (Brazil), still playing
  58: DemonsRun91 [2] (United Kingdom), still playing
  59: Der Besen (Denmark), still playing
  60: Dexterdog64 (United Kingdom), still playing
  61: DiMastodon (Brazil), still playing
  62: Diesel Ramirez (Hungary), still playing
  63: DizzleG23 [2] (United Kingdom), still playing
  64: DuuShimizu (Brazil), still playing
  65: Dyxle$$ (Ukraine), still playing
  66: ESCARO.72 [2] (Switzerland), still playing
  67: EdgarasMi979 (Lithuania), still playing
  68: ElDaxor [2] (Switzerland), still playing
  69: ElconeJQ (New Zealand), still playing
  70: Emokarnickel (Germany), still playing
  71: Eva Ines 86 [2] (Romania), still playing
  72: Exc1usivePS (Kazakhstan), still playing
  73: FabregaStar [2] (United Kingdom), still playing
  74: Fael Dopoker (Brazil), still playing
  75: Falcaogol (Brazil), still playing
  76: Faldo47 (Denmark), still playing
  77: Fartovyj9 (Ukraine), still playing
  78: FattyFoulkes (United Kingdom), still playing
  79: FishFingers7887 (United Kingdom), still playing
  80: Flowkid1 [3] (Germany), still playing
  81: ForthewinPS (Brazil), still playing
  82: Fuuuuuuull (Brazil), still playing
  83: GJLuta (Belarus), still playing
  84: GTavares013 [2] (Brazil), still playing
  85: Gabee Gato (Brazil), still playing
  86: Gagomelo [2] (Brazil), still playing
  87: Gamblex21 [2] (Belgium), still playing
  88: Ganjabriel (Chile), still playing
  89: GeleiaTrsk (Brazil), still playing
  90: Gijona03 (Bulgaria), still playing
  91: GoldEmHolk [2] (Denmark), still playing
  92: Goodman594 (Bulgaria), still playing
  93: Gulmamedov [2] (Ukraine), still playing
  94: GunterTsr (Brazil), still playing
  95: Gustshot (Brazil), still playing
  96: Harbingerr1 (Ukraine), still playing
  97: Hawkeye1976 (United Kingdom), still playing
  98: HenryMorr378 [3] (United Kingdom), still playing
  99: Hereforfun56 (United Kingdom), still playing
  100: Hitalo-R7 (Brazil), still playing
  101: Honeybadger.K4 (Belarus), still playing
  102: IIIIIiJIEBOi (Ukraine), still playing
  103: I_che_tut_delat (Belarus), still playing
  104: ImAgain (Germany), still playing
  105: Iustinul (Romania), still playing
  106: Ivan999D (Canada), still playing
  107: Izinmsr (Brazil), still playing
  108: Izverg31 (Ukraine), still playing
  109: JJoZZeFF (Kazakhstan), still playing
  110: JaSaToCo [3] (United Kingdom), still playing
  111: JohnES1992 (Brazil), still playing
  112: Jordanval1256 (United Kingdom), still playing
  113: Joris2210 (Belgium), still playing
  114: KINGWONKA (Argentina), still playing
  115: KingSouto [2] (Brazil), still playing
  116: Kliby007 (Switzerland), still playing
  117: Kobojo [2] (Ukraine), still playing
  118: Koki4a9410 [2] (Bulgaria), still playing
  119: Konstant1N88 (Kazakhstan), still playing
  120: Kosmos1977 (Romania), still playing
  121: KpacuPetkov (Bulgaria), still playing
  122: Kreisaa_ola [2] (Latvia), still playing
  123: Kristina3994 (Switzerland), still playing
  124: Ku4ti (Argentina), still playing
  125: Lazorka (Belarus), still playing
  126: Lecors1978 (Brazil), still playing
  127: Leepoker468 (Brazil), still playing
  128: Lemmysan (Sweden), still playing
  129: Leoarara (Brazil), still playing
  130: Lesnicov (Moldova), still playing
  131: Likhoradka (Kazakhstan), still playing
  132: Lil`crazy`S (Kazakhstan), still playing
  133: Lisa_Swe (Sweden), still playing
  134: Lissy088 (Germany), still playing
  135: Lourenco5463 (Luxembourg), still playing
  136: Lynx5.0 [2] (United Kingdom), still playing
  137: MDMA920108 [2] (Sweden), still playing
  138: MIRAG3M [2] (Brazil), still playing
  139: MLKdosHITS (Brazil), still playing
  140: MMyFate (Belarus), still playing
  141: MNNNT_RJ (Brazil), still playing
  142: MUDAK 555 (Ukraine), still playing
  143: Mago Merlei (Brazil), still playing
  144: Malandron_22 [3] (Brazil), still playing
  145: MarkEney (Ukraine), still playing
  146: Marou13_1908 (Greece), still playing
  147: Matematu4ka (Argentina), still playing
  148: MattMT1 (Malta), still playing
  149: Maykot95 (Brazil), still playing
  150: McLovin1308 [2] (Austria), still playing
  151: McRAAK (Ukraine), still playing
  152: Mephetran (Bulgaria), still playing
  153: Michalis Basios (Greece), still playing
  154: MilesTeg1972 (United Kingdom), still playing
  155: Mixa1115 (Ukraine), still playing
  156: Molle1708 (Austria), still playing
  157: Mr Skier UA (Ukraine), still playing
  158: Mr.Chips 6666 [2] (United Kingdom), still playing
  159: MsZviR (Ukraine), still playing
  160: Msoco86 (Romania), still playing
  161: MuckngFastr (Canada), still playing
  162: NKruts [2] (Ukraine), still playing
  163: Naza662 (Brazil), still playing
  164: NebucadNeZZa420 (Germany), still playing
  165: Nezarevi (Belarus), still playing
  166: Novikov_PM [2] (Ukraine), still playing
  167: NoxoPoker (Brazil), still playing
  168: O.O.Basay (Ukraine), still playing
  169: OMARTINSLUCA (Brazil), still playing
  170: OR1917mimohh [2] (Bulgaria), still playing
  171: Obnylyator [3] (Ukraine), still playing
  172: Orr1co (Brazil), still playing
  173: Palelo16 [2] (Brazil), still playing
  174: Pappis96 (Brazil), still playing
  175: PascaSrg (Romania), still playing
  176: Pitonpoker999 (Ukraine), still playing
  177: PokBandiSly (Ukraine), still playing
  178: Pottu1391 (Finland), still playing
  179: Princess_C4 (United Kingdom), still playing
  180: PuercoRicoo (Switzerland), still playing
  181: Q0R1 (Germany), still playing
  182: READ-E81 (United Kingdom), still playing
  183: RS_Code187 (Germany), still playing
  184: RSak4 (Brazil), still playing
  185: Random WaIk (Malta), still playing
  186: RandyZerg [2] (Ukraine), still playing
  187: Rapa velhos [2] (Brazil), still playing
  188: Rdg Psicotag [2] (Brazil), still playing
  189: ReGyLyR (Kazakhstan), still playing
  190: Renan Herreira [2] (Brazil), still playing
  191: RenanLaPola [2] (Brazil), still playing
  192: Reyvel (Ukraine), still playing
  193: RobertYeghikyan [2] (Armenia), still playing
  194: RowLD1 (Belarus), still playing
  195: SBGM8 (Switzerland), still playing
  196: SD ANDRE [2] (Brazil), still playing
  197: SINI1993 [2] (Belarus), still playing
  198: SKiB009 (Ukraine), still playing
  199: SPARTAC***88 (Moldova), still playing
  200: Saandroalves (Brazil), still playing
  201: Saucisse07 (Switzerland), still playing
  202: Schtamcar [2] (Slovenia), still playing
  203: Scorpion-DUG (Brazil), still playing
