PokerStars Tournament #3910305825, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
1918 players
Total Prize Pool: $15000.00 USD 
Tournament started 2025/07/21 13:30:00 BRT [2025/07/21 12:30:00 ET]

  1: #c_jr15 (Brazil), still playing
  2: $ampaioBruno (Brazil), still playing
  3: $teve45 (Germany), still playing
  4: $ylt@n12 [2] (Ukraine), still playing
  5: *HeRzWinKy* (Austria), still playing
  6: 007jogabem (Brazil), still playing
  7: 00AceToFace (Slovakia), still playing
  8: 0321pro (Brazil), still playing
  9: 05del (United Kingdom), still playing
  10: 0BliegedDwan (Sweden), still playing
  11: 0IQCa11er (Mexico), still playing
  12: 0PTI-MEN [2] (Brazil), still playing
  13: 0liveiraJ (Brazil), still playing
  14: 10jqkaflus (Brazil), still playing
  15: 11oduplica (Argentina), still playing
  16: 1H8P0K3R (Austria), still playing
  17: 1MysticRanger1 (Hungary), still playing
  18: 1Seryoga85 (Ukraine), still playing
  19: 1SirGeoffrey (United Kingdom), still playing
  20: 1xoNe (Belarus), still playing
  21: 2001133 (Lithuania), still playing
  22: 2001xelA (Sweden), still playing
  23: 2cbxtc (United Kingdom), still playing
  24: 3.14znak (Ukraine), still playing
  25: 30/13-138 (Ukraine), still playing
  26: 30Rico (Germany), still playing
  27: 47ps (Switzerland), still playing
  28: 4THEGLORY4 (Romania), still playing
  29: 51239 (Belarus), still playing
  30: 5girl837 (Canada), still playing
  31: 5wob (United Kingdom), still playing
  32: 6363N6977 (Germany), still playing
  33: 7hisoka44 (South Korea), still playing
  34: 8484R (Belgium), still playing
  35: A.Galenchik [2] (Ukraine), still playing
  36: AA-KEVIN1 (Austria), still playing
  37: AALAVANDOSKI (Brazil), still playing
  38: AIG55 [3] (United Kingdom), still playing
  39: AKniiqo (Argentina), still playing
  40: ANachi20 (Argentina), still playing
  41: ARISTOTEL300 (Ukraine), still playing
  42: ATrapaToni67 (Switzerland), still playing
  43: Abarashow (Brazil), still playing
  44: Ackerman929 (Belarus), still playing
  45: Adambl58 (Ukraine), still playing
  46: AdiM35 (Slovenia), still playing
  47: Adil Mussin (Kazakhstan), still playing
  48: Adisaga (Switzerland), still playing
  49: AfriMi25 (Belgium), still playing
  50: AikaNala (Germany), still playing
  51: Aimankz01 (Kazakhstan), still playing
  52: Akramos1 (Morocco), still playing
  53: AlanCRVG-RJ (Brazil), still playing
  54: Alastr_Palach (Ukraine), still playing
  55: AlekseiNorel (Ukraine), still playing
  56: Alekseygrodno (Belarus), still playing
  57: AlessioBrun40 (Switzerland), still playing
  58: AlexBlatt16 (Germany), still playing
  59: AlexPerez77 [2] (Brazil), still playing
  60: AlexSanchezaz (Ukraine), still playing
  61: AlexandreAnd (Brazil), still playing
  62: AlexandrosGns [2] (Greece), still playing
  63: Alika DJ (Argentina), still playing
  64: AllanvigCRF (Brazil), still playing
  65: Alucard0845 (Brazil), still playing
  66: Amarelloco (Brazil), still playing
  67: Amiralsanji (Sweden), still playing
  68: Amnael134 (Bulgaria), still playing
  69: Anderson RT2 (Brazil), still playing
  70: AndersonLimapb (Brazil), still playing
  71: AndreiPost (Sweden), still playing
  72: Andy5200 (Switzerland), still playing
  73: Anet 21051 (Ukraine), still playing
  74: AngryAvenger (Belarus), still playing
  75: Anjay_Drebin (Germany), still playing
  76: Anonymous2411 (Bulgaria), still playing
  77: AntJakson (Estonia), still playing
  78: AntenorN (Brazil), still playing
  79: Anzhelika65 (Belarus), still playing
  80: Ar1ngarosa (Ukraine), still playing
  81: Arcanjo9917 (Brazil), still playing
  82: Artemq4 (Kazakhstan), still playing
  83: Artta (Belarus), still playing
  84: Arustokrat (Ukraine), still playing
  85: Asiaka123 (Germany), still playing
  86: Atajan7388 (Turkmenistan), still playing
  87: AussiDelBoy (United Kingdom), still playing
  88: Avgå alla! (Sweden), still playing
  89: AyranS (Brazil), still playing
  90: B.Paulino (Brazil), still playing
  91: BC_Pres (Canada), still playing
  92: BCarneiro 86 (Brazil), still playing
  93: BIGTIMUK (United Kingdom), still playing
  94: BMAG2020 (Canada), still playing
  95: BR All-in-e (Brazil), still playing
  96: BRENO_DUARTE (Brazil), still playing
  97: BUCK UTD [2] (United Kingdom), still playing
  98: Babouche005 (Switzerland), still playing
  99: Back2Rehab (United Kingdom), still playing
  100: Badbet836 (Canada), still playing
  101: Baggies71 (United Kingdom), still playing
  102: BaladeiroTV (Brazil), still playing
  103: BalticSamurai (Latvia), still playing
  104: Bantamania (United Kingdom), still playing
  105: Barma76 (Kazakhstan), still playing
  106: Beatrice_TH (Bulgaria), still playing
  107: BeccaGrimes (Sweden), still playing
  108: Benediximus11 (Ukraine), still playing
  109: Berkowitz33 (Brazil), still playing
  110: Bertit25 [2] (Switzerland), still playing
  111: Bertuqui420 (Brazil), still playing
  112: Beto Macedo CCH (Brazil), still playing
  113: BigDrb (Canada), still playing
  114: BlackSpirit90 (Greece), still playing
  115: BlessedTrue (Belarus), still playing
  116: BlindRazorJJ (United Kingdom), still playing
  117: BmxALLin (Brazil), still playing
  118: Boka1995Zika (Brazil), still playing
  119: BolloxolloB [2] (Ireland), still playing
  120: Bombe6 [2] (Germany), still playing
  121: Boomtizzle1867 (Malta), still playing
  122: Borgesxx (Brazil), still playing
  123: Bossu388 (Denmark), still playing
  124: Boulzor444 (Belgium), still playing
  125: BoyanDonkov (Bulgaria), still playing
  126: Broonx13 (Brazil), still playing
  127: BrunoI.R.S (Brazil), still playing
  128: Brunodellas (Brazil), still playing
  129: BudgeH (United Kingdom), still playing
  130: Bught (Ukraine), still playing
  131: Bullrani (United Kingdom), still playing
  132: Bump&Flex [2] (United Kingdom), still playing
  133: C0C0PoK$r (Argentina), still playing
  134: C0mpetition [2] (Ukraine), still playing
  135: C0sm0 M!nd (Brazil), still playing
  136: CAILLOU1488 (Ukraine), still playing
