PokerStars Tournament #3911960077, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
1330 players
Total Prize Pool: $10025.00 USD 
Tournament started 2025/07/24 14:30:00 BRT [2025/07/24 13:30:00 ET]

  1: #27JETS [2] (Canada), still playing
  2: $kiLLme1sTeR (Belarus), still playing
  3: $kullcosta (Brazil), still playing
  4: $partan4ik (Belarus), still playing
  5: *S*SEVA*S* [2] (Belarus), still playing
  6: -t,tq-,zft@z (Austria), still playing
  7: 0IQCa11er (Mexico), still playing
  8: 101funt186 (Ukraine), still playing
  9: 1Rolts1 (Estonia), still playing
  10: 4lovr (Germany), still playing
  11: 4pokan (Belarus), still playing
  12: 77blackviper (Germany), still playing
  13: 77portuga (Brazil), still playing
  14: 8484R (Belgium), still playing
  15: 99dm84 (Bosnia and Herzegovina), still playing
  16: AAdiniz (Brazil), still playing
  17: AAdonkeY066 (Brazil), still playing
  18: ALTUSDOMUS (Brazil), still playing
  19: A_LuPinn-83 (Switzerland), still playing
  20: Acrt456 (Brazil), still playing
  21: Addicted&Old (United Kingdom), still playing
  22: Afro Inn [2] (Switzerland), still playing
  23: Ahrensberg89 (Denmark), still playing
  24: AlexandreAnd (Brazil), still playing
  25: Alika DJ (Argentina), still playing
  26: AlipioJr (Brazil), still playing
  27: Alistair2121 (United Kingdom), still playing
  28: Alpohi83CH (Switzerland), still playing
  29: Alvinegro22 (Brazil), still playing
  30: Amiralsanji (Sweden), still playing
  31: Anamaria214 [3] (Ireland), still playing
  32: Andrii2002 (Ukraine), still playing
  33: Anilla7 [2] (Slovakia), still playing
  34: AnteroBH (Brazil), still playing
  35: Anybody_11 (Austria), still playing
  36: Apache322228 (Ukraine), still playing
  37: AquiNãoNeném (Brazil), still playing
  38: Arcanjo9917 (Brazil), still playing
  39: Arunas_Idas (Latvia), still playing
  40: AryaQQ [2] (United Kingdom), still playing
  41: Astrochino (Brazil), still playing
  42: BIGDES104 (United Kingdom), still playing
