PokerStars Tournament #3910308051, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
1850 players
Total Prize Pool: $8880.00 USD 
Tournament started 2025/07/23 12:30:00 BRT [2025/07/23 11:30:00 ET]

  1: 1MERCIER1 [2] (Ukraine), still playing
  2: 1upgod (Denmark), still playing
  3: 1wighty [2] (Canada), still playing
  4: 2pacsimbioz (Belarus), still playing
  5: 3lagoda (Germany), still playing
  6: 4THEGLORY4 (Romania), still playing
  7: 4akuFT (Ukraine), still playing
  8: 86ofdiamonds (Romania), still playing
  9: A.Ifty [2] (United Kingdom), still playing
  10: AAifonly (United Kingdom), still playing
  11: ALEX_kingpk (Brazil), still playing
  12: ANachi20 [3] (Argentina), still playing
  13: AchillesPQ (Canada), still playing
  14: Adil Mussin (Kazakhstan), still playing
  15: Al Macintosh (Canada), still playing
  16: Alekseich587 (Belarus), still playing
  17: Alika DJ (Argentina), still playing
  18: Amauri Lara [2] (Brazil), still playing
  19: Andrjywa (Ukraine), still playing
  20: Anton280395 (Kyrgyzstan), still playing
  21: ArtiniShivilsky (Brazil), still playing
  22: Arustokrat [2] (Ukraine), still playing
  23: Astrochino (Brazil), still playing
  24: BOliveira97 [2] (Brazil), still playing
  25: BaladeiroTV (Brazil), still playing
  26: Bantamania (United Kingdom), still playing
  27: Benitoj19 (Argentina), still playing
  28: Bgusso (Brazil), still playing
  29: Blufon050572 (Switzerland), still playing
  30: Bogatyrev777 (Lithuania), still playing
  31: BrashFighter (Belarus), still playing
  32: Brunodellas [2] (Brazil), still playing
  33: Canehduh2010 (Canada), still playing
  34: ChristofferJo (Sweden), still playing
  35: Clandestin07 [2] (Brazil), still playing
  36: CordeiroJL (Brazil), still playing
  37: Crustycrabe007 (Belgium), still playing
  38: DIAOLOS777 [2] (Greece), still playing
  39: DStoyanov94 (Bulgaria), still playing
  40: Da777One [3] (United Kingdom), still playing
  41: Dan...0p!! (Brazil), still playing
  42: Danilo611 (Uruguay), still playing
  43: Dap02 [2] (Argentina), still playing
  44: DarkSkies21 (Brazil), still playing
  45: DeM0N_ZT (Ukraine), still playing
  46: DelijaVL (Slovenia), still playing
  47: DespUA (Ukraine), still playing
  48: Dominique Royal (Latvia), still playing
  49: Drohobych777 (Ukraine), still playing
  50: DrunkenFish100 (Canada), still playing
  51: DäDiPoker (Switzerland), still playing
  52: ENUFSAIDFISH [3] (United Kingdom), still playing
  53: Enex96 (Germany), still playing
  54: Enigma5557 (Mexico), still playing
  55: EriVini3 (Brazil), still playing
  56: EullerSantos (Brazil), still playing
  57: Eva Ines 86 (Romania), still playing
  58: Exc1usivePS (Kazakhstan), still playing
  59: FabregaStar [2] (United Kingdom), still playing
  60: FasterMike (Ukraine), still playing
  61: Fe_errou (Brazil), still playing
  62: Fedezun (Argentina), still playing
  63: Feerapoker (Brazil), still playing
  64: FillariQJ (Finland), still playing
  65: FlavioDuraes (Brazil), still playing
  66: Footraiser (Switzerland), still playing
  67: FrançaW (Brazil), still playing
  68: GAPDomingues (Brazil), still playing
  69: GREENKEEPER7000 (Switzerland), still playing
  70: GTavares013 (Brazil), still playing
  71: Gabee Gato (Brazil), still playing
  72: Garena188 [3] (Ukraine), still playing
  73: GewKapc (Greece), still playing
  74: Gibraltarian (United Kingdom), still playing
  75: Gmirchev [2] (Bulgaria), still playing
  76: GoldEmHolk (Denmark), still playing
  77: Granapadalo (Switzerland), still playing
  78: Grasquet (Costa Rica), still playing
  79: Greenpear91 (Belarus), still playing
  80: Grohenfegel (Ukraine), still playing
  81: GuaranaDolly [2] (Brazil), still playing
  82: Guerrero0122 (Switzerland), still playing
  83: Gui_Campos90 [2] (Brazil), still playing
  84: Gulmamedov (Ukraine), still playing
  85: Gunnaz8 (United Kingdom), still playing
  86: Guns_SM (Brazil), still playing
  87: GunterTsr (Brazil), still playing
  88: Heronville (Brazil), still playing
  89: Hitalo-R7 (Brazil), still playing
  90: Hulkyyyy (Romania), still playing
  91: Hyenko (Canada), still playing
  92: I cant stomp (Ukraine), still playing
  93: IAMASCHINKEN [2] (Austria), still playing
  94: Iamcaraaa (Mexico), still playing
  95: Ibrahim420 [2] (Denmark), still playing
  96: IgorexaUA (Ukraine), still playing
  97: IrkaBoss (Ukraine), still playing
  98: Ishutem888 (Switzerland), still playing
  99: Iustinul (Romania), still playing
  100: Ivan999D (Canada), still playing
  101: Izverg31 (Ukraine), still playing
  102: JF_Souza (Brazil), still playing
  103: JGLEDESMA [2] (Brazil), still playing
  104: J_Raphael9 (Brazil), still playing
  105: JamJars123 (United Kingdom), still playing
  106: Jay129869 [3] (United Kingdom), still playing
  107: Jaziel1998 (Mexico), still playing
  108: JepsP (Brazil), still playing
  109: JimmyHoffa37 (Sweden), still playing
  110: JoJoPokerWonder (Lithuania), still playing
  111: JrVerme (Brazil), still playing
  112: Juhuli97 (Finland), still playing
  113: Just rag it (Ireland), still playing
  114: K10Dodo (Switzerland), still playing
  115: KaL1pS0 (Ukraine), still playing
  116: Kari7721 (Ukraine), still playing
  117: KarlKallin [3] (Sweden), still playing
  118: KiZaru800 [2] (Germany), still playing
  119: KingBrun0 (Brazil), still playing
  120: Klasev (Lithuania), still playing
  121: KleitonSilva (Brazil), still playing
  122: Kompanowsky (Belarus), still playing
  123: KoppucTo (Belarus), still playing
  124: Kosmos1977 (Romania), still playing
  125: KpacuPetkov (Bulgaria), still playing
  126: Kriskobeibe (Bulgaria), still playing
  127: Kryckan (Sweden), still playing
  128: Ku4ti (Argentina), still playing
  129: L3VI_7X (Slovakia), still playing
  130: LAFERRERE (Argentina), still playing
  131: LEHCIM100 (Brazil), still playing
  132: Laeyz7 (Germany), still playing
  133: Lansia_ITA (Germany), still playing
  134: Leleco67 (Brazil), still playing
  135: Lellhovet (Sweden), still playing
  136: Leo Borgheti (Brazil), still playing
  137: Leoarara (Brazil), still playing
  138: Leone1964471 (Austria), still playing
  139: Les_Titans (Canada), still playing
  140: Lev_Patrik (Ukraine), still playing
  141: LoonisPKR [2] (United Kingdom), still playing
  142: Louez23 (Brazil), still playing
  143: LuAAnzerAA (Brazil), still playing
  144: MLKdosHITS (Brazil), still playing
  145: MONTESSO (Brazil), still playing
  146: Maartensyen (Belgium), still playing
  147: Magoo J7 (Canada), still playing
  148: Mainz32 (Denmark), still playing
  149: Maks19111979 (Ukraine), still playing
  150: Mariana Caet (Brazil), still playing
  151: MarkEney (Ukraine), still playing
  152: MarlonBT01 (Brazil), still playing
  153: MathausManf (Brazil), still playing
  154: Max und Robi [3] (Germany), still playing
  155: Maykot95 (Brazil), still playing
  156: Mers00001 (Ukraine), still playing
  157: MherKh [2] (Armenia), still playing
  158: MigloBilzerian (Germany), still playing
  159: Mooneh13 (Latvia), still playing
  160: MosEZE777 (United Kingdom), still playing
  161: Motik_13 (Turkmenistan), still playing
  162: Mr. WildBR (Brazil), still playing
  163: Mr.Kruges (Canada), still playing
  164: Newells1 (Argentina), still playing
  165: Nikkepo (Brazil), still playing
  166: Niqamalq (Sweden), still playing
  167: Nizkiz (Belarus), still playing
  168: NoloDouglas (Greece), still playing
  169: NomerX (Finland), still playing
  170: NoobCkrhiiz (Mexico), still playing
  171: Now27 (Brazil), still playing
  172: Névtelen21 (Romania), still playing
  173: OMARTINSLUCA (Brazil), still playing
  174: Oggy_Oggy_88 (United Kingdom), still playing
  175: Ojosdebuho9 (Argentina), still playing
  176: OnthaReever (Canada), still playing
  177: OtalDoSataa [3] (Brazil), still playing
  178: Owaint016 [3] (United Kingdom), still playing
  179: PKEVB22 (United Kingdom), still playing
  180: PROROK810 (Belarus), still playing
  181: Paannts (Brazil), still playing
  182: Pappis96 (Brazil), still playing
  183: ParisBlonde (Switzerland), still playing
  184: Pascutardi [2] (Argentina), still playing
  185: Patrick Maya (Brazil), still playing
  186: PennywiseVFG (Brazil), still playing
  187: Phandoms [2] (Switzerland), still playing
  188: Picasso9494 (Germany), still playing
  189: Pluckyno (Ireland), still playing
  190: Plutsch (Germany), still playing
  191: PokerPlayer900 (Greece), still playing
  192: PyChenKo (Ukraine), still playing
  193: QueIssoJovem (Brazil), still playing
  194: R.parreira08 (Brazil), still playing
  195: REP1no (Kazakhstan), still playing
  196: Rafa Lumina [2] (United Kingdom), still playing
  197: Rafashocker (Brazil), still playing
  198: RaphinhaA (Brazil), still playing
  199: Re Carvi (Brazil), still playing
  200: Recrytt (Belarus), still playing
  201: Regio77713 (Mexico), still playing
  202: Riksholm (Finland), still playing
  203: Roberio123 (Brazil), still playing
  204: Rock lee 1258 (Switzerland), still playing
  205: RodBarreto [2] (Brazil), still playing
  206: Rossothrone (Belarus), still playing
  207: Rpfeitosa [2] (Brazil), still playing
  208: Ruslan Pro13 (Moldova), still playing
  209: RyFF247 (Austria), still playing
  210: S.FILTH (Ukraine), still playing
  211: SD ANDRE [2] (Brazil), still playing
  212: SD WEMERSON (Brazil), still playing
  213: SHENG082 (Japan), still playing
  214: Scoobidom138 (Switzerland), still playing
  215: Seakok382 (Denmark), still playing
  216: SeanZ369 (Canada), still playing
  217: SergeySil83 (Belarus), still playing
  218: ShalnoyTapok (Kazakhstan), still playing
  219: Sharkette888 (Thailand), still playing
  220: ShizZza13-10 (Belarus), still playing
  221: Shlblk1990 (Belarus), still playing
  222: Shoxuzb (Kazakhstan), still playing
  223: Silver Melo (Brazil), still playing
  224: SirAlexCapone [3] (Switzerland), still playing
  225: Slavyan90 (Ukraine), still playing
  226: SokolovS23 [2] (Belarus), still playing
  227: Solojuve1010 (Switzerland), still playing
  228: SolomonStar [2] (United Kingdom), still playing
  229: SpecTre/F (Brazil), still playing
  230: Spuddii (Belarus), still playing
  231: St-Gilles76 (Belgium), still playing
  232: Sterod48 (Sweden), still playing
  233: Striker'1992 [2] (Brazil), still playing
  234: SuCwb (Brazil), still playing
  235: Suezawa (Brazil), still playing
  236: SwizzDevilfish_ (Switzerland), still playing
  237: Szabimester [3] (Hungary), still playing
  238: Sänd (Switzerland), still playing
  239: T.Figueiredo (Brazil), still playing
  240: TLNo.13 (Romania), still playing
  241: TME316 (Canada), still playing
  242: Ten.Hellz (Brazil), still playing
  243: Tewa0701 (Sweden), still playing
  244: ThE_SnAKe'SS (Brazil), still playing
  245: ThEcLaiMEer (United Kingdom), still playing
  246: The Yasuo (Brazil), still playing
  247: TheIrritated (United Kingdom), still playing
  248: TheWhiteMark (Brazil), still playing
  249: Tiagomatiax (Brazil), still playing
  250: Tofujudi (Ukraine), still playing
  251: Topboy147 (United Kingdom), still playing
  252: Tordan3312 (South Korea), still playing
  253: Torvijah [2] (Brazil), still playing
  254: Trotskiy A. (Ukraine), still playing
  255: TucciTm (Brazil), still playing
