PokerStars Tournament #3908026922, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
2787 players
Total Prize Pool: $34280.10 USD 
Tournament started 2025/07/20 12:02:00 BRT [2025/07/20 11:02:00 ET]

  1: #27JETS (Canada), still playing
  2: $ampaioBruno (Brazil), still playing
  3: $kullcosta (Brazil), still playing
  4: $tr@teg@$1 (Ireland), still playing
  5: *Rexlionex* (Chile), still playing
  6: *S*SEVA*S* (Belarus), still playing
  7: -gmt-Sky (Ukraine), still playing
  8: -t,tq-,zft@z [2] (Austria), still playing
  9: 00AceToFace (Slovakia), still playing
  10: 00_Blackout [2] (Brazil), still playing
  11: 09sss02 (Armenia), still playing
  12: 0liveiraJ (Brazil), still playing
  13: 0nelast (Ukraine), still playing
  14: 0wnr00 (Romania), still playing
  15: 1414badou (Germany), still playing
  16: 14caio (Brazil), still playing
  17: 19bruno96 (Brazil), still playing
  18: 1Johansson (Sweden), still playing
  19: 1Rolts1 (Estonia), still playing
  20: 235795r (Brazil), still playing
  21: 2la-SkyLine (Kazakhstan), still playing
  22: 4Raijin (Ukraine), still playing
  23: 4akuFT [2] (Ukraine), still playing
  24: 4sharp (United Kingdom), still playing
  25: 53bah32 [2] (United Kingdom), still playing
  26: 5tunt3r (Vietnam), still playing
  27: 77 Maia (Brazil), still playing
  28: 77TheMayor77 (Brazil), still playing
  29: 77blackviper (Germany), still playing
  30: 77portuga [2] (Brazil), still playing
  31: 7inchpython (United Kingdom), still playing
  32: 847449 [2] (Lithuania), still playing
  33: 99dm84 (Bosnia and Herzegovina), still playing
  34: 9m41k (Belarus), still playing
  35: A.Martinns [2] (Brazil), still playing
  36: A1waysW1n (Ukraine), still playing
  37: AA DOCTOR (Greece), still playing
  38: AAvlasAA (Belarus), still playing
  39: AFLUCHI (Brazil), still playing
  40: ALEX_kingpk (Brazil), still playing
  41: ARHINJO (Belarus), still playing
  42: ASautin123 [2] (Belarus), still playing
  43: AamiUa (Ukraine), still playing
  44: Abogato666 [2] (Mexico), still playing
  45: Addicted&Old (United Kingdom), still playing
  46: Adil Mussin (Kazakhstan), still playing
  47: Adolfoda (Brazil), still playing
  48: AfcP7 [2] (Romania), still playing
  49: Alaverda (El Salvador), still playing
  50: Alcebiade12 [3] (Brazil), still playing
  51: AlekFB4 [3] (Denmark), still playing
  52: Alekseygrodno (Belarus), still playing
  53: AlexG1986 (Germany), still playing
  54: Algorab (Germany), still playing
  55: AlmightyA [2] (Ukraine), still playing
  56: AmazingPlay9 (Brazil), still playing
  57: Anaken74 (Argentina), still playing
  58: Andrii2002 (Ukraine), still playing
  59: Andy-Veselof [2] (United Kingdom), still playing
  60: AndyC96 (Canada), still playing
  61: Anton280395 (Kyrgyzstan), still playing
  62: Apitox (Germany), still playing
  63: AquiNãoNeném (Brazil), still playing
  64: Arnisss [3] (United Kingdom), still playing
  65: ArrisonABC (Brazil), still playing
  66: Arrivider4i (Ukraine), still playing
  67: Arthur Peruzzo (Brazil), still playing
  68: AshModai90 (Estonia), still playing
  69: Astrochino (Brazil), still playing
  70: Attil0r (Germany), still playing
  71: Azikk555 (Belarus), still playing
  72: BCmoinesti (United Kingdom), still playing
  73: BFJ1987 (Switzerland), still playing
  74: BGAMN (United Kingdom), still playing
  75: BISTECA213 [2] (Brazil), still playing
  76: BKUN2000 (Brazil), still playing
  77: BNacho_11 (Argentina), still playing
  78: BQQZ90820 (United Kingdom), still playing
  79: BadaloaFill [2] (Brazil), still playing
  80: Badger51274 (United Kingdom), still playing
  81: Baitador (Austria), still playing
  82: BambamDoBet (Brazil), still playing
  83: Banhetaa (Brazil), still playing
  84: Baratolouco24 (Brazil), still playing
  85: Barossi415 (Brazil), still playing
  86: BarrieButsers87 (Switzerland), still playing
  87: Bastelbastel [2] (Germany), still playing
  88: Beach2201 (Ireland), still playing
  89: Beansfum (United Kingdom), still playing
  90: BeeCool777 (Belgium), still playing
  91: Behind81 [2] (Germany), still playing
  92: Benfica10 (Canada), still playing
  93: Bennett1035 [2] (United Kingdom), still playing
  94: Bergmannen (Sweden), still playing
  95: Biel_KingKK (Brazil), still playing
  96: Bigprad [2] (Switzerland), still playing
  97: Billy Dean34 (Ukraine), still playing
  98: Bl4ckCat77 (Brazil), still playing
  99: BlindRazorJJ (United Kingdom), still playing
  100: Blisto_AA (Switzerland), still playing
  101: BmxALLin (Brazil), still playing
  102: Boletta55 (Brazil), still playing
  103: Bonatto91 (Brazil), still playing
  104: BossNow.S (Belarus), still playing
  105: Bossu388 (Denmark), still playing
  106: Br@mmer [2] (Denmark), still playing
  107: Brad231214 [3] (United Kingdom), still playing
  108: Bradford1977 (Canada), still playing
  109: Brainy14 (Canada), still playing
  110: Brcislav [3] (Slovakia), still playing
  111: Breckmann95 (Faroe Islands), still playing
  112: Bretera (Brazil), still playing
  113: BrotherKjell [3] (Belgium), still playing
  114: Bruno "FrZy" (Brazil), still playing
  115: BrunoBR21 (Brazil), still playing
  116: BrunoPrado20 (Brazil), still playing
  117: Brunodellas (Brazil), still playing
  118: Brunopoker94 (Brazil), still playing
  119: BuddyAces2 [3] (Germany), still playing
  120: Bump&Flex (United Kingdom), still playing
  121: Byrnis0n (Kazakhstan), still playing
  122: C05MIN2 (United Kingdom), still playing
  123: C0mpetition (Ukraine), still playing
  124: C18HVY (United Kingdom), still playing
  125: CAMISA1088 (Brazil), still playing
  126: CARMISMAN (Argentina), still playing
  127: CMRolfes1990 [2] (Germany), still playing
  128: CNair95 (Brazil), still playing
  129: Caiadas95 (Brazil), still playing
  130: CaioManhaes (Brazil), still playing
  131: Calicass87 (Canada), still playing
  132: Callmetowarr [2] (Brazil), still playing
  133: CamillaaaH (Brazil), still playing
  134: Capirov (Brazil), still playing
  135: CaptainGiga (Brazil), still playing
  136: Carboneraa (Brazil), still playing
  137: Caristhon.fé (Brazil), still playing
  138: Carlinhosfafe [2] (Switzerland), still playing
  139: Carlo 199822 (Mexico), still playing
  140: Carter9411 (Switzerland), still playing
  141: CesarAAnd (Brazil), still playing
  142: Charmer1973 (Philippines), still playing
  143: ChaseTyler14 (Canada), still playing
  144: Chengueee (Uruguay), still playing
  145: ChicaSano (Uzbekistan), still playing
  146: ChipsFool (United Kingdom), still playing
  147: Chirola7777 (Uruguay), still playing
  148: Chris Doggy (United Kingdom), still playing
  149: Chris-Wolly (United Kingdom), still playing
  150: ChunchoJR [2] (Chile), still playing
  151: Cigana#13 (Brazil), still playing
  152: Cipibunea [2] (Belgium), still playing
  153: Clandestin07 (Brazil), still playing
  154: Claret1 (United Kingdom), still playing
