PokerStars Tournament #3914636153, No Limit Hold'em
  155: Portella1990 (Brazil), still playing
  156: Pridan Igor (Ukraine), still playing
  157: R.parreira08 (Brazil), still playing
  158: RBcleans (United Kingdom), still playing
  159: RFN1986 (Brazil), still playing
  160: RSak4 (Brazil), still playing
  161: RaMiKoLm (Ukraine), still playing
  162: Renandd (Brazil), still playing
  163: Renatoart (Brazil), still playing
  164: RichOne666 (Brazil), still playing
  165: RodriguesDu [3] (Brazil), still playing
  166: Roquim (Brazil), still playing
  167: RoyalFidelio (Sweden), still playing
  168: Runov (Mexico), still playing
  169: Ryan_Peste (Brazil), still playing
  170: S0M30N33L5E (Switzerland), still playing
  171: SBMPoker (Brazil), still playing
  172: SOT Pacoca (Brazil), still playing
  173: Saber2295 (Germany), still playing
  174: SainT^455 (Sweden), still playing
  175: ShoveJr (Brazil), still playing
  176: SouzaPocket99 (Brazil), still playing
  177: SpewSeven (Brazil), still playing
  178: Stepa29031990 [2] (Belarus), still playing
  179: SweetBoss (Germany), still playing
  180: Sylik117 (Kazakhstan), still playing
  181: T0GN3T (Brazil), still playing
  182: Tantalich (Ukraine), still playing
  183: TarasViktorovic (Ukraine), still playing
  184: TeKay1.0 (Germany), still playing
  185: Tetoffas (Switzerland), still playing
  186: The Ni3ls (Germany), still playing
  187: TheDomotron (United Kingdom), still playing
  188: TiagoY (Brazil), still playing
  189: Timex_55 (Brazil), still playing
  190: Tripaozao (Brazil), still playing
  191: TtAaKeE (Brazil), still playing
  192: Tuipro (Finland), still playing
  193: UniQato (Bulgaria), still playing
  194: Varguinho91 (Brazil), still playing
  195: Vartulio (Brazil), still playing
  196: VdZzZ (Brazil), still playing
  197: ViniSaliba (Brazil), still playing
  198: WagnerSouza9 (Brazil), still playing
  199: Xanadu7789 (Canada), still playing
  200: Ximireyn (Ukraine), still playing
  201: YPIRANGA (Brazil), still playing
  202: Yamashita17 (Brazil), still playing
  203: YeLLoWHeSuS (Ukraine), still playing
  204: Zeliodas22 (Brazil), still playing
  205: ZhekaDOM (Kazakhstan), still playing
  206: _Amend0im_ (Brazil), still playing
  207: adorno04 (Brazil), still playing
  208: afzera (Brazil), still playing
  209: ajugar1 (Chile), still playing
  210: albzyK (Brazil), still playing
  211: alcatra182 (Brazil), still playing
  212: alencarfu (Brazil), still playing
  213: alexrossUKGF (Malta), still playing
  214: alexxxsplash (Ukraine), still playing
  215: andretu (Brazil), still playing
  216: arharovec (Belarus), still playing
  217: asdz1 (Brazil), still playing
  218: bastis111 [2] (Sweden), still playing
  219: bbpedro22 (Brazil), still playing
  220: bferreira72 (Brazil), still playing
  221: black~day1337 (Belarus), still playing
  222: bonaparteyy (Germany), still playing
  223: borges-ldn (Brazil), still playing
  224: bpjkbhjdobr [2] (Kazakhstan), still playing
  225: brian 27979 (United Kingdom), still playing
  226: brunao368 (Brazil), still playing
  227: cauemartinsh (Brazil), still playing
  228: cebolinha_rs (Brazil), still playing
  229: cenorak33 (Brazil), still playing
  230: chinkystar (United Kingdom), still playing
  231: cjm2405 (United Kingdom), still playing
  232: claudinei25 (Brazil), still playing
  233: cocaodourado (Brazil), still playing
  234: corvones (Argentina), still playing
  235: cws33 (Brazil), still playing
  236: danilin_5455 (Brazil), still playing
  237: danisponja (Brazil), still playing
  238: dankv1108 (Ukraine), still playing
  239: davihcava [2] (Brazil), still playing
  240: dennis_8307 (Sweden), still playing
  241: dktdragao (Brazil), still playing
  242: dododo808 (Canada), still playing
  243: dougmd83 (Brazil), still playing
  244: drou26 (Greece), still playing
  245: duduzinstars (Brazil), still playing
  246: durrrr47 (Argentina), still playing
  247: duskydusky88 (United Kingdom), still playing
  248: eamertrain (Canada), still playing
  249: eliveltontp (Brazil), still playing
  250: ender749 (United Kingdom), still playing
  251: eron profi (Brazil), still playing
  252: euphorya382 (Cambodia), still playing
  253: ezzlyy (Thailand), still playing
  254: fabianod12 (Brazil), still playing
  255: fabrids23 [2] (Argentina), still playing
  256: feicaodomeuegg (Brazil), still playing
  257: ferpa88 [2] (Brazil), still playing
  258: filiperonan [2] (Brazil), still playing
  259: floppylou (United Kingdom), still playing
  260: fvallerio (Brazil), still playing
  261: gazzu666 (Chile), still playing
  262: giank99 (Argentina), still playing
  263: gladiado408 (Brazil), still playing
  264: gmdef.2001 (Brazil), still playing
  265: grazniylui23 (Ukraine), still playing
  266: gsouzaf19 (Brazil), still playing
  267: gustavogar55 (Brazil), still playing
  268: gutAoAllin (Brazil), still playing
  269: gwg_gwg (Canada), still playing
  270: h1karo777 (Ukraine), still playing
  271: haideee (Romania), still playing
  272: hamderfigiro (Denmark), still playing
  273: hannaofjord [2] (Iceland), still playing
  274: haramahala (Bosnia and Herzegovina), still playing
  275: herbertros (Brazil), still playing
  276: herdisc (Argentina), still playing
  277: hollzy19 (Canada), still playing
  278: hugobarbosa (Brazil), still playing
  279: hyurih2 (Brazil), still playing
  280: illedeIPC (Brazil), still playing
  281: jackotavio (Brazil), still playing
  282: jen 2kings (Denmark), still playing
  283: jeperskanada (Canada), still playing
  284: johnhull1459 (United Kingdom), still playing
  285: jonniK11113 (Ukraine), still playing
  286: juandorre (Argentina), still playing
  287: julinhopk (Brazil), still playing
  288: k1dlucky (Ukraine), still playing
  289: kalango16 (Brazil), still playing
  290: keyhell [2] (Brazil), still playing
  291: kiobbs (Argentina), still playing
  292: klissanchez (Ukraine), still playing
  293: ledigaonegao (Brazil), still playing
  294: leoommoreira (Brazil), still playing
  295: leosouza9 [2] (Brazil), still playing
  296: lilofelicio [2] (Brazil), still playing
  297: lmiotto88 (Brazil), still playing
  298: lonelyview42 (Brazil), still playing
  299: lpedrov (Brazil), still playing
  300: lscavalheiro476 (Brazil), still playing
  301: luciopoker22 (Chile), still playing
  302: ludum regem (Ukraine), still playing
  303: m.quixada [2] (Brazil), still playing
  304: mOberdan (Brazil), still playing
  305: maOiiii (Brazil), still playing
  306: manisandova (Bulgaria), still playing
  307: mateusneydia (Brazil), still playing
  308: mattydredd2323 (United Kingdom), still playing
  309: matws13 (Romania), still playing
  310: messi1030606 (Bulgaria), still playing
  311: michael_mdlb (Brazil), still playing
  312: mno1988 (Brazil), still playing
  313: morryAA (United Kingdom), still playing
  314: muquera (Brazil), still playing
  315: ne1ss (Brazil), still playing
  316: oneofbest7 (Belarus), still playing
  317: onlydrunkreg (Brazil), still playing
  318: ouchbigslick (Ukraine), still playing
  319: pan_kotan (Belarus), still playing
  320: paredesufrirr (Argentina), still playing
  321: petersonmach (Brazil), still playing
  322: ralws (Brazil), still playing
  323: rbmrenato (Brazil), still playing
  324: rdo_fabris (Brazil), still playing
  325: regularhesbert (Finland), still playing
  326: respinosa6 (Mexico), still playing
  327: roaffonso (Brazil), still playing
  328: robfloc10 (Mexico), still playing
  329: roddypra (Brazil), still playing
  330: rojovivo17 (Argentina), still playing
  331: rsehnem77 (Brazil), still playing
  332: ruanrocha (Brazil), still playing
  333: sKc.94 (Brazil), still playing
  334: samupar1990 (Finland), still playing
  335: scorpiolaura (Canada), still playing
  336: serpantin1 (Kazakhstan), still playing
  337: seumadrugaking (Brazil), still playing
  338: shortyno03 (Bosnia and Herzegovina), still playing
  339: skianu (Brazil), still playing
  340: slyStrategy (Switzerland), still playing
  341: snemeis (Finland), still playing
  342: soldado688 (Brazil), still playing
  343: sombra97 (Brazil), still playing
  344: sortetotal [2] (Brazil), still playing
  345: stephan2205 (Germany), still playing
  346: stman999 (Kazakhstan), still playing
  347: tavo12345 (Chile), still playing
  348: tbombw (Ireland), still playing
  349: thiagofs1808 (Brazil), still playing
  350: tiag1 (Brazil), still playing
  351: tmclean9 (United Kingdom), still playing
  352: tommyg84212 (United Kingdom), still playing
  353: topetersons (Brazil), still playing
  354: trevis369 (Canada), still playing
  355: ujohnson2 (Brazil), still playing
  356: unsen1 (Mexico), still playing
  357: vadi2011 (Moldova), still playing
  358: vdcf08 (United Kingdom), still playing
  359: vihugo99 (Brazil), still playing
  360: villanell1 (United Kingdom), still playing
  361: viniciuscso [2] (Brazil), still playing
  362: vitogean (Ireland), still playing
  363: vitor762 (Brazil), still playing
  364: vmartins1983 (Brazil), still playing
  365: vpra5 (Brazil), still playing
  366: walakos (Greece), still playing
  367: wintowin422 (Argentina), still playing
  368: xatsi18 (Greece), still playing
  369: xxMadistoxx (Switzerland), still playing
  370: yuzo_tkd (Brazil), still playing
  371: Gabrielfs13 [2] (Brazil), 
  372: ferpa88 (Brazil), 
  373: OMARTINSLUCA (Brazil), 
  374: PavJeshei (Greece), 
  375: pavers88 (United Kingdom), 
  376: coracy [2] (Brazil), 
  377: Polsk2601 (Brazil), 
  378: dery330 (Canada), 
  379: prow1therxd (Belarus), 
  380: studiu24 (Brazil), 
  381: SantaVariancia (Brazil), 
  382: alx greek 13 (Ukraine), 
  383: becaflor (Brazil), 
  384: VERTUTALINA (Switzerland), 
  385: fabrids23 (Argentina), 
  386: leosouza9 (Brazil), 
  387: noekes79 (Brazil), 
  388: SHARA666 (Ukraine), 
  389: Arthurdsgeo (Brazil), 
  390: m.quixada (Brazil), 
  391: 2Picca232 (Kazakhstan), 
  392: Kemesk (United Kingdom), 
  393: ElconeJQ (New Zealand), 
  394: Djo babaX (Belarus), 
  395: conexao38 (Brazil), 
  396: ShincoUA (Ukraine), 
  397: Yoye18 (Belarus), 
  398: sortetotal (Brazil), 
  399: jorge922 (Argentina), 
  400: medeiroskkk (Brazil), 
  401: geno lh (Argentina), 
  402: $kullcosta (Brazil), 
  403: SyslikPyslik (Bulgaria), 
  404: danydodu (Romania), 
  405: Pegalll [2] (Brazil), 
  406: chadguy1 (Trinidad and Tobago), 
  407: oxide8888 (Brazil), 
  408: viniciuscso (Brazil), 
  409: f3ckoff (Germany), 
  410: CheesEM (Germany), 
  411: FStoerBitt [2] (Brazil), 
  412: lilofelicio (Brazil), 
  413: bastis111 (Sweden), 
  414: keyhell (Brazil), 
  415: RuSa13kh (Ukraine), 
  416: BRUNO CA$TRO (Brazil), 
  417: Andre L971 (Brazil), 
  418: filiperonan (Brazil), 
  419: thccc97 (Brazil), 
  420: FStoerBitt (Brazil), 
  421: AGV AA90 (Brazil), 
  422: flaws17 (United Kingdom), 
