PokerStars Tournament #3918385314, No Limit Hold'em
  155: nejcr26 (Slovenia), still playing
  156: nicocava10 [2] (Argentina), still playing
  157: operatorul08 (Romania), still playing
  158: p1nkflower (Sweden), still playing
  159: pablo2360 (Argentina), still playing
  160: pbager (Denmark), still playing
  161: pelelek (United Kingdom), still playing
  162: petrosant (Brazil), still playing
  163: phaco21 (Belgium), still playing
  164: pouska (Brazil), still playing
  165: remat999 (United Kingdom), still playing
  166: ricardosoad (Brazil), still playing
  167: rplpimp (Brazil), still playing
  168: ruper23 (Argentina), still playing
  169: ryokale (Finland), still playing
  170: sandcley (Brazil), still playing
  171: sasamir84 (Bosnia and Herzegovina), still playing
  172: snakey12345 (United Kingdom), still playing
  173: spyros711 (Greece), still playing
  174: ssdd2010 (United Kingdom), still playing
  175: ssslavosss (Ukraine), still playing
  176: stano558 (Slovakia), still playing
  177: stead3 (Ireland), still playing
  178: stefdrinks (Belgium), still playing
  179: stizypoker (Germany), still playing
  180: tetinha451 (Brazil), still playing
  181: triptic0 (Greece), still playing
  182: tschenneck (Germany), still playing
  183: tscheson (Germany), still playing
  184: ulfman333 (Germany), still playing
  185: vamana1990 (Switzerland), still playing
  186: vandeco_dias (Brazil), still playing
  187: voliann (Bulgaria), still playing
  188: walkz666 (United Kingdom), still playing
  189: werthrf (Ukraine), still playing
  190: wesley9009 (Brazil), still playing
  191: wilianhs [2] (Brazil), still playing
  192: woxll (Germany), still playing
  193: zagaia011 (Brazil), still playing
  194: zagoAK (Brazil), still playing
  195: Jaka637 (Slovenia), 
  196: BuBnovYVaLetAYE [2] (Belarus), 
  197: Gabrielfs13 (Brazil), 
  198: Matiaska (Slovakia), 
  199: brunofaes405 (Brazil), 
  200: RODRIGO_L345 (Brazil), 
  201: MURICYTRI (Brazil), 
  202: Caio Brick (Brazil), 
  203: Tuca-sp (Brazil), 
  204: Toni_Run (Brazil), 
  205: Péterson8 (Brazil), 
  206: x fullmagai [2] (Brazil), 
  207: rado0 [2] (Romania), 
  208: poppjrJLLE [2] (Brazil), 
  209: Freitas Jr92 (Brazil), 
  210: johny_mac32 [2] (Greece), 
  211: DR666497 (Sweden), 
  212: Felipe DB (Brazil), 
  213: McEddy316 (United Kingdom), 
  214: Klopfer5 [2] (Germany), 
  215: 1bravo90 (Brazil), 
  216: try2play [2] (Denmark), 
  217: OMGItsaShark (Brazil), 
  218: RonanAndreu (Brazil), 
  219: CryMeARiver369 (Brazil), 
  220: eaaeman [2] (Brazil), 
  221: 18colts311 (Canada), 
  222: dido9944547 [2] (Bulgaria), 
  223: Rpet43 (Brazil), 
  224: ivan.juarez (Brazil), 
  225: jeemcal (Brazil), 
  226: Leonidas2004 (Germany), 
  227: JonnyWalk200 [2] (Brazil), 
  228: kkfjose1985 (Brazil), 
  229: keyhell (Brazil), 
  230: psydolabella (Brazil), 
  231: cdruh2112 (United Kingdom), 
  232: G.Farias13 (Brazil), 
  233: Corey021318 (Germany), 
  234: RKuhlmann1 (Germany), 
  235: Leonsi000 (United Kingdom), 
  236: ceifadorskt (Brazil), 
  237: fen4ooo (Bulgaria), 
  238: xxac (Ukraine), 
  239: tauanfaria (Brazil), 
  240: Runner195252 (Germany), 
  241: nataniel31 (Romania), 
  242: marcosks07 (Brazil), 
  243: eddiehind (United Kingdom), 
  244: rpcruzeiro (Brazil), 
  245: PJG666 (Canada), 
  246: Recreathor [2] (Switzerland), 
  247: ronaldoleao (Brazil), 
  248: mirli8 [2] (Austria), 
  249: NJWMX (South Korea), 
  250: AIBoot10 (Morocco), 
  251: poppjrJLLE (Brazil), 
  252: alloeret321 (Canada), 
  253: x fullmagai (Brazil), 
  254: Klopfer5 (Germany), 
  255: Lewis070299 (United Kingdom), 
  256: Nitramcic (Bulgaria), 
  257: XxLzKxX (Brazil), 
  258: Sbyman (Romania), 
  259: juanM@__1717 (Mexico), 
  260: RamiRami1990 [2] (Brazil), 
  261: KeeperBrasil (Brazil), 
  262: try2play (Denmark), 
  263: exzo-sa (Slovakia), 
  264: cannario2 (Switzerland), 
  265: Livino Showtime (Brazil), 
  266: Jay240581 (Germany), 
  267: frediott (Switzerland), 
  268: Fiskrens13 (Sweden), 
  269: HDH53 (Germany), 
  270: Lavrik15 (Ukraine), 
  271: Fedtegreve (Denmark), 
  272: Güngi82 [2] (Switzerland), 
  273: MSOLM58 (Guatemala), 
  274: Little-Antz [2] (Germany), 
  275: geluckje (Belgium), 
  276: Kullio HGW (Germany), 
  277: Recreathor (Switzerland), 
  278: johny_mac32 (Greece), 
  279: $$tr8 Hemp (Brazil), 
  280: alejandroitf [2] (Argentina), 
  281: f3ckoff (Germany), 
  282: Sipim F. (Brazil), 
  283: STKZ9 (Kazakhstan), 
  284: T1mpaG (Sweden), 
  285: raaaaaay [2] (United Kingdom), 
  286: Jzbc97 (Slovenia), 
  287: NipNum (Greece), 
  288: JonnyWalk200 (Brazil), 
  289: rado0 (Romania), 
  290: RCP.Lima (Brazil), 
  291: adorno04 (Brazil), 
  292: Little-Antz (Germany), 
  293: Matanzima (Brazil), 
  294: Herbtina25 (Switzerland), 
  295: Dr. Horseman (Argentina), 
  296: Aurum Royal (Brazil), 
  297: yohanmg [2] (Brazil), 
  298: RamiRami1990 (Brazil), 
  299: raaaaaay (United Kingdom), 
  300: LaerteJr7 (Brazil), 
  301: Lawkzin (Brazil), 
  302: valivasya22 (Ukraine), 
  303: ionnutzu09 (Romania), 
  304: SmileRCG (United Kingdom), 
  305: fhakyr (Mexico), 
  306: eepi1 (Finland), 
  307: VH_Gekko (Brazil), 
  308: 88Vand88 (Brazil), 
  309: mrdolen (Switzerland), 
  310: yohanmg (Brazil), 
  311: dido9944547 (Bulgaria), 
  312: TonyMont4n45 (Brazil), 
  313: jonao110297 (Brazil), 
  314: AllColours [2] (Denmark), 
  315: gallic8 (Sweden), 
  316: Rebozeio (Brazil), 
  317: kavalaris1 (Greece), 
  318: GKv$0 (Brazil), 
  319: Güngi82 (Switzerland), 
  320: Dropsino (Slovakia), 
  321: Dimitrio333 [2] (Ukraine), 
  322: wilianhs (Brazil), 
  323: XxMvPokeRxX (Brazil), 
  324: samuel27781 [2] (United Kingdom), 
  325: coyote710 (Argentina), 
  326: xRadiiii (Austria), 
  327: keich147 [2] (United Kingdom), 
  328: Higgahman (Sweden), 
  329: BrunaL100 (Brazil), 
  330: eaaeman (Brazil), 
  331: Nervous Mike (Sweden), 
  332: mbalchak (Brazil), 
  333: GaSuarez05 (Brazil), 
  334: Andez1337 [2] (Sweden), 
  335: TwiTiPiX (Belgium), 
  336: samuel27781 (United Kingdom), 
  337: fran1448 (Ireland), 
  338: giwrgis4 (Greece), 
  339: ewsha [2] (Germany), 
  340: Le0 Maga (Brazil), 
  341: pastry larry [2] (United Kingdom), 
  342: Kaprizov97 (Finland), 
  343: AllColours (Denmark), 
  344: 420Gott2 (Germany), 
  345: Darazo (Hungary), 
  346: alejandroitf (Argentina), 
  347: ALLinho1010 (Brazil), 
  348: Adreemix (Switzerland), 
  349: mi5_89 [2] (Ireland), 
  350: netomanifest (Brazil), 
  351: L.Giangiulio (Brazil), 
  352: Richard Tola (United Kingdom), 
  353: EICameIeonFR (Hungary), 
  354: dragan249 (Slovenia), 
  355: BuBnovYVaLetAYE (Belarus), 
  356: pastry larry (United Kingdom), 
  357: rainhapesca (Brazil), 
  358: cnn123 (Denmark), 
  359: nicocava10 (Argentina), 
  360: shved1k (Belarus), 
  361: slippery2 [2] (United Kingdom), 
  362: Witalijuz (Lithuania), 
  363: Jx1510z (Brazil), 
  364: navarr0w (Brazil), 
  365: keich147 (United Kingdom), 
  366: triperr (Sweden), 
  367: mi5_89 (Ireland), 
  368: el_tomaco92 (Switzerland), 
  369: BlackoutDragon (United Kingdom), 
  370: Kaskarteia (Brazil), 
  371: Dieginho86 (Switzerland), 
  372: ewsha (Germany), 
  373: romeo11lousi (Greece), 
  374: mirli8 (Austria), 
  375: slippery2 (United Kingdom), 
  376: iZkaptSss (Latvia), 
  377: Dimitrio333 (Ukraine), 
  378: maeeuteamo123 (Brazil), 
  379: CristianQ87 (Romania), 
  380: blackleaver220 [2] (Greece), 
  381: Andez1337 (Sweden), 
  382: Toldyouso58 (Sweden), 
  383: Neuro32 (Germany), 
  384: RealRastar (Mexico), 
  385: blackleaver220 (Greece), 

You finished in 197th place (eliminated at hand #257341718360).


