PokerStars Tournament #3914634440, No Limit Hold'em
Buy-In: $9.80/$1.20 USD
3271 players
Total Prize Pool: $16027.90 USD 
Tournament started 2025/08/09 13:30:00 BRT [2025/08/09 12:30:00 ET]

  1: $ampaioBruno (Brazil), still playing
  2: $kullcosta (Brazil), still playing
  3: *HeRzWinKy* (Austria), still playing
  4: 00gap00 (Brazil), still playing
  5: 0Luck777 (Lithuania), still playing
  6: 101funt186 (Ukraine), still playing
  7: 1990matt (United Kingdom), still playing
  8: 1Seryoga85 (Ukraine), still playing
  9: 2High4µ (Germany), still playing
  10: 3DHallows (Switzerland), still playing
  11: 4THEGLORY4 [2] (Romania), still playing
  12: 4TPK ViP (Brazil), still playing
  13: 5tunt3r (Lithuania), still playing
  14: A.Ifty [2] (United Kingdom), still playing
  15: AAdonkeY066 (Brazil), still playing
  16: AIG55 [2] (United Kingdom), still playing
  17: AQsuit (Switzerland), still playing
  18: ART00POP (Belgium), still playing
  19: AbulFadl (Estonia), still playing
  20: Ademarfagund [3] (Brazil), still playing
  21: Aksakalbro (Kyrgyzstan), still playing
  22: Alilu14 (Switzerland), still playing
  23: AllanEM (Guatemala), still playing
  24: Ananchik01 (Kazakhstan), still playing
  25: AndriuxaN (Lithuania), still playing
  26: AndyAlife (United Kingdom), still playing
  27: Anzhelika65 (Belarus), still playing
  28: Arli888 (Kazakhstan), still playing
  29: Atajan7388 (Turkmenistan), still playing
  30: BYE_BYE_XD (United Kingdom), still playing
  31: Baezil (Kazakhstan), still playing
  32: Barnowl17 (United Kingdom), still playing
  33: Barretim (Brazil), still playing
  34: Baumannnn (Brazil), still playing
  35: Beloki86 (Finland), still playing
  36: BielEmydio (Brazil), still playing
  37: BigMike-Piro (Austria), still playing
  38: Billy Dean34 (Ukraine), still playing
  39: Bl4ckCat77 (Brazil), still playing
  40: BlackNaya7 (Canada), still playing
  41: BlessedTrue (Belarus), still playing
  42: Blowymind99 (United Kingdom), still playing
  43: BluesMan.Ha (Brazil), still playing
  44: Bozhenko I. (Ukraine), still playing
  45: BrieucDeg0203 [3] (Belgium), still playing
  46: Bronya84 (Belarus), still playing
  47: Bruderluke (Switzerland), still playing
  48: BullShooters170 (Austria), still playing
  49: CA.Belli18 (Ireland), still playing
  50: CAILLOU1488 (Ukraine), still playing
