PokerStars Tournament #3912518993, No Limit Hold'em
Buy-In: $24.55/$2.45 USD
2829 players
Total Prize Pool: $34796.70 USD 
Tournament started 2025/08/03 12:02:00 BRT [2025/08/03 11:02:00 ET]

  1: $ampaioBruno (Brazil), still playing
  2: -t,tq-,zft@z (Austria), still playing
  3: 0liveiraJ (Brazil), still playing
  4: 0nelast [2] (Ukraine), still playing
  5: 10jqkaflus [2] (Brazil), still playing
  6: 17neffetS_BR [2] (Brazil), still playing
  7: 1Rolts1 (Estonia), still playing
  8: 235795r (Brazil), still playing
  9: 5tunt3r [3] (Lithuania), still playing
  10: 847449 (Lithuania), still playing
  11: 86ofdiamonds (Romania), still playing
  12: 904_Snow (United Kingdom), still playing
  13: A777BX (Kazakhstan), still playing
  14: AAdiniz [2] (Brazil), still playing
  15: AAzolowAA (Brazil), still playing
  16: ARHINJO (Belarus), still playing
  17: AamiUa (Ukraine), still playing
  18: AchillesBG [2] (Bulgaria), still playing
  19: Aither888 (Germany), still playing
  20: AlexG1986 (Germany), still playing
  21: AllOUT_SkyYea [3] (Canada), still playing
  22: Andy-Veselof (United Kingdom), still playing
  23: Antunes Gaa (Brazil), still playing
  24: Arthurdsgeo (Brazil), still playing
  25: Astrochino (Brazil), still playing
  26: AureCai (Argentina), still playing
  27: Autobot 1.7 (Denmark), still playing
  28: BGAMN (United Kingdom), still playing
  29: BNacho_11 (Argentina), still playing
  30: BOCukawp (Germany), still playing
  31: BOLIS_CTBA (Brazil), still playing
  32: BambamDoBet [2] (Brazil), still playing
  33: Bantamania (United Kingdom), still playing
  34: Baratolouco24 [2] (Brazil), still playing
  35: Bastelbastel [3] (Germany), still playing
  36: Betoriver [2] (Argentina), still playing
  37: BigTunna99 (United Kingdom), still playing
  38: Billy Dean34 (Ukraine), still playing
  39: Blizzy23 (Slovakia), still playing
  40: BluesMan.Ha (Brazil), still playing
  41: BlufMaste468 (United Kingdom), still playing
  42: Bmm59 (Brazil), still playing
  43: BorislavPetkov (Bulgaria), still playing
  44: Botalov1991 (Ukraine), still playing
  45: BritBroker22 [2] (United Kingdom), still playing
  46: Bught (Ukraine), still playing
  47: C4trups!! (Brazil), still playing
  48: CAMISA1088 (Brazil), still playing
  49: CadeMito (Brazil), still playing
  50: Caiadas95 (Brazil), still playing
  51: CamillaaaH (Brazil), still playing
  52: CanadianCaribou (Canada), still playing
  53: Carboneraa (Brazil), still playing
  54: CashUrChecks (United Kingdom), still playing
  55: ChipsAhoy591 (Canada), still playing
  56: Chris Doggy (United Kingdom), still playing
  57: Chuurk (Brazil), still playing
  58: CocoNUTS.br (Brazil), still playing
  59: CrushWhales (Brazil), still playing
  60: Crustycrabe007 (Belgium), still playing
  61: DDEXXMT (Malta), still playing
