PokerStars Tournament #3913501849, No Limit Hold'em
Buy-In: $20.00/$2.00 USD
3388 players
Total Prize Pool: $33880.00 USD 
Tournament started 2025/08/10 17:30:00 BRT [2025/08/10 16:30:00 ET]

  1: #27JETS (Canada), still playing
  2: $()meb()dY (Indonesia), still playing
  3: $ammyBoy (United Kingdom), still playing
  4: $ampaioBruno [3] (Brazil), still playing
  5: $aymon9 (Brazil), still playing
  6: $partan4ik (Belarus), still playing
  7: $trateGema [2] (Germany), still playing
  8: $unday8AA8 [2] (Mongolia), still playing
  9: 00_Blackout [2] (Brazil), still playing
  10: 00gap00 (Brazil), still playing
  11: 01461958 (Greece), still playing
  12: 0s0n0a0k0e (Austria), still playing
  13: 0ver.thinking (Brazil), still playing
  14: 100444 [4] (Paraguay), still playing
  15: 10snakie10 (Hungary), still playing
  16: 17neffetS_BR [2] (Brazil), still playing
  17: 18sechzig (Germany), still playing
  18: 1SepticFlesh (United Kingdom), still playing
  19: 1pokerdevil1 (Guernsey), still playing
  20: 1truegambler (United Kingdom), still playing
  21: 235795r (Brazil), still playing
  22: 2la-SkyLine (Kazakhstan), still playing
  23: 3376788 (United Kingdom), still playing
  24: 420)ZUMA (Brazil), still playing
  25: 420janko99 (Switzerland), still playing
  26: 4678934 (Jamaica), still playing
  27: 4ISLANDBEACH [2] (Brazil), still playing
  28: 4i4ogrob [2] (Bulgaria), still playing
  29: 56isBack (Chile), still playing
  30: 6AMBL3R (Belgium), still playing
  31: 8ChinChin8 (Denmark), still playing
  32: @_ROYAL_PSYKYC (Canada), still playing
  33: A777BX (Kazakhstan), still playing
  34: AAJoaoSantosAA (Switzerland), still playing
  35: ABlackAngelA (Vietnam), still playing
  36: AKbags [2] (Philippines), still playing
  37: ALEbcard (Brazil), still playing
  38: ALLSTUBBORN (Brazil), still playing
  39: ASapakes (Lithuania), still playing
  40: AZAgnoletto (Brazil), still playing
  41: AamiUa (Ukraine), still playing
  42: Abarashow (Brazil), still playing
  43: AceKicker_19 [2] (Canada), still playing
  44: Adamka9405 [3] (Hungary), still playing
  45: Adibarboza (Brazil), still playing
  46: Adilson166 (Brazil), still playing
  47: AdioZ31 [4] (Lithuania), still playing
  48: Adso139 (Argentina), still playing
  49: Akkariarabe (Brazil), still playing
  50: Alan Melo (Brazil), still playing
  51: AlekFB4 [2] (Denmark), still playing
  52: AlexG1986 (Germany), still playing
  53: AlexGC1989 [2] (Romania), still playing
  54: Alexandrez98 (Brazil), still playing
  55: Alexx7996 (Belarus), still playing
  56: All-InFlacion (Argentina), still playing
  57: Alphamid (Sweden), still playing
  58: AlqvimiztA (Brazil), still playing
  59: Alvaro.027 (Brazil), still playing
  60: AmazingPlay9 (Brazil), still playing
  61: Amiralsanji (Sweden), still playing
  62: Anasse10 (Belgium), still playing
  63: Andre L971 (Brazil), still playing
  64: Andruxa1927 (Ukraine), still playing
  65: AndyC96 (Canada), still playing
  66: AndyFCB (Germany), still playing
  67: AnonAnomaly (Ireland), still playing
  68: AokiJrBr (Brazil), still playing
  69: Apiolu (Argentina), still playing
  70: Arli888 [2] (Kazakhstan), still playing
  71: ArtiniShivilsky (Brazil), still playing
  72: Asiaka123 (Germany), still playing
  73: AyStunn (Austria), still playing
  74: BB1963240 [2] (Germany), still playing
  75: BDTM [4] (United Kingdom), still playing
  76: BOBYRRN10 (Brazil), still playing
  77: BOCA950 [3] (Brazil), still playing
  78: BRC197913 (Romania), still playing
  79: Babapaps (Germany), still playing
  80: BadSaint33 (Bulgaria), still playing
  81: BadaloaFill [2] (Brazil), still playing
  82: Badinho1989 (Brazil), still playing
  83: Bantamania [2] (United Kingdom), still playing
  84: Baron0001 (Germany), still playing
  85: Baron77787 (Germany), still playing
  86: Barossi415 (Brazil), still playing
  87: BeNiNhO_GaYa (Brazil), still playing
  88: Benoniroyal [2] (Germany), still playing
  89: Bergan0262 (Sweden), still playing
  90: Bergmannen (Sweden), still playing
  91: Berkowitz33 [2] (Brazil), still playing
  92: Berkuti (Germany), still playing
  93: Betoriver [3] (Argentina), still playing
  94: Bialzibozo (United Kingdom), still playing
  95: BigFox296 (United Kingdom), still playing
  96: BigTunna99 (United Kingdom), still playing
  97: Billy Dean34 (Ukraine), still playing
  98: BlindRazorJJ (United Kingdom), still playing
  99: Boni1988G [2] (Germany), still playing
  100: BossNow.S (Belarus), still playing
  101: Br0ke24/7 [3] (Germany), still playing
  102: BradBeach (Sweden), still playing
  103: BrazEngineer (Brazil), still playing
  104: Brcislav [3] (Slovakia), still playing
  105: Brenii94 (Brazil), still playing
  106: Brif4ick (United Kingdom), still playing
  107: Bruno.Godoy2 (Brazil), still playing
  108: Brunodellas (Brazil), still playing
  109: Burlaka780 (Canada), still playing
  110: ButterMeBaby (Austria), still playing
  111: Bünzli777 (Switzerland), still playing
  112: C.J.SLASHer (Ukraine), still playing
  113: C0C0PoK$r [2] (Argentina), still playing
  114: CHIPSCRAZYY [2] (Brazil), still playing
  115: CONCURSEIRONATO (Brazil), still playing
  116: CaioFerraz AK (Brazil), still playing
  117: CallMeAve (Germany), still playing
  118: Calling2Iron (United Kingdom), still playing
  119: CamionRoux007 (Canada), still playing
  120: Capirov (Brazil), still playing
  121: Captainhooklion (Luxembourg), still playing
  122: Caristhon.fé [2] (Brazil), still playing
  123: CarlosLima75 (Brazil), still playing
  124: CaseyRybeck [2] (Canada), still playing
  125: Cayao_aju (Brazil), still playing
  126: Cebola948 (Brazil), still playing
  127: Centurion7/1 (Belarus), still playing
  128: Chanaldo9 (Ireland), still playing
  129: Chani1995 (Sweden), still playing
  130: Chengueee [3] (Uruguay), still playing
  131: CherryOnT0p (Austria), still playing
  132: Chiesaraise (Brazil), still playing
  133: ChipsFool (United Kingdom), still playing
  134: ChiterMX (Belarus), still playing
  135: Chris Doggy (United Kingdom), still playing
  136: ChristianBR4 [2] (Brazil), still playing
  137: Chroonic (Brazil), still playing
  138: ChubaLero (Argentina), still playing
  139: ChunchoJR [3] (Chile), still playing
  140: CiroFenwick (Belgium), still playing
  141: Citrone88 [2] (United Kingdom), still playing
  142: Clandestin07 [2] (Brazil), still playing
  143: CoBByy (Ireland), still playing
  144: CocaColaZero93 [2] (Switzerland), still playing
  145: Colata (Brazil), still playing
  146: Collaps04 (Ukraine), still playing
  147: Commander25 [3] (Canada), still playing
  148: Conglomo222 [2] (Argentina), still playing
  149: Conny 1991 (Switzerland), still playing
  150: Cris chucky (Brazil), still playing
  151: CristianBiro (Brazil), still playing
  152: Crumble777 [2] (United Kingdom), still playing
  153: Curioso24 (Brazil), still playing
  154: Curt360x (United Kingdom), still playing
  155: DALEX11155 (Germany), still playing
  156: DCDUDE785 (United Kingdom), still playing
  157: DOCTORSFF (Brazil), still playing
  158: DSNeher (Brazil), still playing
  159: DaanI1420 (Argentina), still playing
  160: DallastraJM (Brazil), still playing
  161: Damc_MB (Slovenia), still playing
  162: Dan3534 [2] (United Kingdom), still playing
  163: DanLangUK (United Kingdom), still playing
  164: Dangerr44 (Bulgaria), still playing
  165: Daniel.mii (Kazakhstan), still playing
  166: Daniel110107 (Austria), still playing
  167: Danielfc93 [2] (Ireland), still playing
  168: Danilo611 (Uruguay), still playing
  169: Danisartor (Brazil), still playing
  170: DanskeHolger (Denmark), still playing
  171: Danyboy19671 (Canada), still playing
  172: DarkSkies21 (Brazil), still playing
  173: Daywalker215 (Austria), still playing
  174: Dbabreu2 (Ireland), still playing
  175: Dbrain97 (Brazil), still playing
  176: DemonLaplace [2] (Belgium), still playing
  177: Devetak (Austria), still playing
  178: Deyvson 97 (Brazil), still playing
  179: Dfonzz (Belgium), still playing
  180: Diego Visosa (Argentina), still playing
  181: Dima25997 (Ukraine), still playing
  182: DionataPZZ [2] (Brazil), still playing
  183: DiscuswerpeR (Belgium), still playing
  184: DoEasyMoney (Belgium), still playing
  185: Don Cuco13 (Sweden), still playing
  186: Donkalinho (Estonia), still playing
  187: Dosesmasqueuno (Switzerland), still playing
  188: DuckJuice778 (Kazakhstan), still playing
  189: Dudart2703 (Brazil), still playing
  190: Dudu 1054 (Brazil), still playing
  191: DustinK197 (Austria), still playing
  192: Dzibiy (Ukraine), still playing
  193: EDU_BUD [2] (Brazil), still playing
  194: EK95 (Bulgaria), still playing
  195: ESCUDODORADO [2] (Mexico), still playing
  196: Eaglov (Morocco), still playing
  197: Edushiokawa (Brazil), still playing
  198: El_Ferrit0 (United Kingdom), still playing
  199: Elisey87 (Belarus), still playing
  200: Emily-Jane19 (United Kingdom), still playing
  201: Empty_zh (Switzerland), still playing
  202: Empurrarilho [2] (Brazil), still playing
  203: Engastamento (Brazil), still playing
  204: Esaul11 (Belarus), still playing
  205: Eset93 (Kazakhstan), still playing
  206: EternoZé (Brazil), still playing
  207: EugeneShev (Ukraine), still playing
  208: EvaBaleyar (United Kingdom), still playing
  209: EverFla (Brazil), still playing
  210: Explacet (Switzerland), still playing
  211: F.Fortes59 (Brazil), still playing
  212: FEXX1 (Brazil), still playing
  213: FKAXM (Brazil), still playing
  214: FMI97 (Romania), still playing
  215: FOLLENZY (Brazil), still playing
  216: FURACÃO 13 [2] (Brazil), still playing
  217: FUTBOLCHE (Argentina), still playing
  218: FUllofAAceS [3] (Brazil), still playing
  219: FW99 (United Kingdom), still playing
  220: FaceRolly (Romania), still playing
  221: Faet N (Brazil), still playing
  222: Falcaogol [2] (Brazil), still playing
  223: Faleiro55 [2] (Brazil), still playing
  224: Farstarr (United Kingdom), still playing
  225: FasteR3333 (Ukraine), still playing
  226: FattyFoulkes (United Kingdom), still playing
  227: FearOfSky [2] (Ukraine), still playing
  228: Felipe688 (Brazil), still playing
  229: Felipe_mla$ (Brazil), still playing
  230: Felpssssss (Brazil), still playing
  231: FiesteroAA (Argentina), still playing
  232: FilipSVK7 (Slovakia), still playing
  233: FlipMaster08 (Brazil), still playing
  234: Flmatta88 (Brazil), still playing
  235: Florzinha_44 [2] (Brazil), still playing
  236: FlyDanielC (Brazil), still playing
  237: FmoraesP (Brazil), still playing
  238: Focuswow777 (Ukraine), still playing
  239: Forrest83 (Germany), still playing
  240: ForzaMila355 [2] (Kazakhstan), still playing
  241: FrancisKing7 (Chile), still playing
  242: Francizco79 (Argentina), still playing
  243: FreeFlax (Sweden), still playing
  244: Fugliee (United Kingdom), still playing
  245: Funai_5 [3] (Bulgaria), still playing
  246: G.BELTRÃO (Brazil), still playing
  247: G.David$on (United Kingdom), still playing
  248: G.M.T.M (Sweden), still playing
  249: G0LDBracelet (Estonia), still playing
  250: GKHOOD6 (Switzerland), still playing
  251: GSPoker90 (Brazil), still playing
  252: GT192021 [2] (United Kingdom), still playing
  253: GZingano [2] (Brazil), still playing
  254: Gaacruz [2] (Brazil), still playing
  255: GabeAndrey (Brazil), still playing
  256: Gabibar (Brazil), still playing
  257: Gaelito23 (Brazil), still playing
  258: GahSalas (Brazil), still playing
  259: Galeros19 [2] (Greece), still playing
  260: Galochina10 (Brazil), still playing
  261: GastoNNatural (Argentina), still playing
  262: Gaúcho 777 [2] (Brazil), still playing
  263: GenteFina93 (Brazil), still playing
  264: GeraldoCesar (Brazil), still playing
  265: Gezo666 [2] (Ukraine), still playing
  266: Ghiiiiiiiiiisi (Brazil), still playing
