PokerStars Tournament #3916850530, No Limit Hold'em
  160: dupiva (Brazil), 
  161: TUTI74 [2] (United Kingdom), 
  162: valicki23 [2] (Brazil), 
  163: andergoes (Brazil), 
  164: M4rcki (Denmark), 
  165: gustavovina87 [2] (Brazil), 
  166: NsL90 (Germany), 
  167: Capnhunkster (United Kingdom), 
  168: massagegun (United Kingdom), 
  169: Moergis (Germany), 
  170: alfa_spyder (Canada), 
  171: GER-Smoker (Germany), 
  172: Kaprizov97 (Finland), 
  173: riva-poa (Brazil), 
  174: Pinkmnn [2] (Austria), 
  175: belovedfan92 [2] (Romania), 
  176: Linha EA (Brazil), 
  177: Randall37 [2] (Denmark), 
  178: SuedeChick (Finland), 
  179: bipex99 [2] (Brazil), 
  180: LuckyNewb1e (Bulgaria), 
  181: Leskimooooo [2] (Switzerland), 
  182: MrKaaangen (Denmark), 
  183: Old of River (Brazil), 
  184: emiraph21 (Belgium), 
  185: Hitalo-R7 (Brazil), 
  186: Ripco68 (United Kingdom), 
  187: alfaeomega22 (Brazil), 
  188: santiagogzz32 (Mexico), 
  189: Sury8E (Mexico), 
  190: FCBAndi96 (Germany), 
  191: MaxiJay-1409 (United Kingdom), 
  192: freitasgabriel (Brazil), 
  193: pivesko [2] (Slovakia), 
  194: thannitho (Brazil), 
  195: NapaKoru (Finland), 
  196: ALLinho1010 (Brazil), 
  197: eaaeman (Brazil), 
  198: Havstien (Denmark), 
  199: Novasparkz (Canada), 
  200: rodsferraz (Brazil), 
  201: hammygeden (Denmark), 
  202: Degel 08 (Brazil), 
  203: iriereini13 (Austria), 
  204: RodBarreto (Brazil), 
  205: Xamps99 (Brazil), 
  206: DR. ELDAR (Slovenia), 
  207: ShaqyChan [2] (Germany), 
  208: mestrerizzo [2] (Brazil), 
  209: mtjsn23 (Slovenia), 
  210: lebrownM (Germany), 
  211: JesperEmil (Denmark), 
  212: JonnyWalk200 (Brazil), 
  213: tobim4ru (Chile), 
  214: keyhell (Brazil), 
  215: kremenj (Latvia), 
  216: iury alexandre (Brazil), 
  217: dudalusa (Brazil), 
  218: Valod9bablo (Belarus), 
  219: tomate.btu (Brazil), 
  220: Sacharbonnait [2] (Switzerland), 
  221: DELC4 (Brazil), 
  222: Diego_FF (Brazil), 
  223: DrPoita (Brazil), 
  224: xcdbhz (Brazil), 
  225: AquariusJH (United Kingdom), 
  226: RIFTDOMINATOR73 (Sweden), 
  227: YuriPróPoker (Brazil), 
  228: Rpet43 (Brazil), 
