PokerStars Tournament #3916203242, No Limit Hold'em
Buy-In: $14.70/$1.80 USD
1730 players
Total Prize Pool: $12456.00 USD 
Tournament started 2025/08/10 14:30:00 BRT [2025/08/10 13:30:00 ET]

  1: 21tinman21 (Canada), still playing
  2: 47anfake (Sweden), still playing
  3: 4k.falc (Ukraine), still playing
  4: ABlackAngelA (Vietnam), still playing
  5: AByS19 (Germany), still playing
  6: AlqvimiztA (Brazil), still playing
  7: Ambianensium (Ukraine), still playing
  8: AndyC96 (Canada), still playing
  9: Arnisss (United Kingdom), still playing
  10: BNJ1266 (Switzerland), still playing
  11: Bonatto91 (Brazil), still playing
  12: C0C0PoK$r (Argentina), still playing
  13: CONCURSEIRONATO (Brazil), still playing
  14: CadeMito (Brazil), still playing
  15: Cardanus (Ukraine), still playing
  16: Commander25 [2] (Canada), still playing
  17: CrushingNL2 (Vietnam), still playing
  18: DMerzhuk [2] (Ukraine), still playing
  19: Da5ch (Canada), still playing
  20: Dartvödör06 [2] (Hungary), still playing
  21: Deobandi (Argentina), still playing
  22: Der Besen [2] (Denmark), still playing
  23: Dr0kos (Malta), still playing
  24: DzynasLt (Lithuania), still playing
  25: Ekctelion (Canada), still playing
  26: Faet N (Brazil), still playing
  27: Favorner (Ukraine), still playing
  28: FishAndFurious (Argentina), still playing
  29: G.Cirnee (Brazil), still playing
  30: GaNDalF-2509 (Brazil), still playing
  31: Gianiaki (Brazil), still playing
  32: GoianoVix (Brazil), still playing
  33: Guga970001 (Luxembourg), still playing
  34: HisokaQQQQ (Brazil), still playing
  35: Horooosh (Romania), still playing
  36: Hydroi69 (Slovakia), still playing
  37: ISmellToast (Canada), still playing
  38: Isildur7777 (Ireland), still playing
  39: JOHNtheJOINER23 [2] (United Kingdom), still playing
  40: JamJars123 (United Kingdom), still playing
  41: JanoCR3 (Brazil), still playing
  42: Jay129869 [3] (United Kingdom), still playing
  43: Jbdpozza (Brazil), still playing
  44: Joag_1_ (Brazil), still playing
  45: JudasGuide (Lithuania), still playing
  46: Kaltzem (Brazil), still playing
  47: Kenyflax_069 (Belgium), still playing
  48: Ketamine2801 (Romania), still playing
  49: Kirimar (Armenia), still playing
  50: Kobojo (Ukraine), still playing
  51: LaurisL91 [2] (Lithuania), still playing
  52: Leandro P150 [2] (Brazil), still playing
  53: Leofoliveira (Brazil), still playing
  54: LieFromMe (Ukraine), still playing
  55: Loginis_555 (Lithuania), still playing
  56: Lost More (Ukraine), still playing
  57: MOLLOT (Ukraine), still playing
  58: Machidon7 (Romania), still playing
  59: MadColander (United Kingdom), still playing
  60: Memphi$777 (Ukraine), still playing
  61: MherKh (Armenia), still playing
  62: Montini1 (Brazil), still playing
  63: Mr.Kruges (Canada), still playing
  64: Mtspker (Brazil), still playing
  65: Nachito0507 [2] (Argentina), still playing
  66: NineBe (Brazil), still playing
  67: OtavioBit (Brazil), still playing
  68: P.Royal 22 (Switzerland), still playing
  69: PC.md001 (Brazil), still playing
  70: PatsDavis (Latvia), still playing
  71: Plutsch (Germany), still playing
  72: Prosexionist (Ukraine), still playing
  73: PrototypeBr [2] (Brazil), still playing
  74: RCP.Lima (Brazil), still playing
  75: RckNog (Brazil), still playing
  76: Recrytt (Belarus), still playing
  77: RocknRolla1990 (Armenia), still playing
  78: Rodrigoxd12 (Brazil), still playing
  79: RolfHolywood (Sweden), still playing
  80: Roquim (Brazil), still playing
